,Players,Values,Team
182,Karim Zedadka,$110Th.  ,ssc napoli
183,Piotr Zielinski,$55.00m  ,ssc napoli
184,Eljif Elmas,$18.70m  ,ssc napoli
185,Lorenzo Insigne,$52.80m  ,ssc napoli
186,Antonio Cioffi,$660Th.  ,ssc napoli
187,Hirving Lozano,$49.50m  ,ssc napoli
188,Matteo Politano,$33.00m  ,ssc napoli
189,Giuseppe D'Agostino,0,ssc napoli
190,Victor Osimhen,$55.00m  ,ssc napoli
191,Andrea Petagna,$16.50m  ,ssc napoli
192,Dries Mertens,$9.90m  ,ssc napoli
193,Fernando Llorente,$1.10m  ,ssc napoli
194,Thomas Strakosha,$15.40m  ,ss lazio
195,Pepe Reina,$880Th.  ,ss lazio
196,Marco Alia,$110Th.  ,ss lazio
197,Alessio Furlanetto,$83Th.  ,ss lazio
198,Gabriel Pereira,$55Th.  ,ss lazio
199,Luiz Felipe,$19.80m  ,ss lazio
200,Francesco Acerbi,$11.00m  ,ss lazio
201,Patric,$7.15m  ,ss lazio
202,Denis Vavro,$4.40m  ,ss lazio
203,Wesley Hoedt,$4.40m  ,ss lazio
204,Bastos,$2.20m  ,ss lazio
205,Stefan Radu,$2.20m  ,ss lazio
206,Mateo Musacchio,$2.20m  ,ss lazio
207,Nicolò Armini,$440Th.  ,ss lazio
208,Damiano Franco,$83Th.  ,ss lazio
209,Enzo Adeagbo,$55Th.  ,ss lazio
210,Marzio Pica,$28Th.  ,ss lazio
211,Jordan Lukaku,$2.42m  ,ss lazio
212,Angelo Ndrecka,$55Th.  ,ss lazio
213,Mattia Novella,$55Th.  ,ss lazio
214,Lucas Leiva,$3.85m  ,ss lazio
215,Marco Bertini,$110Th.  ,ss lazio
216,Sergej Milinković-Savić,$77.00m  ,ss lazio
217,Luis Alberto,$49.50m  ,ss lazio
218,Jean-Daniel Akpa Akpro,$3.85m  ,ss lazio
219,Gonzalo Escalante,$3.52m  ,ss lazio
220,Danilo Cataldi,$2.75m  ,ss lazio
221,Sofian Kiyine,$2.20m  ,ss lazio
222,Marco Parolo,$1.10m  ,ss lazio
223,Joseph Marie Minala,$550Th.  ,ss lazio
224,Manuel Lazzari,$23.10m  ,ss lazio
225,Adam Marusic,$11.00m  ,ss lazio
226,Djavan Anderson,$440Th.  ,ss lazio
227,Mohamed Fares,$6.05m  ,ss lazio
228,Senad Lulic,$1.10m  ,ss lazio
229,Andreas Pereira,$8.80m  ,ss lazio
230,Szymon Czyz,$330Th.  ,ss lazio
231,Florent Shehu,$55Th.  ,ss lazio
232,Raúl Moro,$880Th.  ,ss lazio
233,Bobby Adekanye,$660Th.  ,ss lazio
234,Joaquín Correa,$33.00m  ,ss lazio
235,Ciro Immobile,$41.80m  ,ss lazio
236,Vedat Muriqi,$9.90m  ,ss lazio
237,Felipe Caicedo,$4.40m  ,ss lazio
238,Pau López,$11.00m  ,as roma
239,Robin Olsen,$3.30m  ,as roma
240,Antonio Mirante,$1.10m  ,as roma
241,Daniel Fuzato,$880Th.  ,as roma
242,Pietro Boer,$165Th.  ,as roma
243,Simone Farelli,$55Th.  ,as roma
244,Filippo Berti,0,as roma
245,Gianluca Mancini,$33.00m  ,as roma
246,Roger Ibañez,$27.50m  ,as roma
247,Marash Kumbulla,$27.50m  ,as roma
248,Chris Smalling,$13.20m  ,as roma
249,Juan Jesus,$2.20m  ,as roma
250,Federico Fazio,$880Th.  ,as roma
251,Amir Feratovic,$385Th.  ,as roma
252,Raul Morichelli,$110Th.  ,as roma
253,Leonardo Spinazzola,$28.60m  ,as roma
254,Riccardo Calafiori,$2.75m  ,as roma
255,Rick Karsdorp,$13.20m  ,as roma
256,Bryan Reynolds,$6.60m  ,as roma
257,Bruno Peres,$2.75m  ,as roma
258,Davide Santon,$2.20m  ,as roma
259,Amadou Diawara,$15.40m  ,as roma
260,Ebrima Darboe,$2.20m  ,as roma
261,Filippo Tripi,$330Th.  ,as roma
262,Lorenzo Pellegrini,$44.00m  ,as roma
263,Jordan Veretout,$36.30m  ,as roma
264,Bryan Cristante,$19.80m  ,as roma
265,Gonzalo Villar,$16.50m  ,as roma
266,Tommaso Milanese,$1.05m  ,as roma
267,Edoardo Bove,$330Th.  ,as roma
268,Nicolò Zaniolo,$44.00m  ,as roma
269,Henrikh Mkhitaryan,$16.50m  ,as roma
270,Javier Pastore,$1.65m  ,as roma
271,Nicola Zalewski,$990Th.  ,as roma
272,Justin Kluivert,$15.40m  ,as roma
273,Stephan El Shaarawy,$7.70m  ,as roma
274,Riccardo Ciervo,$330Th.  ,as roma
275,Carles Pérez,$8.80m  ,as roma
276,Pedro,$5.50m  ,as roma
277,Ruben Providence,$385Th.  ,as roma
278,Suf Podgoreanu,$275Th.  ,as roma
279,Mirko Antonucci,$220Th.  ,as roma
280,Mory Bamba,$110Th.  ,as roma
281,Borja Mayoral,$15.40m  ,as roma
282,Edin Dzeko,$4.40m  ,as roma
283,Lamine Tall,$275Th.  ,as roma
284,Andrea Consigli,$3.30m  ,us sassuolo
285,Stefano Turati,$440Th.  ,us sassuolo
286,Samuele Vitale,$110Th.  ,us sassuolo
287,Gianluca Pegolo,$110Th.  ,us sassuolo
288,Gian Marco Ferrari,$13.20m  ,us sassuolo
289,Marlon,$7.15m  ,us sassuolo
290,Kaan Ayhan,$6.60m  ,us sassuolo
291,Vlad Chiriches,$3.85m  ,us sassuolo
292,Filippo Romagna,$3.30m  ,us sassuolo
293,Federico Peluso,$440Th.  ,us sassuolo
294,Stefano Piccinini,$385Th.  ,us sassuolo
295,Rogério,$6.60m  ,us sassuolo
296,Georgios Kyriakopoulos,$4.95m  ,us sassuolo
297,Mert Müldür,$9.90m  ,us sassuolo
298,Jeremy Toljan,$5.50m  ,us sassuolo
299,Matteo Saccani,$330Th.  ,us sassuolo
300,Manuel Locatelli,$38.50m  ,us sassuolo
301,Francesco Magnanelli,$440Th.  ,us sassuolo
302,Andrea Ghion,$275Th.  ,us sassuolo
303,Federico Artioli,$165Th.  ,us sassuolo
304,Maxime López,$11.00m  ,us sassuolo
305,Pedro Obiang,$5.50m  ,us sassuolo
306,Mehdi Bourabia,$2.53m  ,us sassuolo
307,Alessandro Mercati,$193Th.  ,us sassuolo
308,Raul Steau,$11Th.  ,us sassuolo
309,Hamed Junior Traorè,$22.00m  ,us sassuolo
310,Filip Djuricic,$9.90m  ,us sassuolo
311,Jérémie Boga,$22.00m  ,us sassuolo
312,Lukas Haraslin,$1.43m  ,us sassuolo
313,Nicolás Schiappacasse,$880Th.  ,us sassuolo
314,Domenico Berardi,$38.50m  ,us sassuolo
315,Brian Oddei,$1.10m  ,us sassuolo
316,Federico Ricci,$990Th.  ,us sassuolo
317,Isaac Karamoko,$165Th.  ,us sassuolo
318,Gianluca Scamacca,$16.50m  ,us sassuolo
319,Giacomo Raspadori,$16.50m  ,us sassuolo
320,Francesco Caputo,$5.50m  ,us sassuolo
321,Grégoire Defrel,$5.50m  ,us sassuolo
322,Luigi Samele,$165Th.  ,us sassuolo
323,Emil Audero,$15.40m  ,uc sampdoria
324,Karlo Letica,$770Th.  ,uc sampdoria
325,Nicola Ravaglia,$330Th.  ,uc sampdoria
326,Lorenzo Avogadri,$83Th.  ,uc sampdoria
327,Omar Colley,$6.60m  ,uc sampdoria
328,Maya Yoshida,$3.52m  ,uc sampdoria
329,Julian Chabot,$3.30m  ,uc sampdoria
330,Lorenzo Tonelli,$2.20m  ,uc sampdoria
331,Alex Ferrari,$1.98m  ,uc sampdoria
332,Kaique Rocha,$880Th.  ,uc sampdoria
333,Tommaso Augello,$4.40m  ,uc sampdoria
334,Vasco Regini,$440Th.  ,uc sampdoria
335,Bartosz Bereszynski,$6.60m  ,uc sampdoria
336,Fabio Depaoli,$3.85m  ,uc sampdoria
337,Albin Ekdal,$3.30m  ,uc sampdoria
338,Leonardo Capezzi,$880Th.  ,uc sampdoria
339,Morten Thorsby,$7.70m  ,uc sampdoria
340,Ronaldo Vieira,$5.50m  ,uc sampdoria
341,Valerio Verre,$3.85m  ,uc sampdoria
342,Adrien Silva,$3.30m  ,uc sampdoria
343,Mehdi Léris,$1.65m  ,uc sampdoria
344,Kristoffer Askildsen,$1.10m  ,uc sampdoria
345,Antonio Palumbo,$715Th.  ,uc sampdoria
346,Antonio Candreva,$2.75m  ,uc sampdoria
347,Jakub Jankto,$12.10m  ,uc sampdoria
348,Gastón Ramírez,$3.85m  ,uc sampdoria
349,Mikkel Damsgaard,$14.30m  ,uc sampdoria
350,Keita Baldé,$8.80m  ,uc sampdoria
351,Ernesto Torregrossa,$6.05m  ,uc sampdoria
352,Manolo Gabbiadini,$5.50m  ,uc sampdoria
353,Federico Bonazzoli,$4.40m  ,uc sampdoria
354,Antonino La Gumina,$2.20m  ,uc sampdoria
355,Fabio Quagliarella,$1.10m  ,uc sampdoria
356,Nik Prelec,$495Th.  ,uc sampdoria
357,Marco Silvestri,$9.90m  ,hellas verona
358,Ivor Pandur,$1.10m  ,hellas verona
359,Nicola Borghetto,$55Th.  ,hellas verona
360,Alessandro Berardi,$55Th.  ,hellas verona
361,Matteo Lovato,$7.70m  ,hellas verona
362,Koray Günter,$5.50m  ,hellas verona
363,Giangiacomo Magnani,$5.50m  ,hellas verona
364,Pawel Dawidowicz,$4.40m  ,hellas verona
365,Federico Ceccherini,$3.85m  ,hellas verona
366,Mert Cetin,$3.08m  ,hellas verona
367,Bruno Amione,$2.20m  ,hellas verona
368,Alan Empereur,$1.10m  ,hellas verona
369,Nicolò Casale,$550Th.  ,hellas verona
370,Salvatore Bocchetti,$220Th.  ,hellas verona
371,Bernardo Calabrese,$83Th.  ,hellas verona
372,Matei Cristian Ilie,$83Th.  ,hellas verona
373,Eugenio Bracelli,$11Th.  ,hellas verona
374,Federico Dimarco,$11.00m  ,hellas verona
375,Destiny Udogie,$1.10m  ,hellas verona
376,Kevin Rüegg,$3.96m  ,hellas verona
377,Adrien Tamèze,$6.60m  ,hellas verona
378,Miguel Veloso,$990Th.  ,hellas verona
379,Andrea Danzi,$440Th.  ,hellas verona
380,Ivan Ilic,$8.80m  ,hellas verona
381,Marco Benassi,$5.50m  ,hellas verona
382,Ronaldo Vieira,$5.50m  ,hellas verona
383,Stefano Sturaro,$4.95m  ,hellas verona
384,Daniel Bessa,$2.75m  ,hellas verona
385,Lucas Felippe,$165Th.  ,hellas verona
386,Christian Pierobon,$55Th.  ,hellas verona
387,Filippo Terracciano,0,hellas verona
388,Davide Faraoni,$7.70m  ,hellas verona
389,Darko Lazovic,$5.50m  ,hellas verona
390,Mattia Zaccagni,$16.50m  ,hellas verona
391,Antonin Barak,$15.40m  ,hellas verona
392,Ebrima Colley,$4.40m  ,hellas verona
393,Matteo Cancellieri,$110Th.  ,hellas verona
394,Lorenzo Bertini,$83Th.  ,hellas verona
395,Eddie Salcedo,$9.35m  ,hellas verona
396,Kevin Lasagna,$6.60m  ,hellas verona
397,Andrea Favilli,$3.85m  ,hellas verona
398,Mariusz Stepinski,$2.75m  ,hellas verona
399,Nikola Kalinic,$1.65m  ,hellas verona
400,Samuel Di Carmine,$1.32m  ,hellas verona
401,Lubomir Tupta,$385Th.  ,hellas verona
402,Philip Yeboah,$138Th.  ,hellas verona
403,Mattia Perin,$7.70m  ,genoa cfc
404,Alberto Paleari,$1.10m  ,genoa cfc
405,Federico Marchetti,$220Th.  ,genoa cfc
406,Lukas Zima,$220Th.  ,genoa cfc
407,Giuseppe Agostino,$138Th.  ,genoa cfc
408,Jérôme Onguéné,$3.85m  ,genoa cfc
409,Mattia Bani,$3.30m  ,genoa cfc
410,Davide Biraschi,$2.75m  ,genoa cfc
411,Edoardo Goldaniga,$2.20m  ,genoa cfc
412,Andrea Masiello,$880Th.  ,genoa cfc
413,Cristián Zapata,$440Th.  ,genoa cfc
414,Daniel Dumbravanu,$110Th.  ,genoa cfc
415,Luca Pellegrini,$9.90m  ,genoa cfc
416,Domenico Criscito,$1.65m  ,genoa cfc
417,Davide Zappacosta,$8.80m  ,genoa cfc
418,Peter Ankersen,$1.65m  ,genoa cfc
419,Nicolò Rovella,$5.50m  ,genoa cfc
420,Milan Badelj,$2.20m  ,genoa cfc
421,Ivan Radovanovic,$1.43m  ,genoa cfc
422,Lasse Schöne,$825Th.  ,genoa cfc
423,Valon Behrami,$440Th.  ,genoa cfc
424,Kevin Strootman,$5.50m  ,genoa cfc
425,Stefano Sturaro,$4.95m  ,genoa cfc
426,Lukas Lerager,$3.30m  ,genoa cfc
427,Miha Zajc,$3.30m  ,genoa cfc
428,Francesco Cassata,$2.42m  ,genoa cfc
429,Filippo Melegoni,$990Th.  ,genoa cfc
430,Petar Brlek,$770Th.  ,genoa cfc
431,Steeve-Mike Eyango,$440Th.  ,genoa cfc
432,Paolo Ghiglione,$3.74m  ,genoa cfc
433,Darian Males,$2.75m  ,genoa cfc
434,Lennart Czyborra,$3.85m  ,genoa cfc
435,Manolo Portanova,$1.10m  ,genoa cfc
436,Marko Pjaca,$4.40m  ,genoa cfc
437,Claudiu Micovschi,$275Th.  ,genoa cfc
438,Giuseppe Caso,$220Th.  ,genoa cfc
439,Vittorio Parigini,$770Th.  ,genoa cfc
440,Goran Pandev,$550Th.  ,genoa cfc
441,Yayah Kallon,$440Th.  ,genoa cfc
442,Gianluca Scamacca,$16.50m  ,genoa cfc
443,Eldor Shomurodov,$7.70m  ,genoa cfc
444,Mattia Destro,$2.75m  ,genoa cfc
445,Raúl Asencio,$605Th.  ,genoa cfc
446,Joel Asoro,$495Th.  ,genoa cfc
447,Lukasz Skorupski,$4.18m  ,bologna fc 1909
448,Angelo da Costa,$220Th.  ,bologna fc 1909
449,Federico Ravaglia,$220Th.  ,bologna fc 1909
450,Sebastian Breza,$110Th.  ,bologna fc 1909
451,Marco Molla,$83Th.  ,bologna fc 1909
452,Takehiro Tomiyasu,$22.00m  ,bologna fc 1909
453,Adama Soumaoro,$4.40m  ,bologna fc 1909
454,Stefano Denswil,$3.85m  ,bologna fc 1909
455,Mattia Bani,$3.30m  ,bologna fc 1909
456,Valentin Antov,$2.20m  ,bologna fc 1909
457,Arturo Calabresi,$1.65m  ,bologna fc 1909
458,Nehuén Paz,$715Th.  ,bologna fc 1909
459,Danilo,$660Th.  ,bologna fc 1909
460,Omar Khailoti,$220Th.  ,bologna fc 1909
461,Ebenezer Annan,$83Th.  ,bologna fc 1909
462,Wisdom Amey,0,bologna fc 1909
463,Aaron Hickey,$5.50m  ,bologna fc 1909
464,Mitchell Dijks,$3.85m  ,bologna fc 1909
465,Paolo Faragò,$2.20m  ,bologna fc 1909
466,Lorenzo De Silvestri,$1.65m  ,bologna fc 1909
467,Ibrahima Mbaye,$1.54m  ,bologna fc 1909
468,Alex Arnofoli,0,bologna fc 1909
