,Players,Values,Team
173,James Justin,$18.70m  ,leicester city
174,Vontae Daley-Campbell,$220Th.  ,leicester city
175,Wilfred Ndidi,$66.00m  ,leicester city
176,Nampalys Mendy,$8.80m  ,leicester city
177,Daniel Amartey,$5.50m  ,leicester city
178,Kiernan Dewsbury-Hall,$2.20m  ,leicester city
179,Youri Tielemans,$60.50m  ,leicester city
180,Dennis Praet,$19.80m  ,leicester city
181,Hamza Choudhury,$7.70m  ,leicester city
182,Matty James,$1.10m  ,leicester city
183,Sidnei Tavares,$330Th.  ,leicester city
184,Thakgalo Leshabela,$110Th.  ,leicester city
185,Marc Albrighton,$4.40m  ,leicester city
186,Harvey Barnes,$38.50m  ,leicester city
187,James Maddison,$60.50m  ,leicester city
188,Thanawat Suengchitthawon,0,leicester city
189,Ethan Fitzhugh,0,leicester city
190,Demarai Gray,$8.80m  ,leicester city
191,Cengiz Ünder,$19.80m  ,leicester city
192,Tawanda Maswanhise,0,leicester city
193,Ayoze Pérez,$19.80m  ,leicester city
194,Kelechi Iheanacho,$22.00m  ,leicester city
195,Jamie Vardy,$7.70m  ,leicester city
196,Islam Slimani,$3.30m  ,leicester city
197,Lukasz Fabianski,$1.65m  ,west ham united
198,Darren Randolph,$1.65m  ,west ham united
199,Nathan Trott,$275Th.  ,west ham united
200,David Martin,$275Th.  ,west ham united
201,Issa Diop,$19.80m  ,west ham united
202,Fabián Balbuena,$5.50m  ,west ham united
203,Craig Dawson,$3.30m  ,west ham united
204,Angelo Ogbonna,$2.75m  ,west ham united
205,Winston Reid,$1.65m  ,west ham united
206,Frederik Alves,$1.10m  ,west ham united
207,Jamal Baptiste,$220Th.  ,west ham united
208,Aji Alese,0,west ham united
209,Arthur Masuaku,$7.70m  ,west ham united
210,Aaron Cresswell,$5.50m  ,west ham united
211,Emmanuel Longelo,$165Th.  ,west ham united
212,Vladimir Coufal,$13.20m  ,west ham united
213,Ben Johnson,$3.30m  ,west ham united
214,Ryan Fredericks,$2.75m  ,west ham united
215,Harrison Ashby,$330Th.  ,west ham united
216,Declan Rice,$71.50m  ,west ham united
217,Tomas Soucek,$44.00m  ,west ham united
218,Conor Coventry,$220Th.  ,west ham united
219,Josh Cullen,$3.30m  ,west ham united
220,Jack Wilshere,$2.75m  ,west ham united
221,Mark Noble,$2.20m  ,west ham united
222,Jesse Lingard,$24.20m  ,west ham united
223,Pablo Fornals,$19.80m  ,west ham united
224,Manuel Lanzini,$11.00m  ,west ham united
225,Saïd Benrahma,$24.20m  ,west ham united
226,Felipe Anderson,$11.00m  ,west ham united
227,Nathan Holland,0,west ham united
