,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,8.63,50.0
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,7.70,47.8
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,5.56,40.0
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,8.00,47.6
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,8.10,30.0
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,9.83,41.0
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,2.74,40.0
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,5.75,66.7
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,11.3,61.5
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,3.55,45.5
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,8.96,42.7
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,8.00,52.1
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,12.1,71.4
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,14.0,100.0
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,14.4,53.8
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,8.02,16.1
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,13.0,50.0
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,9.72,57.9
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,6.67,50.0
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,6.98,55.6
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,8.47,50.0
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,16.0,75.0
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,8.53,38.1
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,5.07,35.9
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,6.20,40.7
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,5.00,
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,6.01,57.7
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,7.78,14.3
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,11.6,50.5
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,7.03,17.1
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,9.02,36.1
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,4.49,26.7
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,9.06,66.9
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,5.00,33.3
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,9.47,62.4
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,11.4,55.0
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,10.3,55.0
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,6.71,46.6
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,2.50,100.0
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,7.91,63.8
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,9.70,45.3
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,11.4,100.0
