,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Marash Kumbulla\Marash-Kumbulla,DF,Roma,it Serie A,20,15.1,6.56,69.6
Pierre Kunde\Pierre-Kunde,MF,Mainz 05,de Bundesliga,25,5.7,13.0,25.0
Fabian Kunze\Fabian-Kunze,MF,Arminia,de Bundesliga,22,14.1,13.3,76.2
Jasmin Kurtić\Jasmin-Kurtic,MF,Parma,it Serie A,31,30.4,7.83,56.3
Layvin Kurzawa\Layvin-Kurzawa,DF,Paris S-G,fr Ligue 1,27,14.2,9.65,65.9
Dereck Kutesa\Dereck-Kutesa,MFFW,Reims,fr Ligue 1,22,7.6,3.55,47.1
Ahmed Kutucu\Ahmed-Kutucu,FWMF,Schalke 04,de Bundesliga,20,1.2,3.33,45.5
Enock Kwateng\Enock-Kwateng,DF,Bordeaux,fr Ligue 1,23,11.5,9.74,63.9
Antonino La Gumina\Antonino-La-Gumina,FW,Sampdoria,it Serie A,24,3.8,3.42,26.8
Gaëtan Laborde\Gaetan-Laborde,FWMF,Montpellier,fr Ligue 1,26,36.2,5.91,51.2
Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,eng Premier League,29,21.4,4.63,33.0
Tom Lacoux\Tom-Lacoux,MF,Bordeaux,fr Ligue 1,18,5.8,10.2,44.4
Maxence Lacroix\Maxence-Lacroix,DF,Wolfsburg,de Bundesliga,20,28.8,11.9,53.0
Alban Lafont\Alban-Lafont,GK,Nantes,fr Ligue 1,21,38.0,4.89,0.0
Víctor Laguardia\Victor-Laguardia,DF,Alavés,es La Liga,30,29.2,8.01,64.4
Konrad Laimer\Konrad-Laimer,DFFW,RB Leipzig,de Bundesliga,23,0.9,13.3,66.7
Stefan Lainer\Stefan-Lainer,DF,M'Gladbach,de Bundesliga,27,30.8,6.75,54.8
Diego Lainez\Diego-Lainez,FW,Betis,es La Liga,20,9.6,6.67,55.6
Kenny Lala\Kenny-Lala,DF,Strasbourg,fr Ligue 1,28,20.4,7.84,45.0
Adam Lallana\Adam-Lallana,MFFW,Brighton,eng Premier League,32,17.7,8.93,28.9
Érik Lamela\Erik-Lamela,FWMF,Tottenham,eng Premier League,28,8.0,6.00,22.7
Sam Lammers\Sam-Lammers,FWMF,Atalanta,it Serie A,23,3.2,5.94,45.5
Tariq Lamptey\Tariq-Lamptey,DF,Brighton,eng Premier League,19,9.8,8.47,29.4
Loïck Landre\Loick-Landre,DF,Nîmes,fr Ligue 1,28,18.1,6.24,56.5
Michael Langer\Michael-Langer,GK,Schalke 04,de Bundesliga,35,2.7,3.33,
Manuel Lanzini\Manuel-Lanzini,MFFW,West Ham,eng Premier League,27,6.3,10.6,10.0
Gianluca Lapadula\Gianluca-Lapadula,FW,Benevento,it Serie A,30,28.5,3.93,29.0
Aymeric Laporte\Aymeric-Laporte,DF,Manchester City,eng Premier League,26,14.9,9.33,71.9
Julien Laporte\Julien-Laporte,DF,Lorient,fr Ligue 1,26,29.5,8.64,70.2
Danilo Larangeira\Danilo-Larangeira,DF,Bologna,it Serie A,36,34.8,9.63,58.8
Gautier Larsonneur\Gautier-Larsonneur,GK,Brest,fr Ligue 1,23,35.0,4.97,
Kevin Lasagna\Kevin-Lasagna,FW,Udinese,it Serie A,27,12.3,4.39,33.3
Kevin Lasagna\Kevin-Lasagna,FW,Hellas Verona,it Serie A,27,14.1,3.62,28.7
Jamaal Lascelles\Jamaal-Lascelles,DF,Newcastle Utd,eng Premier League,26,18.1,7.85,72.6
Paul Lasne\Paul-Lasne,MF,Brest,fr Ligue 1,31,18.7,9.57,53.3
Toni Lato\Toni-Lato,DF,Valencia,es La Liga,22,8.1,8.27,63.6
Danny Latza\Danny-Latza,MF,Mainz 05,de Bundesliga,30,20.0,11.4,41.5
Armand Lauriente\Armand-Lauriente,FWMF,Lorient,fr Ligue 1,21,18.0,5.72,25.0
Vincent Laurini\Vincent-Laurini,DF,Parma,it Serie A,31,9.7,6.60,36.8
Lauti\Lauti,MFFW,Celta Vigo,es La Liga,19,0.2,0.00,0.0
Wesley Lautoa\Wesley-Lautoa,MFDF,Dijon,fr Ligue 1,32,17.9,9.11,60.0
Valentino Lazaro\Valentino-Lazaro,DFFW,M'Gladbach,de Bundesliga,24,13.8,7.61,45.9
Darko Lazović\Darko-Lazovic,DF,Hellas Verona,it Serie A,29,27.8,8.24,50.0
Manuel Lazzari\Manuel-Lazzari,DF,Lazio,it Serie A,26,29.0,5.76,42.1
Jérémy Le Douaron\Jeremy-Le-Douaron,FWMF,Brest,fr Ligue 1,22,9.1,7.47,53.7
Enzo Le Fée\Enzo-Le-Fee,MFFW,Lorient,fr Ligue 1,20,20.2,7.23,8.7
Vincent Le Goff\Vincent-Le-Goff,DF,Lorient,fr Ligue 1,30,25.6,6.91,40.7
Maxime Le Marchand\Maxime-Le-Marchand,DF,Fulham,eng Premier League,30,1.4,7.86,57.1
Robin Le Normand\Robin-Le-Normand,DF,Real Sociedad,es La Liga,23,30.5,10.6,69.3
Damien Le Tallec\Damien-Le-Tallec,MFDF,Montpellier,fr Ligue 1,30,13.6,9.04,58.9
James Lea Siliki\James-Lea-Siliki,MF,Rennes,fr Ligue 1,24,2.8,8.21,50.0
Rafael Leão\Rafael-Leao,FW,Milan,it Serie A,21,21.4,3.69,46.2
Jean-Louis Leca\Jean-Louis-Leca,GK,Lens,fr Ligue 1,34,36.8,4.08,
Mathew Leckie\Mathew-Leckie,FWDF,Hertha BSC,de Bundesliga,29,5.6,8.75,46.2
Benjamin Lecomte\Benjamin-Lecomte,GK,Monaco,fr Ligue 1,29,28.0,5.54,
Jeremías Ledesma\Jeremias-Ledesma,GK,Cádiz,es La Liga,27,32.0,5.38,
Pierre Lees-Melou\Pierre-Lees-Melou,MF,Nice,fr Ligue 1,27,22.9,8.17,40.5
Lucas Leiva\Lucas-Leiva,MF,Lazio,it Serie A,33,23.7,13.5,54.6
Florian Lejeune\Florian-Lejeune,DF,Alavés,es La Liga,29,33.5,9.07,67.5
Iñigo Lekue\Inigo-Lekue,DF,Athletic Club,es La Liga,27,7.2,9.44,25.0
Thomas Lemar\Thomas-Lemar,MFFW,Atlético Madrid,es La Liga,24,15.2,7.30,41.2
Mario Lemina\Mario-Lemina,MF,Fulham,eng Premier League,26,18.9,10.1,41.3
Fabien Lemoine\Fabien-Lemoine,MF,Lorient,fr Ligue 1,33,21.5,12.0,52.6
Clément Lenglet\Clement-Lenglet,DF,Barcelona,es La Liga,25,27.5,9.24,60.7
Bernd Leno\Bernd-Leno,GK,Arsenal,eng Premier League,28,34.8,4.28,
Christopher Lenz\Christopher-Lenz,DF,Union Berlin,de Bundesliga,25,25.0,10.5,53.3
Pedro León\Pedro-Leon,MFFW,Eibar,es La Liga,33,10.4,6.54,54.3
Sergio León\Sergio-Leon,FW,Levante,es La Liga,31,8.3,4.94,25.0
Lukas Lerager\Lukas-Lerager,MF,Genoa,it Serie A,27,12.9,10.5,41.7
Mehdi Léris\Mehdi-Leris,DFMF,Sampdoria,it Serie A,22,4.3,10.9,50.0
Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,eng Premier League,20,0.1,20.0,
Karlo Letica\Karlo-Letica,GK,Sampdoria,it Serie A,23,1.0,5.00,
Gaetano Letizia\Gaetano-Letizia,DF,Benevento,it Serie A,30,17.4,8.91,63.2
Robert Lewandowski\Robert-Lewandowski,FW,Bayern Munich,de Bundesliga,31,27.3,4.25,48.6
Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,eng Premier League,22,20.4,7.50,43.8
Aaron Leya Iseka\Aaron-Leya-Iseka,FW,Metz,fr Ligue 1,22,11.2,2.77,36.5
Yanis Lhery\Yanis-Lhery,MFFW,Saint-Étienne,fr Ligue 1,17,0.3,0.00,66.7
Dimitri Liénard\Dimitri-Lienard,MF,Strasbourg,fr Ligue 1,32,20.3,8.87,33.3
Philipp Lienhart\Philipp-Lienhart,DF,Freiburg,de Bundesliga,24,33.3,8.77,58.6
Matthijs de Ligt\Matthijs-de-Ligt,DF,Juventus,it Serie A,20,24.7,8.83,68.4
Isaac Lihadji\Isaac-Lihadji,MFDF,Lille,fr Ligue 1,18,2.2,10.5,40.0
Dimitris Limnios\Dimitris-Limnios,MFFW,Köln,de Bundesliga,22,4.2,6.67,33.3
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,eng Premier League,26,28.7,9.23,65.7
Karol Linetty\Karol-Linetty,MF,Torino,it Serie A,25,20.4,8.14,34.8
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,eng Premier League,27,15.8,5.57,0.0
Pol Lirola\Pol-Lirola,DFFW,Fiorentina,it Serie A,22,5.5,7.09,44.4
Pol Lirola\Pol-Lirola,DF,Marseille,fr Ligue 1,22,17.3,7.98,62.1
Jake Livermore\Jake-Livermore,MF,West Brom,eng Premier League,30,13.8,10.4,48.6
Diego Llorente\Diego-Llorente,DF,Leeds United,eng Premier League,26,13.4,8.73,60.6
Diego Llorente\Diego-Llorente,DF,Real Sociedad,es La Liga,26,1.0,6.00,66.7
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,it Serie A,35,0.6,5.00,50.0
Fernando Llorente\Fernando-Llorente,FW,Udinese,it Serie A,35,7.9,4.68,58.8
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,7.23,39.7
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,4.00,
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,10.0,37.9
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,8.82,50.0
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,10.2,54.6
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,8.40,45.5
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,7.14,25.0
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,6.32,34.7
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,6.00,
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,12.4,51.2
Shane Long\Shane-Long,FW,Southampton,eng Premier League,33,2.3,7.83,51.7
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,10.5,54.5
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,7.52,44.4
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,6.56,16.3
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,5.05,
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,5.56,29.6
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,8.24,58.6
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,6.42,34.8
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,11.1,50.0
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,6.43,28.6
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,4.00,25.0
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,4.80,
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,8.39,38.9
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,10.2,27.6
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,5.36,66.7
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,7.92,50.0
Adrien Louveau\Adrien-Louveau,DF,Lens,fr Ligue 1,20,0.1,10.0,0.0
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,10.3,40.0
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,12.1,62.9
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,7.05,20.8
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,17.8,0.0
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,9.26,61.3
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,3.85,40.7
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,5.23,40.5
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,5.00,33.3
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,9.47,33.3
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,8.66,40.0
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,11.0,55.4
Jeison Lucumí\Jeison-Lucumi,FWMF,Elche,es La Liga,25,0.5,6.00,50.0
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,8.28,41.7
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,8.20,40.6
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,4.61,35.3
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,12.6,67.4
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,8.15,66.7
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,8.00,66.7
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,8.95,100.0
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,7.42,71.4
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,12.1,48.2
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,2.72,37.4
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,5.29,45.0
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,7.48,31.7
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,7.13,78.6
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,7.57,54.5
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,7.85,52.8
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,4.58,
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,10.9,59.7
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,6.91,63.2
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,0.2,25.0,
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,8.23,29.4
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,6.49,20.0
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,0.00,
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,0.00,66.7
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,10.8,52.6
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,6.39,14.3
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,30.0,
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,9.50,55.6
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,8.80,59.0
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,7.88,41.7
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,7.32,53.2
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,13.9,21.4
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,11.1,70.2
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,9.10,54.5
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,11.6,77.5
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,7.14,33.3
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,2.50,
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,5.67,45.5
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,10.2,50.0
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,3.33,0.0
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,11.0,56.0
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,5.13,
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,8.15,55.6
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,9.12,26.7
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,4.56,20.0
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,3.71,37.5
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,3.00,
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,4.92,18.2
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,1.4,5.71,66.7
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,8.10,100.0
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,8.78,49.1
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,10.2,74.0
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,4.06,16.1
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,5.00,33.3
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,7.39,66.7
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,16.7,
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,7.36,50.9
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,3.33,0.0
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,9.45,52.1
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,9.42,41.5
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,7.05,50.0
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,7.06,53.8
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,7.98,48.1
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,7.60,64.6
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,5.27,
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,9.46,69.9
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,8.12,66.7
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,8.41,75.0
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,11.4,50.0
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,3.33,52.0
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,5.13,25.9
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,6.00,
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,3.6,11.9,66.7
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,23.4,9.62,40.9
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,29.9,11.2,54.4
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9.0,3.89,
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,25.5,6.98,60.2
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,9.2,8.15,63.0
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,3.3,6.97,71.4
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,12.0,4.17,4.0
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,13.0,7.31,53.8
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,2.5,4.40,71.4
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,13.1,4.27,31.6
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,6.9,8.12,45.0
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,0.9,14.4,88.9
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,11.7,6.32,27.8
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,32.3,10.2,71.8
Solly March\Solly-March,DF,Brighton,eng Premier League,26,18.6,10.0,43.6
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,3.7,3.51,
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,17.3,7.80,62.8
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,33.5,8.90,63.8
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,29.4,9.32,61.9
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,16.9,7.57,42.3
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,5.7,6.84,70.6
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,16.1,11.2,51.7
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10.0,7.20,64.4
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,19.6,7.14,69.9
Mariano\Mariano,FW,Real Madrid,es La Liga,26,5.7,2.63,60.6
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,15.9,9.75,51.9
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,3.0,8.00,55.6
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,1.0,12.0,75.0
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,32.9,8.69,40.5
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,23.2,8.66,62.4
Marlon\Marlon,DF,Sassuolo,it Serie A,24,19.4,8.35,59.1
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,0.0,0,
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,23.6,9.07,59.8
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,17.6,10.0,61.1
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,24.4,3.32,24.3
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,16.4,3.78,39.5
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,17.1,6.26,38.6
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,2.9,5.86,0.0
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,1.1,2.73,50.0
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,5.4,11.3,66.7
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,6.5,5.08,30.0
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,16.5,7.76,50.0
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38.0,4.68,
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28.0,9.79,63.2
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,5.1,9.22,54.5
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,5.2,11.7,74.1
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1.0,7.00,
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,28.5,4.67,34.4
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,6.0,8.33,53.3
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,17.2,7.73,29.4
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,33.0,7.03,63.2
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,2.2,9.55,66.7
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,1.5,12.0,100.0
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,19.6,11.3,56.9
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,28.5,9.02,47.6
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25.0,4.60,
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,8.4,7.86,47.8
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,it Serie A,28,0.4,10.0,
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,11.2,9.02,37.0
Jaime Mata\Jaime-Mata,FW,Getafe,es La Liga,31,22.6,4.87,41.3
Juan Mata\Juan-Mata,FWMF,Manchester Utd,eng Premier League,32,5.7,4.91,25.0
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,fr Ligue 1,17,17.7,9.55,63.2
Eliot Matazo\Eliot-Matazo,MF,Monaco,fr Ligue 1,18,3.5,6.86,37.5
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,eng Premier League,23,2.5,3.60,50.0
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,de Bundesliga,23,11.1,4.50,41.8
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,eng Premier League,31,12.3,10.3,70.4
Joël Matip\Joel-Matip,DF,Liverpool,eng Premier League,28,7.7,10.6,68.6
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,de Bundesliga,19,2.4,4.58,33.3
Ryder Matos\Ryder-Matos,MF,Udinese,it Serie A,27,0.1,0.00,
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,de Bundesliga,20,0.3,3.33,
Chrislain Matsima\Chrislain-Matsima,DF,Monaco,fr Ligue 1,18,3.9,10.8,50.0
Federico Mattiello\Federico-Mattiello,DF,Spezia,it Serie A,25,0.4,17.5,33.3
Neal Maupay\Neal-Maupay,FWMF,Brighton,eng Premier League,23,27.9,4.19,27.7
Tony Mauricio\Tony-Mauricio,MF,Lens,fr Ligue 1,26,5.6,8.21,33.3
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,fr Ligue 1,22,22.6,4.82,23.8
Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Stuttgart,de Bundesliga,22,16.3,12.3,75.4
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,31,9.1,4.07,44.1
Borja Mayoral\Borja-Mayoral,FW,Roma,it Serie A,23,17.2,2.21,20.5
