,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Values,Team
27,Thibaut Courtois,GK,Real Madrid,es La Liga,28.0,38.0,38.0,3420.0,38.0,28.0,0.74,111.0,90.0,81.1,25.0,9.0,4.0,17.0,44.7,7.0,0.0,3.0,1.0,29.8,0.22,2.8,0.07,136.0,351.0,38.7,286.0,27.0,9.4,24.0,0.63,15.0,66000000.0,real madrid
28,Finn Dahmen,GK,Mainz 05,de Bundesliga,22.0,3.0,3.0,270.0,3.0,10.0,3.33,20.0,11.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,9.2,0.42,-0.8,-0.26,9.0,26.0,34.6,34.0,1.0,2.9,2.0,0.67,11.6,2200000.0,1 fsv mainz 05
29,Karl Darlow,GK,Newcastle Utd,eng Premier League,29.0,25.0,25.0,2250.0,25.0,43.0,1.72,120.0,81.0,66.7,7.0,4.0,14.0,4.0,16.0,3.0,1.0,4.0,2.0,37.0,0.28,-4.0,-0.16,184.0,532.0,34.6,239.0,22.0,9.2,6.0,0.24,12.2,3300000.0,newcastle united
30,Yehvann Diouf,GK,Reims,fr Ligue 1,20.0,2.0,1.0,135.0,1.5,1.0,0.67,5.0,5.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03,0.0,0.01,5.0,16.0,31.3,11.0,0.0,0.0,1.0,0.67,15.3,550000.0,stade reims
31,Jaume Doménech,GK,Valencia,es La Liga,29.0,28.0,28.0,2520.0,28.0,42.0,1.5,124.0,86.0,69.4,5.0,12.0,11.0,4.0,14.3,4.0,2.0,7.0,2.0,39.2,0.28,-0.8,-0.03,264.0,525.0,50.3,325.0,21.0,6.5,15.0,0.54,13.0,4400000.0,valencia cf
32,Gianluigi Donnarumma,GK,Milan,it Serie A,21.0,37.0,37.0,3330.0,37.0,38.0,1.03,125.0,90.0,71.2,24.0,6.0,7.0,14.0,37.8,2.0,2.0,7.0,1.0,39.7,0.3,2.7,0.07,183.0,431.0,42.5,335.0,29.0,8.7,22.0,0.59,14.8,66000000.0,ac milan
33,Matthieu Dreyer,GK,Lorient,fr Ligue 1,31.0,15.0,15.0,1350.0,15.0,25.0,1.67,51.0,33.0,62.7,5.0,5.0,5.0,2.0,13.3,6.0,1.0,3.0,1.0,20.5,0.32,-3.5,-0.23,76.0,201.0,37.8,111.0,7.0,6.3,6.0,0.4,12.8,660000.0,fc lorient
34,Ederson,GK,Manchester City,eng Premier League,26.0,36.0,36.0,3240.0,36.0,28.0,0.78,84.0,63.0,75.0,25.0,5.0,6.0,19.0,52.8,7.0,0.0,2.0,1.0,29.2,0.28,2.2,0.06,139.0,305.0,45.6,179.0,14.0,7.8,23.0,0.64,15.7,55000000.0,manchester city
35,Aarón Escandell,GK,Granada,es La Liga,24.0,5.0,5.0,450.0,5.0,8.0,1.6,24.0,16.0,66.7,1.0,1.0,3.0,1.0,20.0,0.0,0.0,0.0,0.0,9.6,0.42,1.6,0.33,38.0,113.0,33.6,45.0,3.0,6.7,12.0,2.4,18.0,1100000.0,granada cf
36,Jokin Ezkieta,GK,Athletic Club,es La Liga,23.0,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.36,-0.9,-0.92,1.0,4.0,25.0,10.0,0.0,0.0,1.0,1.0,13.5,330000.0,athletic bilbao
