Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Moise Kean\Moise-Kean,FW,Everton,eng Premier League,20,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.21,0.00,0.21,0.21,0.21
Moise Kean\Moise-Kean,FW,Paris S-G,fr Ligue 1,20,26,22,1698,18.9,13,0,13,0,0,4,0,0.69,0.00,0.69,0.69,0.69,10.7,10.7,0.9,11.6,0.57,0.05,0.61,0.57,0.61
Michael Keane\Michael-Keane,DF,Everton,eng Premier League,27,35,33,2991,33.2,3,1,3,0,0,4,0,0.09,0.03,0.12,0.09,0.12,1.2,1.2,1.1,2.3,0.04,0.03,0.07,0.04,0.07
Neeskens Kebano\Neeskens-Kebano,FWMF,Fulham,eng Premier League,28,5,1,119,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.22,0.00,0.22,0.22,0.22
Thilo Kehrer\Thilo-Kehrer,DF,Paris S-G,fr Ligue 1,23,24,16,1616,18.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.5,0.04,0.04,0.08,0.04,0.08
Habib Keita\Habib-Keita,MF,Lyon,fr Ligue 1,18,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,5.63,0.00,5.63,5.63,5.63
Naby Keïta\Naby-Keita,MF,Liverpool,eng Premier League,25,10,7,520,5.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.3,0.09,0.14,0.23,0.09,0.23
Yannik Keitel\Yannik-Keitel,MF,Freiburg,de Bundesliga,20,12,4,498,5.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.06,0.04,0.10,0.06,0.10
Caoimhín Kelleher\Caoimhin-Kelleher,GK,Liverpool,eng Premier League,21,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Stephane Keller\Stephane-Keller,DF,Alavés,es La Liga,18,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Martin Kelly\Martin-Kelly,DF,Crystal Palace,eng Premier League,30,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Marc-Oliver Kempf\Marc-Oliver-Kempf,DF,Stuttgart,de Bundesliga,25,32,32,2727,30.3,2,1,2,0,0,5,0,0.07,0.03,0.10,0.07,0.10,1.3,1.3,0.4,1.7,0.04,0.01,0.06,0.04,0.06
Kenedy\Kenedy,FWMF,Granada,es La Liga,24,28,18,1471,16.3,4,3,4,0,0,3,0,0.24,0.18,0.43,0.24,0.43,2.1,2.1,2.6,4.7,0.13,0.16,0.29,0.13,0.29
Jonjoe Kenny\Jonjoe-Kenny,DF,Everton,eng Premier League,23,4,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Franck Kessié\Franck-Kessie,MF,Milan,it Serie A,23,37,36,3226,35.8,13,4,2,11,13,8,0,0.36,0.11,0.47,0.06,0.17,13.6,3.7,2.8,6.4,0.38,0.08,0.45,0.10,0.18
Reda Khadra\Reda-Khadra,FW,Brighton,eng Premier League,19,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Omar Khailoti\Omar-Khailoti,DF,Bologna,it Serie A,18,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,FWMF,Marseille,fr Ligue 1,25,17,5,606,6.7,2,1,2,0,0,4,0,0.30,0.15,0.45,0.30,0.45,0.8,0.8,0.2,1.0,0.12,0.03,0.15,0.12,0.15
Wahbi Khazri\Wahbi-Khazri,FW,Saint-Étienne,fr Ligue 1,29,22,16,1181,13.1,7,1,4,3,3,5,1,0.53,0.08,0.61,0.30,0.38,4.9,2.6,1.5,4.1,0.37,0.11,0.48,0.20,0.31
Rani Khedira\Rani-Khedira,MF,Augsburg,de Bundesliga,26,27,23,1818,20.2,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,0.2,1.2,0.05,0.01,0.06,0.05,0.06
Sami Khedira\Sami-Khedira,MF,Hertha BSC,de Bundesliga,33,9,4,395,4.4,0,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.0,0.0,0.5,0.5,0.01,0.11,0.12,0.01,0.12
Kike\Kike,FW,Eibar,es La Liga,30,37,36,3087,34.3,12,2,12,0,0,4,1,0.35,0.06,0.41,0.35,0.41,10.4,10.4,2.1,12.5,0.30,0.06,0.37,0.30,0.37
Luca Kilian\Luca-Kilian,DF,Mainz 05,de Bundesliga,20,6,4,381,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.00,0.02,0.01,0.02
Max Kilman\Max-Kilman,DF,Wolves,eng Premier League,23,18,14,1310,14.6,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.5,1.0,0.03,0.04,0.07,0.03,0.07
Joshua Kimmich\Joshua-Kimmich,MF,Bayern Munich,de Bundesliga,25,27,25,2194,24.4,4,10,4,0,0,4,0,0.16,0.41,0.57,0.16,0.57,2.5,2.5,6.6,9.0,0.10,0.27,0.37,0.10,0.37
Presnel Kimpembe\Presnel-Kimpembe,DF,Paris S-G,fr Ligue 1,24,28,26,2303,25.6,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.01,0.01,0.02,0.01,0.02
Joshua King\Joshua-King,MFFW,Everton,eng Premier League,28,11,0,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.48,0.00,0.48,0.48,0.48
Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,DF,Sassuolo,it Serie A,24,23,16,1456,16.2,1,0,1,0,0,3,1,0.06,0.00,0.06,0.06,0.06,1.4,1.4,1.2,2.6,0.09,0.07,0.16,0.09,0.16
Simon Kjær\Simon-Kjaer,DF,Milan,it Serie A,31,28,28,2393,26.6,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,1.3,1.3,1.0,2.4,0.05,0.04,0.09,0.05,0.09
Davy Klaassen\Davy-Klaassen,MF,Werder Bremen,de Bundesliga,27,3,3,222,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05
Felix Klaus\Felix-Klaus,DFMF,Wolfsburg,de Bundesliga,27,6,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01
Klauss\Klauss,FW,Hoffenheim,de Bundesliga,23,4,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.18,0.46,0.64,0.18,0.64
Ragnar Klavan\Ragnar-Klavan,DF,Cagliari,it Serie A,34,15,9,770,8.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04
Philipp Klement\Philipp-Klement,MFFW,Stuttgart,de Bundesliga,27,18,2,421,4.7,1,2,1,0,0,0,0,0.21,0.43,0.64,0.21,0.64,0.3,0.3,1.7,1.9,0.06,0.35,0.41,0.06,0.41
Mateusz Klich\Mateusz-Klich,MF,Leeds United,eng Premier League,30,35,28,2393,26.6,4,5,2,2,2,6,0,0.15,0.19,0.34,0.08,0.26,3.3,1.8,3.9,5.7,0.13,0.15,0.27,0.07,0.22
Mateo Klimowicz\Mateo-Klimowicz,FWMF,Stuttgart,de Bundesliga,20,25,12,1198,13.3,1,1,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,3.8,3.8,1.2,5.1,0.29,0.09,0.38,0.29,0.38
Fabian Klos\Fabian-Klos,FW,Arminia,de Bundesliga,32,34,32,2709,30.1,5,2,4,1,2,4,0,0.17,0.07,0.23,0.13,0.20,7.9,6.4,3.5,9.8,0.26,0.11,0.38,0.21,0.33
Lukas Klostermann\Lukas-Klostermann,DF,RB Leipzig,de Bundesliga,24,23,15,1446,16.1,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.5,1.3,0.05,0.03,0.08,0.05,0.08
Justin Kluivert\Justin-Kluivert,FW,RB Leipzig,de Bundesliga,21,19,8,813,9.0,3,1,3,0,0,2,0,0.33,0.11,0.44,0.33,0.44,3.6,3.6,1.2,4.9,0.40,0.14,0.54,0.40,0.54
Justin Kluivert\Justin-Kluivert,FWMF,Roma,it Serie A,21,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05
Lukas Klünter\Lukas-Klunter,DF,Hertha BSC,de Bundesliga,24,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.03,0.03,0.00,0.03
Ansgar Knauff\Ansgar-Knauff,FWMF,Dortmund,de Bundesliga,18,4,0,71,0.8,1,1,1,0,0,0,0,1.27,1.27,2.54,1.27,2.54,0.1,0.1,1.0,1.1,0.12,1.23,1.36,0.12,1.36
Robin Knoche\Robin-Knoche,DF,Union Berlin,de Bundesliga,28,34,34,3042,33.8,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.9,0.9,0.3,1.2,0.03,0.01,0.04,0.03,0.04
Gregor Kobel\Gregor-Kobel,GK,Stuttgart,de Bundesliga,22,33,33,2970,33.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Robin Koch\Robin-Koch,DFMF,Leeds United,eng Premier League,24,17,13,1132,12.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.06,0.01,0.08,0.06,0.08
Giorgi Kochorashvili\Giorgi-Kochorashvili,MF,Levante,es La Liga,21,3,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.15,0.18,0.03,0.18
Kenan Kodro\Kenan-Kodro,FW,Valladolid,es La Liga,26,14,4,459,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.21,0.03,0.24,0.21,0.24
Kenan Kodro\Kenan-Kodro,FWMF,Athletic Club,es La Liga,26,3,0,44,0.5,1,0,0,1,1,1,0,2.05,0.00,2.05,0.00,0.00,0.8,0.0,0.0,0.0,1.60,0.00,1.60,0.04,0.04
Dominik Kohr\Dominik-Kohr,MF,Mainz 05,de Bundesliga,26,17,14,1268,14.1,1,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.9,0.9,1.2,2.1,0.06,0.09,0.15,0.06,0.15
Dominik Kohr\Dominik-Kohr,MFFW,Eint Frankfurt,de Bundesliga,26,7,2,260,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.19,0.01,0.20,0.19,0.20
Koba Koindredi\Koba-Koindredi,MF,Valencia,es La Liga,18,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Koke\Koke,MF,Atlético Madrid,es La Liga,28,37,34,3021,33.6,1,2,1,0,0,9,0,0.03,0.06,0.09,0.03,0.09,1.9,1.9,2.6,4.5,0.06,0.08,0.13,0.06,0.13
Aleksandr Kokorin\Aleksandr-Kokorin,FWMF,Fiorentina,it Serie A,29,4,0,94,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Aleksandar Kolarov\Aleksandar-Kolarov,DF,Inter,it Serie A,34,7,4,390,4.3,0,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,0.9,1.1,0.03,0.22,0.25,0.03,0.25
Sead Kolašinac\Sead-Kolasinac,DF,Arsenal,eng Premier League,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Sead Kolašinac\Sead-Kolasinac,DFMF,Schalke 04,de Bundesliga,27,17,16,1426,15.8,1,1,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,0.4,0.4,1.6,2.0,0.02,0.10,0.13,0.02,0.13
Randal Kolo Muani\Randal-Kolo-Muani,FW,Nantes,fr Ligue 1,21,37,35,3029,33.7,9,4,9,0,0,3,0,0.27,0.12,0.39,0.27,0.39,10.5,10.5,6.1,16.6,0.31,0.18,0.49,0.31,0.49
Timothée Kolodziejczak\Timothee-Kolodziejczak,DF,Saint-Étienne,fr Ligue 1,28,24,23,2036,22.6,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.4,1.2,0.04,0.02,0.05,0.04,0.05
Ghislain Konan\Ghislain-Konan,DF,Reims,fr Ligue 1,24,31,29,2613,29.0,2,1,2,0,0,5,0,0.07,0.03,0.10,0.07,0.10,0.3,0.3,1.2,1.6,0.01,0.04,0.05,0.01,0.05
Ibrahima Konaté\Ibrahima-Konate,DF,RB Leipzig,de Bundesliga,21,14,8,695,7.7,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.5,0.5,0.0,0.5,0.06,0.00,0.06,0.06,0.06
Moussa Konaté\Moussa-Konate,FW,Dijon,fr Ligue 1,27,27,13,1196,13.3,5,1,4,1,2,4,0,0.38,0.08,0.45,0.30,0.38,5.3,3.8,0.8,4.6,0.40,0.06,0.46,0.28,0.35
Geoffrey Kondogbia\Geoffrey-Kondogbia,MFFW,Atlético Madrid,es La Liga,27,25,4,611,6.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.02,0.04,0.07,0.02,0.07
Geoffrey Kondogbia\Geoffrey-Kondogbia,MF,Valencia,es La Liga,27,5,5,440,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01
Lamine Koné\Lamine-Kone,DF,Strasbourg,fr Ligue 1,31,15,12,1042,11.6,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.7,0.7,0.0,0.7,0.06,0.00,0.06,0.06,0.06
Moussa Koné\Moussa-Kone,FW,Nîmes,fr Ligue 1,23,33,21,1755,19.5,9,0,9,0,0,2,0,0.46,0.00,0.46,0.46,0.46,6.7,6.7,1.3,8.0,0.34,0.07,0.41,0.34,0.41
Youssouf Koné\Youssouf-Kone,DFFW,Elche,es La Liga,25,3,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Terence Kongolo\Terence-Kongolo,DF,Fulham,eng Premier League,26,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03
Ezri Konsa\Ezri-Konsa,DF,Aston Villa,eng Premier League,22,36,35,3196,35.5,2,0,2,0,0,3,0,0.06,0.00,0.06,0.06,0.06,2.1,2.1,0.2,2.3,0.06,0.01,0.07,0.06,0.07
Laurent Koscielny\Laurent-Koscielny,DF,Bordeaux,fr Ligue 1,34,26,25,2218,24.6,0,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,1.2,2.2,0.04,0.05,0.09,0.04,0.09
Filip Kostić\Filip-Kostic,DF,Eint Frankfurt,de Bundesliga,27,30,29,2534,28.2,4,14,4,0,0,4,0,0.14,0.50,0.64,0.14,0.64,3.9,3.9,11.5,15.4,0.14,0.41,0.55,0.14,0.55
Márk Kosznovszky\Mark-Kosznovszky,MF,Parma,it Serie A,18,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.34,0.00,0.34,0.34,0.34
Christian Kouamé\Christian-Kouame,FW,Fiorentina,it Serie A,22,33,9,995,11.1,1,1,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,3.5,3.5,1.2,4.7,0.32,0.11,0.43,0.32,0.43
Nianzou Kouassi\Nianzou-Kouassi,DFMF,Bayern Munich,de Bundesliga,18,6,0,118,1.3,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Kalidou Koulibaly\Kalidou-Koulibaly,DF,Napoli,it Serie A,29,26,25,2209,24.5,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.03,0.01,0.04,0.03,0.04
Jules Koundé\Jules-Kounde,DF,Sevilla,es La Liga,21,34,33,2975,33.1,2,1,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.7,2.8,0.06,0.02,0.08,0.06,0.08
Boubakar Kouyaté\Boubakar-Kouyate,DF,Metz,fr Ligue 1,23,25,21,1964,21.8,1,0,1,0,0,10,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.3,1.6,0.06,0.01,0.07,0.06,0.07
Cheikhou Kouyaté\Cheikhou-Kouyate,DF,Crystal Palace,eng Premier League,30,36,35,3121,34.7,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,0.8,0.8,0.2,1.0,0.02,0.01,0.03,0.02,0.03
Mateo Kovačić\Mateo-Kovacic,MF,Chelsea,eng Premier League,26,27,21,1815,20.2,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,1.0,1.0,1.8,2.9,0.05,0.09,0.14,0.05,0.14
Viktor Kovalenko\Viktor-Kovalenko,FW,Atalanta,it Serie A,24,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Emil Krafth\Emil-Krafth,DF,Newcastle Utd,eng Premier League,25,16,14,1288,14.3,1,0,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,0.2,0.2,0.4,0.5,0.01,0.03,0.04,0.01,0.04
Andrej Kramarić\Andrej-Kramaric,FWMF,Hoffenheim,de Bundesliga,29,28,26,2379,26.4,20,5,15,5,5,2,0,0.76,0.19,0.95,0.57,0.76,16.4,12.6,4.6,17.3,0.62,0.18,0.80,0.48,0.65
Christoph Kramer\Christoph-Kramer,MF,M'Gladbach,de Bundesliga,29,28,23,2033,22.6,0,2,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,0.4,0.4,1.2,1.6,0.02,0.05,0.07,0.02,0.07
Jean-Philippe Krasso\Jean-Philippe-Krasso,FW,Saint-Étienne,fr Ligue 1,23,6,2,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.08,0.17,0.25,0.08,0.25
Toni Kroos\Toni-Kroos,MF,Real Madrid,es La Liga,30,28,24,2117,23.5,3,10,3,0,0,6,0,0.13,0.43,0.55,0.13,0.55,2.2,2.2,6.7,8.9,0.09,0.28,0.38,0.09,0.38
Filip Krovinović\Filip-Krovinovic,MF,West Brom,eng Premier League,24,11,5,546,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.04,0.05,0.09,0.04,0.09
Rade Krunić\Rade-Krunic,MFFW,Milan,it Serie A,26,25,5,723,8.0,1,2,1,0,0,3,0,0.12,0.25,0.37,0.12,0.37,0.7,0.7,1.1,1.8,0.09,0.14,0.23,0.09,0.23
Max Kruse\Max-Kruse,FWMF,Union Berlin,de Bundesliga,32,22,19,1629,18.1,11,5,6,5,6,0,0,0.61,0.28,0.88,0.33,0.61,6.6,2.0,4.5,6.5,0.37,0.25,0.62,0.11,0.36
Lukas Kübler\Lukas-Kubler,DF,Freiburg,de Bundesliga,27,19,11,884,9.8,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.3,0.4,0.01,0.04,0.04,0.01,0.04
Takefusa Kubo\Takefusa-Kubo,MFFW,Villarreal,es La Liga,19,13,2,299,3.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.5,1.9,0.41,0.16,0.57,0.41,0.57
Takefusa Kubo\Takefusa-Kubo,MFFW,Getafe,es La Liga,19,18,8,805,8.9,1,1,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,0.9,0.9,0.8,1.7,0.10,0.09,0.19,0.10,0.19
Juraj Kucka\Juraj-Kucka,MFFW,Parma,it Serie A,33,28,28,2334,25.9,7,2,3,4,4,8,0,0.27,0.08,0.35,0.12,0.19,6.8,3.8,1.8,5.6,0.26,0.07,0.33,0.15,0.22
Kuki\Kuki,MF,Valladolid,es La Liga,22,2,0,30,0.3,0,1,0,0,0,0,0,0.00,3.00,3.00,0.00,3.00,0.0,0.0,0.1,0.1,0.00,0.16,0.16,0.00,0.16
Dejan Kulusevski\Dejan-Kulusevski,MFFW,Juventus,it Serie A,20,35,19,1923,21.4,4,3,4,0,0,7,0,0.19,0.14,0.33,0.19,0.33,2.9,2.9,6.4,9.4,0.14,0.30,0.44,0.14,0.44
Marash Kumbulla\Marash-Kumbulla,DF,Roma,it Serie A,20,21,14,1363,15.1,1,0,1,0,0,8,0,0.07,0.00,0.07,0.07,0.07,0.9,0.9,0.4,1.3,0.06,0.03,0.09,0.06,0.09
Pierre Kunde\Pierre-Kunde,MF,Mainz 05,de Bundesliga,25,11,6,513,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.03,0.15,0.18,0.03,0.18
Fabian Kunze\Fabian-Kunze,MF,Arminia,de Bundesliga,22,26,12,1270,14.1,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.9,0.04,0.03,0.06,0.04,0.06
Jasmin Kurtić\Jasmin-Kurtic,MF,Parma,it Serie A,31,34,31,2739,30.4,4,0,4,0,0,5,0,0.13,0.00,0.13,0.13,0.13,3.7,3.7,2.0,5.7,0.12,0.07,0.19,0.12,0.19
Layvin Kurzawa\Layvin-Kurzawa,DF,Paris S-G,fr Ligue 1,27,19,15,1278,14.2,1,1,1,0,0,4,1,0.07,0.07,0.14,0.07,0.14,0.7,0.7,1.7,2.4,0.05,0.12,0.17,0.05,0.17
Dereck Kutesa\Dereck-Kutesa,MFFW,Reims,fr Ligue 1,22,28,6,687,7.6,1,2,1,0,0,2,0,0.13,0.26,0.39,0.13,0.39,0.9,0.9,0.8,1.7,0.12,0.10,0.23,0.12,0.23
Ahmed Kutucu\Ahmed-Kutucu,FWMF,Schalke 04,de Bundesliga,20,7,0,108,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.21,0.01,0.22,0.21,0.22
Enock Kwateng\Enock-Kwateng,DF,Bordeaux,fr Ligue 1,23,18,12,1038,11.5,1,0,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,1.0,1.4,0.03,0.09,0.12,0.03,0.12
Antonino La Gumina\Antonino-La-Gumina,FW,Sampdoria,it Serie A,24,9,4,341,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.13,0.00,0.13,0.13,0.13
Gaëtan Laborde\Gaetan-Laborde,FWMF,Montpellier,fr Ligue 1,26,38,38,3256,36.2,16,8,16,0,0,3,0,0.44,0.22,0.66,0.44,0.66,11.7,11.7,4.9,16.5,0.32,0.13,0.46,0.32,0.46
Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,eng Premier League,29,31,22,1923,21.4,13,2,10,3,3,3,0,0.61,0.09,0.70,0.47,0.56,9.7,7.4,2.7,10.1,0.46,0.13,0.58,0.35,0.47
Tom Lacoux\Tom-Lacoux,MF,Bordeaux,fr Ligue 1,18,13,6,523,5.8,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03
Maxence Lacroix\Maxence-Lacroix,DF,Wolfsburg,de Bundesliga,20,30,29,2590,28.8,1,1,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,1.6,1.6,0.4,1.9,0.05,0.01,0.07,0.05,0.07
Alban Lafont\Alban-Lafont,GK,Nantes,fr Ligue 1,21,38,38,3420,38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Víctor Laguardia\Victor-Laguardia,DF,Alavés,es La Liga,30,32,30,2631,29.2,0,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,1.1,1.1,1.0,2.1,0.04,0.03,0.07,0.04,0.07
Konrad Laimer\Konrad-Laimer,DFFW,RB Leipzig,de Bundesliga,23,3,1,84,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.41,0.00,0.41,0.41,0.41
Stefan Lainer\Stefan-Lainer,DF,M'Gladbach,de Bundesliga,27,33,31,2768,30.8,2,2,2,0,0,2,0,0.07,0.07,0.13,0.07,0.13,2.3,2.3,2.4,4.7,0.08,0.08,0.15,0.08,0.15
Diego Lainez\Diego-Lainez,FW,Betis,es La Liga,20,21,8,862,9.6,0,2,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21,0.9,0.9,0.9,1.8,0.10,0.09,0.19,0.10,0.19
Kenny Lala\Kenny-Lala,DF,Strasbourg,fr Ligue 1,28,21,21,1834,20.4,3,2,0,3,3,1,0,0.15,0.10,0.25,0.00,0.10,2.5,0.3,4.0,4.3,0.12,0.20,0.32,0.01,0.21
Adam Lallana\Adam-Lallana,MFFW,Brighton,eng Premier League,32,30,16,1596,17.7,1,1,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,2.4,2.4,2.8,5.3,0.14,0.16,0.30,0.14,0.30
Érik Lamela\Erik-Lamela,FWMF,Tottenham,eng Premier League,28,23,5,717,8.0,1,0,1,0,0,6,1,0.13,0.00,0.13,0.13,0.13,1.4,1.4,0.9,2.4,0.18,0.12,0.30,0.18,0.30
Sam Lammers\Sam-Lammers,FWMF,Atalanta,it Serie A,23,15,1,291,3.2,2,0,2,0,0,0,0,0.62,0.00,0.62,0.62,0.62,1.3,1.3,0.3,1.6,0.39,0.10,0.49,0.39,0.49
Tariq Lamptey\Tariq-Lamptey,DF,Brighton,eng Premier League,19,11,11,886,9.8,1,1,1,0,0,4,1,0.10,0.10,0.20,0.10,0.20,0.6,0.6,1.1,1.7,0.06,0.11,0.17,0.06,0.17
