Player,Pos,Squad,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Luke Thomas\Luke-Thomas,DF,Leicester City,19,10.8,23,8,11,4,8,6,13,46.2,7,194,59,30.4,75,80,39,28,3,0,25,16,39,26,0
Youri Tielemans\Youri-Tielemans,MF,Leicester City,23,37.3,77,56,31,30,16,27,95,28.4,68,505,182,36,162,245,98,57,11,0,46,36,113,29,0
Kieran Tierney\Kieran-Tierney,DF,Arsenal,23,25.5,29,17,8,13,8,9,28,32.1,19,197,65,33,69,80,48,50,11,0,39,20,49,77,0
James Tomkins\James-Tomkins,DF,Crystal Palace,31,6.1,6,4,4,2,0,5,6,83.3,1,39,11,28.2,30,9,0,8,3,0,5,5,11,52,0
Fikayo Tomori\Fikayo-Tomori,DF,Chelsea,22,0.5,3,2,1,2,0,2,2,100,0,3,1,33.3,3,0,0,4,3,0,1,1,4,8,0
Ferrán Torres\Ferran-Torres,FWMF,Manchester City,20,14.5,15,8,6,6,3,7,22,31.8,15,217,66,30.4,37,93,87,17,1,0,16,7,22,6,0
Cenk Tosun\Cenk-Tosun,FW,Everton,29,0.5,0,0,0,0,0,0,0,,0,8,1,12.5,2,4,2,0,0,0,0,0,0,0,0
Andros Townsend\Andros-Townsend,MFFW,Crystal Palace,29,25.1,69,36,39,20,10,26,92,28.3,66,533,134,25.1,242,201,90,61,2,0,59,48,117,12,0
Conor Townsend\Conor-Townsend,DF,West Brom,27,24.8,56,32,37,14,5,31,54,57.4,23,272,93,34.2,130,102,40,45,16,2,29,40,96,65,1
Adama Traoré\Adama-Traore,FW,Wolves,24,29.4,32,23,15,12,5,9,20,45,11,345,107,31,78,184,83,28,2,0,26,11,43,16,1
Bertrand Traoré\Bertrand-Traore,FW,Aston Villa,24,25.7,26,9,9,8,9,9,39,23.1,30,389,74,19,106,157,126,26,1,0,25,23,49,16,0
Trézéguet\Trezeguet,FW,Aston Villa,25,13,32,18,13,12,7,11,38,28.9,27,304,67,22,91,119,94,27,1,0,26,11,43,16,0
Leandro Trossard\Leandro-Trossard,FWMF,Brighton,25,29,27,20,7,16,4,6,31,19.4,25,425,131,30.8,104,173,148,41,4,0,37,24,51,5,0
Kostas Tsimikas\Kostas-Tsimikas,DF,Liverpool,24,0.1,0,0,0,0,0,0,0,,0,4,3,75,0,2,2,0,0,0,0,0,0,0,0
Axel Tuanzebe\Axel-Tuanzebe,DF,Manchester Utd,22,4.5,10,5,5,4,1,6,8,75,2,58,16,27.6,36,19,3,14,7,0,7,4,14,19,1
Cengiz Ünder\Cengiz-Under,MFFW,Leicester City,23,3.1,3,3,0,2,1,1,5,20,4,44,15,34.1,11,18,15,5,0,0,5,3,6,0,0
Yan Valery\Yan-Valery,DFMF,Southampton,21,1.1,3,2,1,2,0,0,4,0,4,32,9,28.1,13,11,8,5,0,0,5,3,6,5,0
Jamie Vardy\Jamie-Vardy,FW,Leicester City,33,31.6,15,8,3,5,7,3,15,20,12,295,79,26.8,14,102,179,16,5,0,11,8,23,29,0
Joël Veltman\Joel-Veltman,DF,Brighton,28,25.3,77,41,47,22,8,33,63,52.4,30,312,92,29.5,141,122,49,35,4,0,31,35,112,84,0
Jannik Vestergaard\Jannik-Vestergaard,DF,Southampton,27,28.6,61,37,41,17,3,31,54,57.4,23,215,86,40,143,62,10,38,19,0,19,37,98,159,0
Rúben Vinagre\Ruben-Vinagre,DF,Wolves,21,1.9,5,3,3,2,0,2,5,40,3,26,5,19.2,13,9,4,4,0,0,4,1,6,6,0
Carlos Vinícius\Carlos-Vinicius,FW,Tottenham,25,3.4,1,0,1,0,0,1,1,100,0,51,14,27.5,4,21,26,2,0,0,2,1,2,5,0
João Virgínia\Joao-Virginia,GK,Everton,20,0.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Vitinha\Vitinha,MF,Wolves,20,5.8,10,7,3,6,1,0,7,0,7,127,41,32.3,30,76,21,3,0,0,3,4,14,2,0
Jake Vokins\Jake-Vokins,DF,Southampton,20,0.7,0,0,0,0,0,0,1,0,1,10,2,20,6,4,0,0,0,0,0,0,0,1,0
Matěj Vydra\Matej-Vydra,FW,Burnley,28,15.2,9,6,3,3,3,1,9,11.1,8,281,79,28.1,11,103,167,15,1,0,14,5,14,7,0
Theo Walcott\Theo-Walcott,MFFW,Southampton,31,18,29,18,12,12,5,11,41,26.8,30,340,101,29.7,93,148,99,23,1,0,22,9,38,6,0
Theo Walcott\Theo-Walcott,FW,Everton,31,0.1,0,0,0,0,0,0,0,,0,5,1,20,3,2,0,0,0,0,0,0,0,0,0
Kyle Walker\Kyle-Walker,DF,Manchester City,30,21.6,37,27,19,14,4,19,35,54.3,16,236,78,33.1,88,112,36,29,7,0,22,15,52,38,0
Kyle Walker-Peters\Kyle-Walker-Peters,DF,Southampton,23,29.4,83,43,57,23,3,26,57,45.6,31,421,126,29.9,220,159,42,70,15,0,55,40,123,68,1
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,Manchester Utd,22,34,97,52,60,30,7,21,40,52.5,19,434,140,32.3,195,169,70,113,17,0,96,66,163,108,0
Joel Ward\Joel-Ward,DF,Crystal Palace,30,25.1,46,26,35,11,0,19,39,48.7,20,356,92,25.8,203,109,44,49,9,0,40,52,98,115,1
James Ward-Prowse\James-Ward-Prowse,MF,Southampton,25,38,84,57,34,43,7,29,74,39.2,45,630,207,32.9,220,324,86,71,5,0,66,44,128,76,0
Ollie Watkins\Ollie-Watkins,FW,Aston Villa,24,37,35,22,5,18,12,10,30,33.3,20,626,166,26.5,36,246,344,19,3,0,16,12,47,25,0
Caleb Watts\Caleb-Watts,MFFW,Southampton,18,0.4,2,1,2,0,0,2,5,40,3,20,7,35,9,8,3,3,0,0,3,0,2,0,0
Adam Webster\Adam-Webster,DF,Brighton,25,28.8,30,21,18,10,2,14,32,43.8,18,214,87,40.7,97,93,24,51,21,1,30,40,70,123,0
Danny Welbeck\Danny-Welbeck,FW,Brighton,29,17.2,12,8,3,6,3,4,15,26.7,11,255,61,23.9,43,99,113,23,3,0,20,5,17,11,0
Timo Werner\Timo-Werner,FW,Chelsea,24,28.9,28,18,9,14,5,10,42,23.8,32,380,111,29.2,68,155,157,24,1,0,23,6,34,4,0
Ashley Westwood\Ashley-Westwood,MF,Burnley,30,37.9,25,14,9,12,4,5,40,12.5,35,492,133,27,155,265,72,50,10,0,40,48,73,49,0
Ben White\Ben-White,DFMF,Brighton,22,35.5,56,33,28,24,4,24,64,37.5,40,409,142,34.7,184,188,37,69,25,0,44,45,101,78,2
Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,29,32.7,30,24,9,16,5,9,34,26.5,25,425,154,36.2,122,215,88,37,3,0,34,25,55,24,1
Brandon Williams\Brandon-Williams,DF,Manchester Utd,19,2.1,1,1,0,1,0,0,1,0,1,15,4,26.7,6,8,1,5,0,0,5,9,10,3,0
Neco Williams\Neco-Williams,DF,Liverpool,19,2.8,6,5,4,2,0,3,8,37.5,5,45,13,28.9,17,18,10,8,1,0,7,5,11,4,0
Rhys Williams\Rhys-Williams,DF,Liverpool,19,7.3,6,2,2,4,0,1,2,50,1,54,15,27.8,29,21,4,5,4,0,1,8,14,67,1
Willian\Willian,FWMF,Arsenal,31,15.6,16,6,8,7,1,7,25,28,18,192,49,25.5,44,77,71,22,0,0,22,12,28,4,0
Joe Willock\Joe-Willock,MF,Arsenal,20,2.6,4,4,2,1,1,0,7,0,7,42,15,35.7,14,16,12,9,1,0,8,5,9,0,0
Joe Willock\Joe-Willock,MF,Newcastle Utd,20,10.9,34,25,20,10,4,11,48,22.9,37,331,60,18.1,141,129,61,30,5,0,25,32,66,15,0
Callum Wilson\Callum-Wilson,FW,Newcastle Utd,28,23.2,13,10,2,6,5,3,12,25,9,335,90,26.9,33,139,163,18,3,0,15,3,16,12,1
Harry Winks\Harry-Winks,MF,Tottenham,24,9.6,24,14,15,9,0,9,22,40.9,13,161,52,32.3,70,74,17,12,4,0,8,16,40,12,0
Chris Wood\Chris-Wood,FW,Burnley,28,30.5,17,11,4,3,10,6,17,35.3,11,354,91,25.7,20,131,203,27,4,0,23,5,22,19,0
Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,27,28,58,37,23,22,13,33,64,51.6,31,346,96,27.7,108,161,77,33,7,0,26,25,83,55,1
