Player,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,71,3.38,48,13,4,6,0,0,11,0.52,8,1,2,0,0,0
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,15,0.65,13,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,34,1.25,31,0,1,2,0,0,2,0.07,1,0,0,1,0,0
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
