Player,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,10,0,0,70,55,0,12,61,87,0,0,0,401,92,70,56.8
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,5,1,0,50,35,2,8,58,40,0,0,1,361,52,28,65.0
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,5,0,0,29,29,0,6,13,30,0,0,0,190,10,21,32.3
Ángel\Angel,GK,Granada,es La Liga,18,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0,0,0,2,1,1,0,0,1,0,0,0,18,10,7,58.8
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,3,0,0,8,4,0,37,11,10,0,0,0,133,17,18,48.6
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,2,0,0,22,26,7,112,32,18,0,0,0,190,17,30,36.2
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,1,0,0,24,22,0,133,27,26,0,1,0,150,7,17,29.2
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,3,0,0,24,34,1,8,50,23,0,1,0,344,64,48,57.1
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,1,0,0,2,2,0,0,1,0,0,0,0,4,2,0,100.0
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,3,0,0,28,40,16,30,9,8,1,0,0,81,63,116,35.2
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,1,0,0,2,2,0,0,5,3,0,0,0,13,2,5,28.6
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,3,1,0,21,24,3,20,16,11,0,0,0,123,7,16,30.4
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,2,0,0,20,31,2,41,9,21,0,0,0,118,15,31,32.6
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,3,0,0,16,4,1,41,21,30,0,1,0,167,31,20,60.8
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,11,0,0,58,74,1,50,54,56,0,0,0,340,55,60,47.8
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,4,0,0,31,25,0,2,27,29,0,0,0,223,13,23,36.1
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,5,0,0,24,19,0,25,13,22,0,0,0,129,9,23,28.1
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,5,0,0,30,6,0,3,35,16,0,0,0,265,65,37,63.7
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,3,0,0,12,18,2,0,15,22,1,1,0,149,54,16,77.1
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,8,0,0,38,13,0,30,56,30,0,2,0,444,82,57,59.0
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,2,0,0,0,5,0,0,0,1,0,0,0,150,0,0,
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,0,0,0,1,0,0,0,0,4,0,0,0,12,0,3,0.0
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,0,0,0,2,2,0,1,0,0,1,0,0,12,11,41,21.2
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,1,0,0,3,1,2,0,0,0,0,0,0,1,0,2,0.0
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.0
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,3,0,0,35,35,4,26,30,41,0,0,0,270,8,23,25.8
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,7,1,0,39,62,0,33,41,42,0,1,0,386,40,34,54.1
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,0,0,0,1,1,2,0,0,1,0,0,0,7,9,11,45.0
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,1,0,0,1,2,2,1,3,1,0,0,0,13,1,2,33.3
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,1,0,0,1,0,0,0,0,0,0,0,0,34,0,0,
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,9,0,0,38,47,0,9,21,39,0,1,0,189,13,9,59.1
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,0,0,0,0,4,0,4,5,4,0,0,0,21,2,1,66.7
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,2,0,0,10,4,0,3,11,16,0,0,0,96,11,13,45.8
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,2,0,0,1,2,0,0,0,0,0,1,0,146,0,0,
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,1,0,0,6,28,6,76,15,10,0,0,0,119,10,7,58.8
