Player,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Philipp Lienhart\Philipp-Lienhart,DF,Freiburg,de Bundesliga,24,33.3,4,0,0,16,35,3,1,44,15,0,0,0,292,68,48,58.6
Matthijs de Ligt\Matthijs-de-Ligt,DF,Juventus,it Serie A,20,24.7,4,0,0,40,23,1,5,28,19,0,0,0,218,65,30,68.4
Isaac Lihadji\Isaac-Lihadji,MFDF,Lille,fr Ligue 1,18,2.2,0,0,0,3,1,1,5,0,6,0,0,0,23,4,6,40.0
Dimitris Limnios\Dimitris-Limnios,MFFW,Köln,de Bundesliga,22,4.2,0,0,0,5,12,1,9,1,5,0,0,0,28,3,6,33.3
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,eng Premier League,26,28.7,0,0,0,24,8,1,1,32,16,0,1,0,265,69,36,65.7
Karol Linetty\Karol-Linetty,MF,Torino,it Serie A,25,20.4,5,0,0,31,30,1,7,16,30,0,0,0,166,8,15,34.8
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,eng Premier League,27,15.8,3,0,0,22,24,6,23,7,10,2,0,0,88,0,6,0.0
Pol Lirola\Pol-Lirola,DFFW,Fiorentina,it Serie A,22,5.5,3,0,0,4,3,1,20,5,5,0,0,0,39,4,5,44.4
Pol Lirola\Pol-Lirola,DF,Marseille,fr Ligue 1,22,17.3,3,0,0,14,16,0,57,31,15,0,0,0,138,18,11,62.1
Jake Livermore\Jake-Livermore,MF,West Brom,eng Premier League,30,13.8,2,1,0,30,6,0,4,19,19,0,0,1,143,18,19,48.6
Diego Llorente\Diego-Llorente,DF,Leeds United,eng Premier League,26,13.4,1,0,0,15,9,0,2,41,27,0,0,0,117,40,26,60.6
Diego Llorente\Diego-Llorente,DF,Real Sociedad,es La Liga,26,1.0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,1,66.7
Fernando Llorente\Fernando-Llorente,FW,Udinese,it Serie A,35,7.9,2,0,0,21,11,3,1,4,2,0,0,0,37,47,33,58.8
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,it Serie A,35,0.6,0,0,0,3,1,0,1,0,0,0,0,0,3,3,3,50.0
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,6,0,0,59,39,6,72,31,44,0,1,0,237,25,38,39.7
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,0,0,0,0,3,0,0,0,0,0,0,0,152,0,0,
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,5,0,0,19,20,0,3,8,23,0,0,0,105,11,18,37.9
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,2,0,0,5,2,0,0,1,1,0,0,0,15,2,2,50.0
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,9,0,0,53,48,1,34,43,52,1,1,0,326,53,44,54.6
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,3,0,0,19,27,2,49,23,16,0,0,0,105,10,12,45.5
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,0,0,0,1,2,0,0,1,0,0,0,0,5,1,3,25.0
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,3,0,0,29,51,3,13,23,22,1,0,0,134,43,81,34.7
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,2,0,0,8,4,0,1,4,8,0,0,0,88,22,21,51.2
Shane Long\Shane-Long,FWMF,Southampton,eng Premier League,33,2.3,0,0,0,7,6,3,0,2,0,0,0,0,18,15,14,51.7
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,0,0,0,3,5,0,3,6,3,0,0,0,44,6,5,54.5
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,2,0,0,23,21,0,7,19,21,0,0,0,118,12,15,44.4
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,5,0,0,46,59,12,64,25,29,0,0,0,200,7,36,16.3
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,2,0,0,2,7,0,0,0,0,0,2,2,192,0,0,
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,1,0,0,15,24,1,37,15,18,0,0,0,110,8,19,29.6
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,2,0,0,14,15,3,38,10,22,0,0,0,98,17,12,58.6
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,0,0,0,4,4,4,7,1,4,0,0,0,34,16,30,34.8
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,1,1,0,3,3,0,11,6,5,0,0,0,31,3,3,50.0
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,1,0,0,4,1,0,1,1,0,0,0,0,6,1,3,25.0
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,7,0,0,24,22,0,12,23,19,0,0,0,133,4,10,28.6
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,0,0,0,0,1,0,0,0,0,0,0,0,97,0,0,
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,0,0,0,2,5,1,14,3,2,0,0,0,47,7,11,38.9
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,7,0,0,21,21,1,16,11,22,0,0,1,161,8,21,27.6
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,0,0,0,0,2,0,1,4,1,0,0,0,15,2,1,66.7
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,7,1,1,28,34,2,43,18,19,1,0,0,187,23,23,50.0
Adrien Louveau\Adrien-Louveau,DFMF,Lens,fr Ligue 1,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,4,1,0,36,45,3,30,46,34,0,0,0,273,24,36,40.0
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,5,0,0,26,9,0,3,19,18,0,1,0,187,56,33,62.9
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,1,0,0,10,3,0,17,3,14,0,0,0,43,5,19,20.8
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,0,0,0,1,0,0,3,1,4,0,0,0,16,0,1,0.0
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,5,0,0,19,13,0,57,55,36,0,0,0,315,38,24,61.3
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,5,0,0,49,32,11,18,3,10,0,0,0,65,57,83,40.7
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,6,0,0,34,69,11,70,18,20,1,0,0,114,15,22,40.5
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,0,0,0,1,0,0,0,0,1,0,0,0,2,4,8,33.3
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,1,0,0,3,2,0,7,3,4,0,1,0,18,1,2,33.3
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,4,1,1,13,22,0,8,17,14,0,0,0,97,10,15,40.0
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,5,0,0,26,39,0,10,16,24,0,0,0,195,31,25,55.4
Jeison Lucumí\Jeison-Lucumi,FW,Elche,es La Liga,25,0.5,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,50.0
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,1,0,0,7,3,2,7,4,5,0,0,0,48,5,7,41.7
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,6,0,0,31,30,12,96,35,35,0,2,0,259,28,41,40.6
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,3,0,0,17,18,18,75,11,13,0,0,0,125,12,22,35.3
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,3,0,0,49,16,2,12,73,43,0,1,0,340,87,42,67.4
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,1,0,0,4,4,0,1,3,8,0,0,0,22,2,1,66.7
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,1,0,0,0,4,0,1,1,0,0,0,0,16,2,1,66.7
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,0,0,0,6,1,0,1,3,4,0,1,0,17,1,0,100.0
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,1,1,0,15,6,1,7,12,9,0,0,0,115,30,12,71.4
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,10,1,1,59,49,0,13,33,43,0,2,0,375,40,43,48.2
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,4,0,0,34,49,19,23,3,5,0,0,0,87,37,62,37.4
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,4,1,1,34,31,20,26,10,14,0,0,0,109,27,33,45.0
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,4,0,0,46,36,2,25,15,28,1,0,0,175,26,56,31.7
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,1,0,0,13,3,2,23,8,10,0,0,0,57,11,3,78.6
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,8,1,0,24,20,1,31,21,12,0,0,0,171,18,15,54.5
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,5,1,1,28,19,0,0,18,19,0,0,0,164,28,25,52.8
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,1,0,0,1,3,0,0,0,0,0,1,0,141,0,0,
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,8,0,0,24,13,0,5,50,11,0,1,0,237,43,29,59.7
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,10,2,2,29,24,2,70,29,15,0,1,0,186,60,35,63.2
Yann M'Vila\Yann-MVila,MFFW,Saint-Étienne,fr Ligue 1,30,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,1,0,0,19,15,0,7,11,18,0,0,0,102,10,24,29.4
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,1,0,0,32,45,11,67,39,19,0,0,0,146,13,52,20.0
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,66.7
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,2,0,0,11,7,0,13,2,19,0,0,0,65,10,9,52.6
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,4,0,0,19,57,5,40,11,27,2,0,0,149,3,18,14.3
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,4,0,0,12,44,2,69,32,22,0,2,0,207,35,28,55.6
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,10,0,0,66,14,0,1,36,41,0,1,0,213,46,32,59.0
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,2,0,0,6,7,0,3,2,5,0,0,0,26,5,7,41.7
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,3,0,0,58,41,4,24,27,48,0,0,0,180,33,29,53.2
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,2,0,0,5,6,0,1,5,8,0,0,0,68,3,11,21.4
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,8,0,0,44,29,0,1,48,12,0,0,1,187,87,37,70.2
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,4,0,0,12,9,0,3,13,16,0,0,0,61,6,5,54.5
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,11,0,0,40,30,1,4,61,18,0,0,0,392,145,42,77.5
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,0,0,0,1,1,0,0,1,2,0,0,0,5,1,2,33.3
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,1,0,0,3,0,0,3,1,1,0,0,0,1,0,0,
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,0,0,0,13,30,7,60,6,15,0,0,0,123,15,18,45.5
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,0,0,0,2,5,2,10,9,14,0,0,0,117,5,5,50.0
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.0
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,9,0,0,63,36,3,17,41,56,1,0,0,329,42,33,56.0
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,1,0,0,2,9,0,0,0,0,0,0,0,195,0,0,
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,0,0,0,6,3,2,4,13,11,1,0,0,44,5,4,55.6
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,2,0,0,10,14,0,12,25,14,1,0,0,125,8,22,26.7
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,2,0,0,8,12,2,0,5,2,0,0,0,33,12,20,37.5
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,0,0,0,8,7,2,0,4,6,0,0,0,41,9,36,20.0
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,0,0,0,9,19,2,9,3,1,0,0,0,30,2,9,18.2
Marco Majouga\Marco-Majouga,FWMF,Nîmes,fr Ligue 1,19,1.2,0,0,0,3,1,1,1,1,0,0,0,0,8,3,2,60.0
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,1,0,0,13,4,0,2,3,7,0,0,0,47,8,0,100.0
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,5,0,0,28,9,0,18,50,35,0,1,0,266,56,58,49.1
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,1,0,0,6,6,0,1,16,6,0,0,1,137,37,13,74.0
Adilson Malanda\Adilson-Malanda,MF,Nîmes,fr Ligue 1,18,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,2,0,0,17,15,7,14,4,8,0,0,0,39,9,47,16.1
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,0,0,0,4,1,0,6,2,2,0,0,0,17,2,1,66.7
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,33.3
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,0,0,0,4,1,0,1,0,0,0,0,0,5,0,0,
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,3,0,0,45,55,1,31,3,17,0,0,0,153,29,28,50.9
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0.0
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,8,0,0,56,29,6,68,29,37,1,2,0,273,62,57,52.1
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,5,0,0,36,37,0,5,51,36,0,0,0,245,22,31,41.5
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,1,0,0,6,7,0,8,6,4,0,0,0,55,9,9,50.0
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,1,0,0,8,3,0,1,1,4,0,0,0,36,7,6,53.8
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,4,0,0,16,15,0,42,36,24,0,1,0,205,13,14,48.1
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,10,0,0,67,27,2,10,71,40,0,1,0,241,62,34,64.6
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,1,0,0,0,4,0,0,0,0,0,0,0,195,0,0,
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,2,1,0,37,35,2,55,55,52,0,0,0,229,51,22,69.9
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,6,2,1,20,14,3,1,33,20,0,1,0,216,56,28,66.7
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,0,0,0,5,4,1,3,3,5,0,1,0,37,6,2,75.0
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,5,1,1,33,30,1,13,19,17,0,0,0,192,13,13,50.0
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,1,0,0,9,2,2,2,1,5,0,0,0,8,13,12,52.0
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,3,0,0,54,78,31,63,15,32,1,0,0,160,28,80,25.9
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,3.6,1,0,0,5,2,2,0,4,1,0,0,0,43,18,9,66.7
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,23.4,4,0,0,34,28,0,10,27,18,0,0,0,225,9,13,40.9
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,29.9,3,0,0,17,24,1,36,33,49,0,0,0,335,31,26,54.4
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9.0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,25.5,5,0,0,21,12,1,2,26,21,1,1,0,178,50,33,60.2
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,9.2,1,0,0,7,8,0,20,8,14,0,0,0,75,17,10,63.0
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,3.3,1,0,0,3,2,1,2,2,1,0,0,0,23,5,2,71.4
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,12.0,2,0,0,18,10,2,23,5,11,0,0,0,50,1,24,4.0
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,13.0,4,0,0,13,18,0,42,12,18,0,0,0,95,14,12,53.8
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,2.5,0,0,0,7,4,1,1,0,3,0,0,0,11,15,6,71.4
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,13.1,3,0,0,25,26,7,6,1,4,1,0,0,56,42,91,31.6
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,6.9,2,0,0,12,3,0,10,8,4,0,0,0,56,9,11,45.0
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,0.9,0,0,0,1,1,0,3,0,0,0,0,0,13,8,1,88.9
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,11.7,3,0,0,10,15,3,41,9,17,0,1,0,74,5,13,27.8
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,32.3,7,2,1,38,10,1,5,38,26,0,1,0,331,117,46,71.8
Solly March\Solly-March,DF,Brighton,eng Premier League,26,18.6,0,0,0,26,26,2,71,19,35,0,1,0,186,17,22,43.6
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,3.7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,17.3,4,0,0,17,14,4,40,19,12,0,1,0,135,27,16,62.8
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,33.5,7,0,0,41,35,0,3,37,26,1,0,0,298,81,46,63.8
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,29.4,10,1,1,29,19,0,4,36,48,0,2,0,274,26,16,61.9
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,16.9,2,0,0,13,5,2,43,19,17,0,0,0,128,11,15,42.3
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,5.7,0,0,0,8,1,0,3,6,6,0,0,0,39,12,5,70.6
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,16.1,5,0,0,27,18,0,4,15,22,0,0,0,180,30,28,51.7
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10.0,2,0,0,8,4,0,0,5,11,0,1,0,72,29,16,64.4
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,19.6,5,0,0,19,18,2,1,21,15,0,1,0,140,58,25,69.9
Mariano\Mariano,FW,Real Madrid,es La Liga,26,5.7,0,0,0,8,5,13,0,0,2,0,0,0,15,20,13,60.6
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,15.9,2,0,0,12,7,0,7,21,29,0,0,0,155,14,13,51.9
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,1.0,0,0,0,3,0,0,0,1,1,0,0,0,12,3,1,75.0
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,3.0,1,0,0,3,2,0,3,7,2,0,0,0,24,5,4,55.6
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,32.9,6,0,0,48,24,3,46,26,49,0,0,0,286,15,22,40.5
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,23.2,7,0,0,18,8,1,1,26,17,0,1,0,201,53,32,62.4
Marlon\Marlon,DF,Sassuolo,it Serie A,24,19.4,6,1,1,26,8,0,0,28,19,0,1,0,162,39,27,59.1
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,23.6,2,0,0,14,5,1,3,32,18,0,0,0,214,52,35,59.8
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,17.6,8,0,0,36,11,0,0,14,19,0,1,1,176,22,14,61.1
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,24.4,4,0,0,43,25,14,16,5,13,0,0,0,81,18,56,24.3
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,16.4,0,1,0,15,27,15,12,4,1,4,0,0,62,15,23,39.5
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,2.9,0,0,0,4,0,0,13,3,2,0,0,0,17,0,2,0.0
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,17.1,1,0,0,24,15,3,44,17,12,0,0,0,107,17,27,38.6
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,1.1,0,0,0,1,0,0,1,2,0,0,0,0,3,2,2,50.0
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,5.4,3,0,0,10,5,0,2,9,11,0,0,0,61,10,5,66.7
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,6.5,0,0,0,9,4,1,14,8,1,0,0,0,33,6,14,30.0
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,16.5,4,1,0,23,10,0,4,36,31,0,1,0,128,31,31,50.0
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38.0,1,0,0,1,9,0,0,0,0,0,0,0,178,0,0,
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28.0,9,1,0,30,34,4,9,37,14,0,0,0,274,79,46,63.2
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,5.1,1,0,0,5,7,0,3,4,9,0,0,0,47,6,5,54.5
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,5.2,0,0,0,2,7,0,1,11,5,0,0,0,61,20,7,74.1
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,28.5,5,0,0,65,61,11,16,28,18,3,0,0,133,32,61,34.4
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,6.0,1,0,0,5,10,0,0,7,8,0,0,0,50,8,7,53.3
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,17.2,3,0,0,22,36,5,28,12,22,2,0,0,133,10,24,29.4
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,33.0,3,0,0,19,17,4,50,48,28,0,1,1,232,43,25,63.2
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,2.2,0,0,0,2,7,0,1,1,4,0,0,0,21,2,1,66.7
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,1.5,0,0,0,1,5,0,4,1,1,0,0,0,18,5,0,100.0
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,19.6,6,0,0,26,12,0,5,36,21,0,0,0,222,33,25,56.9
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,28.5,6,0,0,15,12,1,5,41,22,0,1,0,257,39,43,47.6
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25.0,3,0,0,1,2,0,0,0,0,0,0,0,115,0,0,
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,8.4,2,0,0,5,7,7,7,12,14,0,0,0,66,11,12,47.8
Giuseppe Mastinu\Giuseppe-Mastinu,FW,Spezia,it Serie A,28,0.4,0,0,0,1,1,0,0,1,1,0,0,0,4,0,0,
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,11.2,2,0,0,10,8,1,33,6,13,0,1,0,101,10,17,37.0
