,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Jean-Louis Leca\Jean-Louis-Leca,GK,Lens,fr Ligue 1,34,36.8,0.00,1.47,0.60,0.00
Mathew Leckie\Mathew-Leckie,FWDF,Hertha BSC,de Bundesliga,29,5.6,0.00,7.14,1.25,1.07
Benjamin Lecomte\Benjamin-Lecomte,GK,Monaco,fr Ligue 1,29,28.0,0.00,1.96,1.25,0.00
Jeremías Ledesma\Jeremias-Ledesma,GK,Cádiz,es La Liga,27,32.0,0.00,1.22,1.03,0.00
Pierre Lees-Melou\Pierre-Lees-Melou,MF,Nice,fr Ligue 1,27,22.9,0.17,8.25,1.62,0.70
Lucas Leiva\Lucas-Leiva,MF,Lazio,it Serie A,33,23.7,0.00,8.27,1.43,0.30
Florian Lejeune\Florian-Lejeune,DF,Alavés,es La Liga,29,33.5,0.03,4.00,2.87,0.15
Iñigo Lekue\Inigo-Lekue,DF,Athletic Club,es La Liga,27,7.2,0.28,4.58,1.39,3.06
Thomas Lemar\Thomas-Lemar,MFFW,Atlético Madrid,es La Liga,24,15.2,0.13,7.70,2.37,1.84
Mario Lemina\Mario-Lemina,MF,Fulham,eng Premier League,26,18.9,0.05,4.44,1.27,0.26
Fabien Lemoine\Fabien-Lemoine,MF,Lorient,fr Ligue 1,33,21.5,0.09,10.9,1.77,0.60
Clément Lenglet\Clement-Lenglet,DF,Barcelona,es La Liga,25,27.5,0.07,6.07,1.67,0.22
Bernd Leno\Bernd-Leno,GK,Arsenal,eng Premier League,28,34.8,0.03,2.44,0.60,0.00
Christopher Lenz\Christopher-Lenz,DF,Union Berlin,de Bundesliga,25,25.0,0.12,8.00,1.36,2.88
Pedro León\Pedro-Leon,MFFW,Eibar,es La Liga,33,10.4,0.00,7.12,2.12,3.94
Sergio León\Sergio-Leon,FW,Levante,es La Liga,31,8.3,0.12,4.34,0.36,0.48
Lukas Lerager\Lukas-Lerager,MF,Genoa,it Serie A,27,12.9,0.00,4.81,1.09,0.16
Mehdi Léris\Mehdi-Leris,DFMF,Sampdoria,it Serie A,22,4.3,0.00,10.0,2.09,2.56
Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,eng Premier League,20,0.1,0.00,10.0,0.00,0.00
Karlo Letica\Karlo-Letica,GK,Sampdoria,it Serie A,23,1.0,0.00,4.00,0.00,0.00
Gaetano Letizia\Gaetano-Letizia,DF,Benevento,it Serie A,30,17.4,0.00,5.46,1.90,3.51
Robert Lewandowski\Robert-Lewandowski,FW,Bayern Munich,de Bundesliga,31,27.3,0.15,5.53,0.55,0.81
Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,eng Premier League,22,20.4,0.00,3.87,0.44,1.57
Aaron Leya Iseka\Aaron-Leya-Iseka,FW,Metz,fr Ligue 1,22,11.2,0.27,5.00,0.18,0.36
Yanis Lhery\Yanis-Lhery,MFFW,Saint-Étienne,fr Ligue 1,17,0.3,0.00,3.33,0.00,0.00
Dimitri Liénard\Dimitri-Lienard,MF,Strasbourg,fr Ligue 1,32,20.3,0.10,8.72,5.52,3.40
Philipp Lienhart\Philipp-Lienhart,DF,Freiburg,de Bundesliga,24,33.3,0.00,4.83,2.16,0.03
Matthijs de Ligt\Matthijs-de-Ligt,DF,Juventus,it Serie A,20,24.7,0.00,5.10,1.30,0.20
Isaac Lihadji\Isaac-Lihadji,MFDF,Lille,fr Ligue 1,18,2.2,0.00,6.82,2.27,2.27
Dimitris Limnios\Dimitris-Limnios,MFFW,Köln,de Bundesliga,22,4.2,0.00,6.67,0.95,2.14
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,eng Premier League,26,28.7,0.07,5.51,0.66,0.03
Karol Linetty\Karol-Linetty,MF,Torino,it Serie A,25,20.4,0.00,6.62,1.18,0.34
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,eng Premier League,27,15.8,0.13,6.84,0.70,1.46
Pol Lirola\Pol-Lirola,DFFW,Fiorentina,it Serie A,22,5.5,0.18,4.36,1.27,3.64
Pol Lirola\Pol-Lirola,DF,Marseille,fr Ligue 1,22,17.3,0.06,6.42,2.49,3.29
Jake Livermore\Jake-Livermore,MF,West Brom,eng Premier League,30,13.8,0.07,4.42,0.29,0.29
Diego Llorente\Diego-Llorente,DF,Leeds United,eng Premier League,26,13.4,0.15,4.93,1.34,0.15
Diego Llorente\Diego-Llorente,DF,Real Sociedad,es La Liga,26,1.0,0.00,4.00,1.00,0.00
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,it Serie A,35,0.6,0.00,11.7,0.00,1.67
Fernando Llorente\Fernando-Llorente,FW,Udinese,it Serie A,35,7.9,0.00,9.75,0.13,0.13
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,0.12,8.17,1.01,2.20
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,0.00,1.37,0.45,0.00
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,0.19,10.3,1.52,0.29
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,0.00,10.6,2.35,0.00
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,0.16,10.3,2.84,1.06
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,0.00,6.88,1.68,3.92
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,0.00,4.29,0.00,0.00
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,0.05,6.60,0.33,0.61
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,0.00,2.00,0.00,0.00
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,0.00,4.93,1.69,0.14
Shane Long\Shane-Long,FW,Southampton,eng Premier League,33,2.3,0.00,9.13,0.00,0.00
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,0.00,6.90,0.48,0.71
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,0.06,5.86,2.74,0.45
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,0.16,5.31,1.38,2.10
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,0.00,0.95,1.13,0.00
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,0.15,7.68,2.27,1.87
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,0.00,5.88,1.93,3.19
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,0.00,10.6,0.00,1.32
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,0.36,6.79,2.50,3.93
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,0.05,8.55,1.16,0.58
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,0.00,8.00,0.67,0.67
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,0.00,3.37,0.50,0.00
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,0.54,10.2,1.61,2.50
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,0.13,7.53,3.92,1.01
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,0.00,6.07,1.43,0.36
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,0.04,6.78,0.76,1.82
Adrien Louveau\Adrien-Louveau,DF,Lens,fr Ligue 1,20,0.1,0.00,0.00,0.00,0.00
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,0.15,5.49,2.05,1.14
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,0.00,5.78,0.52,0.19
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,0.00,5.08,1.15,2.79
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,0.00,8.89,1.11,3.33
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,0.06,4.56,1.56,1.68
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,0.00,5.62,0.24,1.07
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,0.05,6.28,0.41,3.21
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,0.00,17.5,0.00,0.00
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,0.00,6.32,4.21,3.68
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,0.27,7.95,2.05,0.71
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,0.00,6.40,0.73,0.56
Jeison Lucumí\Jeison-Lucumi,FWMF,Elche,es La Liga,25,0.5,0.00,6.00,0.00,0.00
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,0.34,7.24,0.00,1.21
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,0.00,5.47,1.80,3.04
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,0.11,5.24,0.96,2.77
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,0.04,5.96,0.74,0.44
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,0.00,7.41,2.22,0.37
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,0.00,4.50,1.00,0.50
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,0.00,7.89,6.32,0.53
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,0.13,5.87,1.74,0.45
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,0.00,7.09,1.65,0.42
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,0.19,8.53,0.53,0.72
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,0.00,5.97,1.07,1.26
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,0.09,6.03,0.56,1.07
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,0.00,9.50,1.25,2.88
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,0.04,6.02,2.17,1.37
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,0.05,4.21,0.53,0.00
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,0.00,2.31,0.39,0.00
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,0.00,6.38,2.71,0.23
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,0.00,3.68,0.78,2.60
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,0.2,0.00,0.00,0.00,0.00
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,0.24,5.40,0.73,0.56
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,0.09,4.93,1.33,2.98
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,0.00,10.0,0.00,0.00
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,0.00,20.0,0.00,0.00
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,0.00,7.17,1.33,2.17
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,0.26,7.12,1.80,1.72
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,0.00,20.0,0.00,0.00
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,0.05,6.88,1.88,3.17
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,0.00,6.36,0.87,0.04
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,0.00,4.55,0.00,0.91
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,0.16,6.79,0.69,0.98
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,0.00,8.37,1.02,0.20
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,0.06,4.64,0.95,0.06
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,0.15,5.97,2.54,0.45
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,0.03,6.70,2.15,0.12
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,0.00,5.71,0.00,0.00
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,0.00,7.50,2.50,7.50
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,0.37,7.33,1.29,2.76
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,0.09,6.52,0.96,0.87
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,3.33,10.0,3.33,0.00
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,0.07,8.63,1.67,0.57
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,0.03,1.13,0.50,0.00
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,0.19,5.00,1.67,0.74
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,0.15,5.77,0.51,0.88
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,0.00,4.44,0.33,0.00
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,0.00,6.18,0.11,0.00
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,0.00,3.00,0.00,0.00
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,0.00,2.79,0.66,1.48
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,1.4,0.00,7.86,0.71,0.71
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,0.00,8.10,1.38,0.34
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,0.00,4.29,0.56,0.59
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,0.00,5.00,3.28,0.07
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,0.00,4.27,0.52,1.46
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,2.50,7.50,0.00,0.00
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,0.00,3.04,0.00,2.61
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,0.00,3.33,0.00,3.33
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,0.34,10.7,2.88,1.49
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,0.00,1.67,0.00,0.00
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,0.07,5.67,1.07,2.35
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,0.04,8.58,1.58,0.19
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,0.00,5.90,0.77,1.03
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,0.00,5.49,2.55,0.20
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,0.00,4.47,1.05,1.63
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,0.03,4.86,1.23,0.32
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,0.00,2.08,0.30,0.00
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,0.04,6.57,1.03,2.27
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,0.00,4.29,1.65,0.04
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,0.00,7.05,0.45,0.68
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,0.00,6.15,1.54,0.77
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,0.00,6.67,0.00,0.83
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,0.16,6.79,0.83,2.02
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,0.00,4.00,0.00,0.00
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,3.6,0.00,5.00,0.28,0.00
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,23.4,0.13,6.67,0.38,0.43
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,29.9,0.13,9.30,3.65,1.20
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9.0,0.00,2.89,0.78,0.00
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,25.5,0.04,4.04,1.69,0.08
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,9.2,0.00,5.00,0.98,2.17
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,3.3,0.00,6.67,1.21,0.61
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,12.0,0.08,8.33,0.58,1.92
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,13.0,0.00,5.00,1.54,3.23
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,2.5,0.00,11.2,0.00,0.40
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,13.1,0.08,5.73,0.69,0.46
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,6.9,0.14,6.96,0.58,1.45
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,0.9,0.00,3.33,6.67,3.33
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,11.7,0.17,6.15,2.56,3.50
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,32.3,0.00,5.11,2.04,0.15
Solly March\Solly-March,DF,Brighton,eng Premier League,26,18.6,0.00,6.67,2.53,3.82
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,3.7,0.00,3.78,0.27,0.00
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,17.3,0.12,7.92,1.33,2.31
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,33.5,0.03,6.27,0.93,0.09
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,29.4,0.03,9.25,1.84,0.14
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,16.9,0.00,4.50,0.53,2.54
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,5.7,0.00,3.16,2.28,0.53
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,16.1,0.06,6.34,1.80,0.25
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10.0,0.00,4.50,1.00,0.00
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,19.6,0.05,3.57,2.40,0.05
Mariano\Mariano,FW,Real Madrid,es La Liga,26,5.7,0.00,6.14,0.35,0.00
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,15.9,0.06,7.48,2.01,0.44
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,3.0,0.00,5.67,1.00,1.00
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,1.0,1.00,5.00,1.00,0.00
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,32.9,0.03,6.96,1.85,1.40
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,23.2,0.00,5.17,2.37,0.04
Marlon\Marlon,DF,Sassuolo,it Serie A,24,19.4,0.00,6.70,0.72,0.00
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,0.0,0,0,0,0
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,23.6,0.08,5.55,1.91,0.13
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,17.6,0.00,5.34,0.68,0.00
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,24.4,0.12,4.92,0.53,0.66
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,16.4,0.18,6.34,0.18,0.73
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,17.1,0.06,4.62,0.53,2.57
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,2.9,0.00,5.17,1.03,4.48
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,1.1,0.00,2.73,1.82,0.91
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,5.4,0.00,7.59,1.11,0.37
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,6.5,0.00,2.92,0.15,2.15
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,16.5,0.00,3.27,2.00,0.24
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38.0,0.00,3.34,1.29,0.00
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28.0,0.04,5.14,2.61,0.32
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,5.1,0.00,5.29,1.18,0.59
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,5.2,0.00,7.50,0.77,0.19
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1.0,0.00,9.00,3.00,0.00
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,28.5,0.07,6.42,0.81,0.56
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,6.0,0.00,4.50,3.83,0.00
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,17.2,0.00,6.92,0.23,1.63
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,33.0,0.06,5.27,1.27,1.52
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,2.2,0.45,5.45,0.00,0.45
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,1.5,0.00,9.33,0.67,2.67
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,19.6,0.20,7.76,1.73,0.26
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,28.5,0.00,3.75,2.11,0.18
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25.0,0.00,1.64,0.40,0.00
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,8.4,0.00,7.26,0.48,0.83
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,it Serie A,28,0.4,0.00,2.50,0.00,0.00
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,11.2,0.00,8.57,1.61,2.95
Jaime Mata\Jaime-Mata,FW,Getafe,es La Liga,31,22.6,0.00,7.88,0.40,1.59
Juan Mata\Juan-Mata,FWMF,Manchester Utd,eng Premier League,32,5.7,0.18,8.42,1.23,1.23
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,fr Ligue 1,17,17.7,0.00,9.77,2.49,0.34
Eliot Matazo\Eliot-Matazo,MF,Monaco,fr Ligue 1,18,3.5,0.00,4.29,0.29,0.00
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,eng Premier League,23,2.5,0.00,9.60,0.00,0.40
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,de Bundesliga,23,11.1,0.09,5.86,0.18,0.36
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,eng Premier League,31,12.3,0.08,10.7,2.68,0.49
Joël Matip\Joel-Matip,DF,Liverpool,eng Premier League,28,7.7,0.13,5.32,0.91,0.00
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,de Bundesliga,19,2.4,0.00,5.42,0.83,0.42
Ryder Matos\Ryder-Matos,MF,Udinese,it Serie A,27,0.1,0.00,10.0,10.0,20.0
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,de Bundesliga,20,0.3,0.00,6.67,0.00,0.00
Chrislain Matsima\Chrislain-Matsima,DF,Monaco,fr Ligue 1,18,3.9,0.00,3.85,2.82,0.51
Federico Mattiello\Federico-Mattiello,DF,Spezia,it Serie A,25,0.4,0.00,10.0,2.50,2.50
Neal Maupay\Neal-Maupay,FWMF,Brighton,eng Premier League,23,27.9,0.07,6.02,0.50,0.39
Tony Mauricio\Tony-Mauricio,MF,Lens,fr Ligue 1,26,5.6,0.00,11.3,4.29,1.25
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,fr Ligue 1,22,22.6,0.13,4.65,0.27,0.84
Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Stuttgart,de Bundesliga,22,16.3,0.00,7.06,3.74,0.31
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,31,9.1,0.11,7.69,0.00,0.11
Borja Mayoral\Borja-Mayoral,FW,Roma,it Serie A,23,17.2,0.00,5.35,0.81,0.47
Borja Mayoral\Borja-Mayoral,FW,Real Madrid,es La Liga,23,0.3,0.00,3.33,3.33,0.00
Youssef Maziz\Youssef-Maziz,MFFW,Metz,fr Ligue 1,22,2.9,0.00,7.59,1.03,1.03
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,it Serie A,30,0.6,0.00,3.33,1.67,1.67
Kevin Mbabu\Kevin-Mbabu,DF,Wolfsburg,de Bundesliga,25,18.2,0.00,6.81,1.37,3.02
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,fr Ligue 1,21,26.4,0.15,5.83,0.57,2.58
Ibrahima Mbaye\Ibrahima-Mbaye,DF,Bologna,it Serie A,25,4.8,0.00,6.25,0.42,0.42
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,de Bundesliga,20,12.9,0.00,6.90,0.78,1.09
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,fr Ligue 1,18,24.6,0.28,5.28,0.65,0.85
James McArthur\James-McArthur,MF,Crystal Palace,eng Premier League,32,16.3,0.00,8.59,0.92,0.43
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,eng Premier League,24,14.7,0.20,12.1,0.07,0.20
Alex McCarthy\Alex-McCarthy,GK,Southampton,eng Premier League,30,30.0,0.00,4.57,1.13,0.00
James McCarthy\James-McCarthy,MF,Crystal Palace,eng Premier League,29,9.1,0.00,5.71,1.65,0.55
