,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,0.00,11.7,0.83,0.00
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,0.00,13.3,0.00,0.67
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,0.00,3.38,0.62,0.00
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,0.05,6.49,1.53,0.45
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,0.00,2.80,0.00,1.60
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,0.12,8.71,1.29,0.35
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,0.00,2.86,1.00,0.00
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,0.19,7.45,1.88,3.65
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,0.00,3.64,0.91,0.91
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,0.28,8.08,0.91,1.23
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,0.00,3.80,0.33,0.54
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,0.00,8.39,0.97,0.32
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,0.00,7.45,1.32,3.87
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,0.23,5.44,0.35,1.81
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,0.05,2.57,0.62,0.00
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,0.00,5.69,0.78,3.31
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,0.00,0.00,0.00,0.00
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,0.00,6.36,2.35,3.82
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,0.17,6.07,0.73,1.18
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,0.00,8.00,0.00,0.67
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,0.00,3.18,1.82,0.91
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,0.00,6.62,0.26,0.20
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,0.00,5.00,0.00,1.96
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,0.00,6.05,0.43,0.77
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,0.00,4.20,0.68,0.34
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,0.11,6.46,2.38,1.85
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,0.00,4.55,0.00,0.91
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,0.16,5.27,0.49,1.19
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,0.00,9.39,1.52,0.61
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,0.11,5.75,0.57,0.69
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,0.00,6.66,2.72,0.21
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,0.15,7.99,3.13,0.45
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,0.00,3.33,0.57,0.00
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,0.09,5.36,2.92,0.03
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,0.00,6.67,0.00,2.00
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,0.17,7.83,0.50,1.00
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,0.22,5.06,0.17,1.06
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,0.17,7.14,2.77,3.82
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,0.00,4.90,0.98,0.00
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,0.00,2.00,0.00,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,0.00,9.17,1.24,0.05
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,0.00,6.54,0.80,2.61
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,0.13,7.18,0.97,2.95
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,0.00,4.00,0.00,1.50
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,0.00,15.0,1.67,0.00
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,0.00,2.41,1.28,0.00
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,0.08,7.07,0.30,0.83
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,0.00,4.81,0.48,1.65
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,0.10,8.92,3.14,2.84
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,0.00,4.95,0.74,1.44
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,0.00,4.73,1.98,0.05
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,0.00,6.22,1.62,3.51
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,0.00,6.11,2.78,0.00
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,0.07,6.53,0.40,2.47
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,33.2,0.27,7.71,2.14,1.87
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,11.6,0.00,7.67,1.47,0.00
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,33.9,0.12,2.98,0.00,0.15
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,12.7,0.00,3.23,1.10,0.24
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,10.2,0.00,4.51,1.47,0.00
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,15.2,0.07,6.71,0.59,0.72
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,30.7,0.10,9.28,0.78,0.55
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,29.5,0.03,4.58,0.88,1.02
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,2.8,0.00,5.71,0.71,0.00
Barcia\Barcia,DF,Granada,es La Liga,19,1.0,0.00,6.00,0.00,1.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,4.8,0.00,8.96,0.83,2.92
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,18.7,0.11,9.84,2.14,1.87
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,3.0,0.00,7.67,1.67,2.33
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,32.2,0.22,10.6,1.21,1.55
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,0.3,0.00,13.3,0.00,3.33
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,15.9,0.00,8.74,1.64,3.33
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,17.0,0.00,10.0,1.29,1.18
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,0.5,2.00,14.0,2.00,0.00
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,10.9,0.37,9.63,1.47,1.56
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,14.8,0.00,7.36,0.27,0.41
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,21.6,0.14,6.25,0.32,0.83
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1.0,0.00,2.00,2.00,2.00
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,24.8,0.04,5.08,1.49,1.41
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,0.9,0.00,2.22,0.00,4.44
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,25.6,0.12,5.98,0.20,0.23
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,14.5,0.07,5.45,0.41,1.93
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,12.3,0.08,5.69,0.41,1.30
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,32.5,0.06,5.66,2.46,2.09
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,28.7,0.03,4.91,1.01,0.14
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,3.6,0.00,3.89,2.22,2.50
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,18.8,0.00,4.68,1.54,0.21
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,4.4,0.00,7.05,3.64,0.45
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,28.6,0.03,4.06,0.49,0.84
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,28.9,0.03,6.71,1.38,1.11
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,0.4,0.00,5.00,0.00,0.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,32.5,0.06,7.17,2.00,0.49
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,16.9,0.24,7.34,1.36,2.66
Bastos\Bastos,DF,Lazio,it Serie A,29,0.7,0.00,4.29,0.00,0.00
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,8.1,0.12,5.68,0.00,0.86
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,27.7,0.00,6.75,0.97,0.22
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,3.9,0.26,4.62,2.31,1.79
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31.0,0.00,2.71,0.97,0.00
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,11.9,0.00,11.3,1.85,0.17
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,26.3,0.00,8.40,0.91,0.68
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,4.1,0.00,7.56,0.49,0.73
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,29.0,0.14,5.00,1.83,0.07
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,0.4,0.00,7.50,0.00,0.00
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,24.4,0.04,6.80,0.61,1.76
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,30.9,0.00,4.17,1.10,0.29
