,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Philipp Lienhart\Philipp-Lienhart,DF,Freiburg,de Bundesliga,24,33.3,0.18,167.1,0.24
Matthijs de Ligt\Matthijs-de-Ligt,DF,Juventus,it Serie A,20,24.7,0.20,133.2,0.24
Isaac Lihadji\Isaac-Lihadji,MFDF,Lille,fr Ligue 1,18,2.2,4.55,164.1,3.18
Dimitris Limnios\Dimitris-Limnios,MFFW,Köln,de Bundesliga,22,4.2,1.43,125.0,2.14
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,eng Premier League,26,28.7,0.07,175.6,0.07
Karol Linetty\Karol-Linetty,MF,Torino,it Serie A,25,20.4,0.74,90.5,1.42
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,eng Premier League,27,15.8,1.33,159.7,1.90
Pol Lirola\Pol-Lirola,DFFW,Fiorentina,it Serie A,22,5.5,1.45,143.3,1.09
Pol Lirola\Pol-Lirola,DF,Marseille,fr Ligue 1,22,17.3,1.97,147.9,1.45
Jake Livermore\Jake-Livermore,MF,West Brom,eng Premier League,30,13.8,0.14,29.3,0.43
Diego Llorente\Diego-Llorente,DF,Leeds United,eng Premier League,26,13.4,0.37,166.5,0.15
Diego Llorente\Diego-Llorente,DF,Real Sociedad,es La Liga,26,1.0,0.00,189.0,0.00
Fernando Llorente\Fernando-Llorente,FW,Udinese,it Serie A,35,7.9,0.38,11.6,3.42
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,it Serie A,35,0.6,1.67,25.0,5.00
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,1.16,100.3,1.19
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,0.03,28.2,0.00
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,1.33,138.7,1.05
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,1.18,125.9,0.00
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,0.75,150.8,0.88
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,1.92,128.2,1.76
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,0.00,65.7,2.86
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,2.22,125.8,2.69
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,0.00,42.7,0.67
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,0.00,22.7,0.14
Shane Long\Shane-Long,FW,Southampton,eng Premier League,33,2.3,1.30,14.3,3.04
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,0.24,23.3,0.24
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,0.25,46.1,0.57
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,2.72,127.6,2.56
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,0.03,33.9,0.03
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,1.67,109.7,2.37
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,0.67,87.2,0.50
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,2.08,74.7,3.77
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,1.43,111.8,1.43
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,0.67,98.0,2.67
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,0.82,151.1,0.68
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,0.00,33.7,0.05
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,0.54,62.7,1.25
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,1.08,102.9,0.76
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,2.14,102.5,1.79
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,1.19,142.9,0.93
Adrien Louveau\Adrien-Louveau,DF,Lens,fr Ligue 1,20,0.1,0.00,0.00,0.00
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,0.76,83.4,1.17
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,0.19,87.5,0.39
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,1.15,58.2,0.49
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,1.11,112.2,2.22
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,0.71,80.6,0.56
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,1.36,55.8,2.90
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,1.28,155.8,1.88
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,0.00,5.00,5.00
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,4.21,167.4,2.11
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,1.79,141.3,1.79
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,0.73,63.5,1.01
Jeison Lucumí\Jeison-Lucumi,FWMF,Elche,es La Liga,25,0.5,2.00,62.0,0.00
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,1.03,99.3,0.86
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,1.01,110.5,0.92
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,1.33,87.0,1.48
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,0.04,92.9,0.19
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,0.74,72.2,0.37
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,0.50,116.0,0.00
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,0.53,61.1,0.00
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,0.13,218.1,0.13
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,0.78,107.9,0.36
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,1.19,73.6,2.75
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,1.94,79.8,1.99
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,0.98,106.1,1.07
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,1.13,110.5,1.38
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,0.71,78.8,0.88
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,0.24,95.3,0.33
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,0.00,43.8,0.00
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,0.87,132.0,0.28
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,0.52,93.0,0.89
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,0.2,0.00,35.0,0.00
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,1.21,70.1,1.61
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,2.31,96.0,1.82
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,0.00,70.0,0.00
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,0.00,0.00,0.00
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,2.17,128.5,1.17
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,1.37,104.5,1.80
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,0.00,30.0,10.0
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,1.19,113.6,0.92
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,0.17,79.5,0.45
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,0.30,85.2,0.61
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,0.69,76.1,1.50
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,0.20,106.5,0.20
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,0.18,42.6,0.48
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,0.90,141.5,1.04
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,0.18,191.7,0.18
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,0.00,20.0,0.00
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,0.00,122.5,0.00
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,1.66,140.1,1.52
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,0.87,81.8,1.30
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,0.00,306.7,6.67
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,1.00,104.0,0.97
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,0.03,36.4,0.05
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,1.11,113.9,1.11
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,1.31,63.4,1.39
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,0.67,33.5,2.13
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,1.56,23.9,2.33
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,0.00,36.0,0.00
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,1.31,101.8,1.80
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,1.4,1.43,142.1,2.14
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,1.03,107.6,0.86
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,0.43,39.4,0.63
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,0.30,149.9,0.22
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,0.52,68.3,2.50
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,2.17,143.9,1.74
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,2.50,280.0,7.50
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,3.33,266.7,3.33
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,2.55,161.7,2.16
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,0.00,38.3,0.00
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,0.62,84.6,1.07
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,0.77,101.7,0.58
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,1.67,109.2,2.18
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,1.37,131.4,0.98
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,0.31,95.0,0.39
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,0.38,141.0,0.25
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,0.08,49.7,0.05
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,0.99,107.9,0.54
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,0.08,88.9,0.26
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,0.68,79.8,0.68
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,0.59,56.6,0.71
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,0.00,20.8,0.42
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,2.69,123.3,3.14
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,0.00,26.0,0.00
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,3.6,0.28,45.8,0.28
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,23.4,2.65,106.8,1.20
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,29.9,0.40,88.3,0.54
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9.0,0.00,28.9,0.00
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,25.5,0.08,99.7,0.04
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,9.2,0.43,79.5,1.30
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,3.3,0.91,122.7,2.73
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,12.0,2.08,89.5,2.08
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,13.0,1.69,156.5,1.77
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,2.5,2.00,40.8,5.20
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,13.1,1.15,50.2,2.90
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,6.9,1.01,94.1,0.43
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,0.9,0.00,415.6,0.00
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,11.7,1.37,135.4,0.77
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,32.3,0.09,159.9,0.15
Solly March\Solly-March,DF,Brighton,eng Premier League,26,18.6,1.88,146.7,0.91
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,3.7,0.00,20.0,0.00
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,17.3,0.64,107.9,1.04
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,33.5,0.15,243.6,0.27
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,29.4,0.51,98.0,0.48
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,16.9,0.41,107.6,1.01
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,5.7,0.00,182.8,0.35
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,16.1,1.30,39.0,0.31
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10.0,0.30,155.1,0.10
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,19.6,0.05,130.9,0.20
Mariano\Mariano,FW,Real Madrid,es La Liga,26,5.7,2.11,44.6,2.46
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,15.9,0.88,49.1,1.01
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,1.0,0.00,75.0,0.00
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,3.0,1.00,68.0,0.33
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,32.9,0.97,119.6,0.94
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,23.2,0.04,198.8,0.22
Marlon\Marlon,DF,Sassuolo,it Serie A,24,19.4,0.26,238.6,0.05
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,0.0,0,0,0
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,23.6,0.08,186.9,0.17
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,17.6,0.06,105.6,0.06
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,24.4,0.61,23.9,2.21
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,16.4,2.07,95.1,2.26
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,2.9,1.72,69.0,1.38
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,17.1,0.88,81.9,0.35
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,1.1,0.00,50.0,0.00
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,5.4,0.74,82.4,0.74
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,6.5,2.46,99.5,2.15
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,16.5,0.79,149.1,0.73
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38.0,0.00,48.1,0.03
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28.0,0.21,153.1,0.18
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,5.1,0.98,63.9,1.37
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,5.2,0.00,159.6,0.58
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1.0,0.00,54.0,0.00
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,28.5,1.30,55.9,2.98
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,6.0,0.00,142.2,0.17
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,17.2,2.50,124.1,2.97
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,33.0,0.82,120.2,0.55
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,2.2,1.82,132.7,1.36
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,1.5,0.00,110.7,3.33
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,19.6,0.71,57.3,0.51
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,28.5,0.07,76.0,0.07
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25.0,0.00,44.0,0.00
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,8.4,2.38,105.0,3.21
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,it Serie A,28,0.4,2.50,7.50,2.50
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,11.2,2.68,169.1,0.71
Jaime Mata\Jaime-Mata,FW,Getafe,es La Liga,31,22.6,0.44,30.4,2.79
Juan Mata\Juan-Mata,FWMF,Manchester Utd,eng Premier League,32,5.7,0.53,102.3,1.23
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,fr Ligue 1,17,17.7,1.02,172.7,1.58
Eliot Matazo\Eliot-Matazo,MF,Monaco,fr Ligue 1,18,3.5,0.86,38.9,0.86
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,eng Premier League,23,2.5,0.40,22.0,2.80
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,de Bundesliga,23,11.1,1.35,22.3,3.42
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,eng Premier League,31,12.3,1.22,269.5,0.57
Joël Matip\Joel-Matip,DF,Liverpool,eng Premier League,28,7.7,0.00,168.3,0.00
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,de Bundesliga,19,2.4,0.83,90.4,2.08
Ryder Matos\Ryder-Matos,MF,Udinese,it Serie A,27,0.1,0.00,900.0,0.00
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,de Bundesliga,20,0.3,0.00,46.7,0.00
Chrislain Matsima\Chrislain-Matsima,DF,Monaco,fr Ligue 1,18,3.9,1.03,190.5,0.00
Federico Mattiello\Federico-Mattiello,DF,Spezia,it Serie A,25,0.4,0.00,277.5,0.00
Neal Maupay\Neal-Maupay,FWMF,Brighton,eng Premier League,23,27.9,0.86,55.3,2.19
Tony Mauricio\Tony-Mauricio,MF,Lens,fr Ligue 1,26,5.6,1.25,93.4,1.43
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,fr Ligue 1,22,22.6,1.42,99.4,2.96
Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Stuttgart,de Bundesliga,22,16.3,0.74,101.8,0.74
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,31,9.1,1.98,47.1,2.42
Borja Mayoral\Borja-Mayoral,FW,Real Madrid,es La Liga,23,0.3,0.00,16.7,0.00
Borja Mayoral\Borja-Mayoral,FW,Roma,it Serie A,23,17.2,0.87,49.2,2.03
Youssef Maziz\Youssef-Maziz,MFFW,Metz,fr Ligue 1,22,2.9,2.07,85.2,2.07
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,it Serie A,30,0.6,1.67,80.0,5.00
Kevin Mbabu\Kevin-Mbabu,DF,Wolfsburg,de Bundesliga,25,18.2,1.92,120.9,1.37
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,fr Ligue 1,21,26.4,3.33,163.4,2.73
Ibrahima Mbaye\Ibrahima-Mbaye,DF,Bologna,it Serie A,25,4.8,0.63,51.5,0.21
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,de Bundesliga,20,12.9,0.62,55.7,1.40
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,fr Ligue 1,18,24.6,1.46,89.9,1.42
James McArthur\James-McArthur,MF,Crystal Palace,eng Premier League,32,16.3,1.04,85.4,0.67
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,eng Premier League,24,14.7,0.61,33.3,1.70
Alex McCarthy\Alex-McCarthy,GK,Southampton,eng Premier League,30,30.0,0.07,35.5,0.03
James McCarthy\James-McCarthy,MF,Crystal Palace,eng Premier League,29,9.1,0.33,34.5,0.33
John McGinn\John-McGinn,MF,Aston Villa,eng Premier League,25,37.0,1.51,78.5,1.00
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,eng Premier League,32,26.6,1.73,60.6,2.44
Weston McKennie\Weston-McKennie,MF,Juventus,it Serie A,21,18.9,0.69,84.3,1.53
Dwight McNeil\Dwight-McNeil,MF,Burnley,eng Premier League,20,34.1,1.94,101.9,1.23
Scott McTominay\Scott-McTominay,MF,Manchester Utd,eng Premier League,23,23.7,0.93,138.4,1.35
Gary Medel\Gary-Medel,DFMF,Bologna,it Serie A,32,5.7,0.35,111.9,0.35
Facundo Medina\Facundo-Medina,DF,Lens,fr Ligue 1,21,22.3,0.40,197.5,0.45
Nathan de Medina\Nathan-de-Medina,DF,Arminia,de Bundesliga,22,7.1,0.70,36.3,0.70
Ben Mee\Ben-Mee,DF,Burnley,eng Premier League,30,29.9,0.10,35.3,0.17
Joshua Mees\Joshua-Mees,FW,Union Berlin,de Bundesliga,24,0.1,0.00,40.0,0.00
Admir Mehmedi\Admir-Mehmedi,MFFW,Wolfsburg,de Bundesliga,29,9.1,0.99,75.5,1.65
Soualiho Meïté\Soualiho-Meite,MF,Torino,it Serie A,26,10.2,2.35,80.7,1.57
Soualiho Meïté\Soualiho-Meite,MF,Milan,it Serie A,26,6.5,2.00,112.8,0.31
Hannibal Mejbri\Hannibal-Mejbri,MF,Manchester Utd,eng Premier League,17,0.1,30.0,140.0,0.00
Farid El Melali\Farid-El-Melali,FWMF,Angers,fr Ligue 1,23,4.6,4.78,155.9,2.83
Filippo Melegoni\Filippo-Melegoni,MFDF,Genoa,it Serie A,21,4.3,2.09,147.9,2.56
Gonzalo Melero\Gonzalo-Melero,MFFW,Levante,es La Liga,26,20.6,0.78,97.7,0.87
Birger Meling\Birger-Meling,DF,Nîmes,fr Ligue 1,25,25.9,0.73,103.4,0.66
Arthur Melo\Arthur-Melo,MF,Juventus,it Serie A,23,12.9,1.24,150.2,0.78
Houboulang Mendes\Houboulang-Mendes,DF,Lorient,fr Ligue 1,22,14.4,0.49,66.2,1.67
Pedro Mendes\Pedro-Mendes,DF,Montpellier,fr Ligue 1,29,18.1,0.17,94.1,0.11
Thiago Mendes\Thiago-Mendes,MF,Lyon,fr Ligue 1,28,24.9,0.60,100.5,0.56
Brais Méndez\Brais-Mendez,MFFW,Celta Vigo,es La Liga,23,29.7,0.57,66.9,1.75
Édgar Méndez\Edgar-Mendez,MFFW,Alavés,es La Liga,30,23.2,1.12,59.6,2.33
Eñaut Mendía\Enaut-Mendia,FW,Eibar,es La Liga,21,0.7,0.00,47.1,2.86
Batista Mendy\Batista-Mendy,MF,Nantes,fr Ligue 1,20,0.8,2.50,136.3,1.25
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,eng Premier League,26,10.6,1.32,95.9,0.66
Edouard Mendy\Edouard-Mendy,GK,Rennes,fr Ligue 1,28,1.0,0.00,64.0,0.00
Edouard Mendy\Edouard-Mendy,GK,Chelsea,eng Premier League,28,30.5,0.03,29.4,0.03
Ferland Mendy\Ferland-Mendy,DF,Real Madrid,es La Liga,25,24.5,1.47,180.0,0.86
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,eng Premier League,28,16.2,0.37,103.6,1.05
Hamza Mendyl\Hamza-Mendyl,FWDF,Schalke 04,de Bundesliga,22,1.1,1.82,57.3,1.82
Levent Mercan\Levent-Mercan,FW,Schalke 04,de Bundesliga,19,0.1,0.00,10.0,0.00
Jorge Meré\Jorge-Mere,DF,Köln,de Bundesliga,23,14.4,0.07,67.9,0.14
Alex Meret\Alex-Meret,GK,Napoli,it Serie A,23,22.0,0.00,27.0,0.00
Mikel Merino\Mikel-Merino,MF,Real Sociedad,es La Liga,24,23.9,1.26,77.2,1.34
Martín Merquelanz\Martin-Merquelanz,FWMF,Real Sociedad,es La Liga,25,6.1,0.49,106.1,1.97
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,DF,Hellas Verona,it Serie A,23,4.6,0.65,53.5,0.22
Dries Mertens\Dries-Mertens,FWMF,Napoli,it Serie A,33,16.2,0.80,59.6,0.86
Roque Mesa\Roque-Mesa,MF,Valladolid,es La Liga,31,19.6,1.38,141.3,1.17
Illan Meslier\Illan-Meslier,GK,Leeds United,eng Premier League,20,35.0,0.00,48.9,0.06
Lionel Messi\Lionel-Messi,FWMF,Barcelona,es La Liga,33,33.6,4.43,246.1,1.19
Junior Messias\Junior-Messias,MFFW,Crotone,it Serie A,29,35.7,2.61,173.7,2.69
Thomas Meunier\Thomas-Meunier,DF,Dortmund,de Bundesliga,28,16.4,1.22,207.0,0.91
Mexer\Mexer,DF,Bordeaux,fr Ligue 1,31,7.9,0.63,105.8,0.00
