,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,0.39,118.0,0.60
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,1.51,113.0,0.66
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,0.34,16.3,0.22
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,0.00,119.5,0.00
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,0.23,140.7,0.20
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,0.00,97.5,1.25
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,1,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,0,50,0
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,0.32,19.4,4.16
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,0.00,27.0,0.00
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,0.87,100.0,0.75
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,0.64,78.5,1.00
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,1.18,99.1,1.08
Ángel\Angel,GK,Granada,es La Liga,18,1.0,0.00,16.0,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0.00,16.0,0.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,1.00,117.4,0.80
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,0.75,101.0,0.88
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0.00,0.00,0.00
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0.00,0.00,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,1.57,143.0,0.65
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,0.33,165.5,0.50
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,0.00,176.7,0.00
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,2.15,84.4,3.52
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,0.38,123.1,0.00
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,2.53,173.2,1.92
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,1.72,130.9,1.98
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,0.81,86.8,0.75
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,0.00,26.7,0.00
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,0.94,65.7,0.94
