,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,0.0,0.10,-0.06
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,24.0,0.06,-0.04
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,0.0,0.08,-0.18
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,36.4,0.07,0.01
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,,,0.00
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,60.0,0.17,0.17
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,27.3,0.06,-0.02
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,23.5,0.03,0.02
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,,,0.00
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,17.4,0.08,0.00
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,50.0,0.03,-0.07
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,18.2,0.16,-0.08
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,40.4,0.12,-0.08
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,38.3,0.11,0.09
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,0.0,0.05,-0.01
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,,,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,25.0,0.07,0.04
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,100.0,0.10,-0.01
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,35.3,0.10,0.09
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,,,0.00
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,66.7,0.03,-0.17
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,25.0,0.08,0.03
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,43.2,0.13,0.09
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,15.4,0.08,-0.04
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,50.0,0.15,0.56
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,33.3,0.02,0.00
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,18.2,30.8,0.14,0.01
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,7.4,50.0,0.10,-0.03
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,1.8,,,0.00
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,15.0,100.0,0.05,0.00
