,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,44.9,0.09,0.23
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,,,0.00
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,33.3,0.08,-0.02
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,,,0.00
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,22.0,0.07,-0.01
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,33.3,0.06,0.02
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,,,0.00
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,21.6,0.08,-0.10
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,,,0.00
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,0.0,0.15,-0.04
Shane Long\Shane-Long,FW,Southampton,eng Premier League,33,2.3,50.0,0.02,0.00
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,,,0.00
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,33.3,0.09,-0.09
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,30.9,0.07,-0.05
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,,,0.00
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,39.0,0.08,-0.01
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,0.0,0.03,-0.01
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,20.0,0.13,-0.06
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,100.0,0.08,-0.04
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,36.4,0.14,0.02
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,,,0.00
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,,,0.00
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,28.6,0.07,0.36
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,44.0,0.05,0.11
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,0.0,0.07,-0.07
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,28.6,0.05,0.03
Adrien Louveau\Adrien-Louveau,DF,Lens,fr Ligue 1,20,0.1,,,0.00
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,32.3,0.07,0.05
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,0.0,0.05,-0.01
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,50.0,0.03,-0.02
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,0.0,0.04,0.00
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,19.0,0.03,0.01
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,41.7,0.15,-0.14
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,45.8,0.13,0.14
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,0.0,0.05,-0.25
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,0.0,0.03,-0.05
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,25.0,0.05,-0.10
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,25.0,0.02,-0.01
Jeison Lucumí\Jeison-Lucumi,FWMF,Elche,es La Liga,25,0.5,,,0.00
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,,,0.00
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,22.7,0.09,-0.03
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,45.6,0.13,0.17
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,25.0,0.10,0.02
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,0.0,0.09,-0.04
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,0.0,0.02,0.00
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,,,0.00
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,13.3,0.06,0.01
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,26.9,0.06,-0.05
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,47.2,0.21,0.04
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,43.9,0.13,-0.09
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,36.8,0.11,0.04
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,50.0,0.07,-0.05
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,21.1,0.07,-0.09
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,20.0,0.13,-0.03
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,,,0.00
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,25.0,0.06,-0.04
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,25.0,0.07,0.08
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,0.2,,,0.00
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,11.5,0.04,-0.01
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,42.6,0.09,-0.04
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,,,0.00
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,,,0.00
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,100.0,0.02,0.17
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,32.4,0.06,0.15
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,,,0.00
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,45.5,0.06,0.01
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,22.2,0.13,-0.00
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,0.0,0.05,-0.03
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,35.9,0.13,-0.09
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,0.0,0.03,-0.02
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,15.4,0.06,-0.04
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,11.1,0.03,-0.04
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,25.0,0.06,-0.00
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,,,0.00
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,,,0.00
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,37.9,0.10,0.16
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,18.2,0.03,-0.03
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,,,0.00
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,24.0,0.08,-0.03
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,,,0.00
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,50.0,0.06,-0.02
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,30.0,0.07,-0.05
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,35.0,0.20,-0.20
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,47.4,0.16,-0.12
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,,,0.00
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,22.2,0.10,-0.10
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,1.4,20.0,0.04,-0.14
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,0.0,0.02,-0.02
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,25.0,0.12,-0.03
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,20.0,0.07,-0.03
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,11.1,0.06,-0.06
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,,,0.00
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,0.0,0.04,-0.04
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,100.0,0.15,-0.33
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,33.3,0.08,0.07
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,,,0.00
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,55.0,0.08,0.05
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,28.0,0.06,-0.02
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,31.6,0.11,-0.01
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,25.0,0.06,-0.04
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,42.9,0.02,-0.00
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,41.4,0.09,0.05
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,,,0.00
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,0.0,0.04,-0.01
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,77.8,0.25,0.03
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,44.4,0.09,-0.18
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,29.6,0.08,0.05
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,60.0,0.17,-0.33
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,37.6,0.16,-0.13
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,,,0.00
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,3.6,0.0,0.26,-0.14
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,23.4,30.8,0.05,-0.02
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,29.9,21.7,0.05,-0.01
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9.0,,,0.00
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,25.5,37.5,0.10,-0.03
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,9.2,0.0,0.02,0.00
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,3.3,0.0,0.03,0.00
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,12.0,21.1,0.15,0.02
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,13.0,29.6,0.03,-0.06
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,2.5,100.0,0.12,0.20
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,13.1,38.7,0.12,0.02
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,6.9,0.0,0.03,-0.01
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,0.9,,,0.00
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,11.7,0.0,0.04,-0.03
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,32.3,30.4,0.06,0.05
Solly March\Solly-March,DF,Brighton,eng Premier League,26,18.6,18.2,0.08,0.02
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,3.7,,,0.00
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,17.3,0.0,0.08,-0.03
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,33.5,20.8,0.07,-0.05
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,29.4,0.0,0.04,-0.00
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,16.9,83.3,0.21,-0.02
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,5.7,,,0.00
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,16.1,18.8,0.02,-0.01
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10.0,0.0,0.02,0.00
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,19.6,33.3,0.06,-0.05
Mariano\Mariano,FW,Real Madrid,es La Liga,26,5.7,20.0,0.10,-0.09
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,15.9,10.0,0.05,-0.03
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,3.0,0.0,0.09,-0.03
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,1.0,0.0,0.07,-0.10
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,32.9,35.7,0.06,0.05
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,23.2,42.9,0.16,0.12
Marlon\Marlon,DF,Sassuolo,it Serie A,24,19.4,40.0,0.09,-0.02
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,0.0,,,0.0
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,23.6,53.3,0.10,0.06
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,17.6,50.0,0.07,-0.02
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,24.4,44.2,0.15,0.11
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,16.4,48.8,0.15,-0.15
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,17.1,16.7,0.03,-0.01
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,2.9,0.0,0.04,0.00
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,1.1,,,0.00
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,5.4,,,0.00
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,6.5,40.0,0.17,-0.22
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,16.5,38.5,0.11,-0.02
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38.0,,,0.00
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28.0,41.2,0.08,-0.01
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,5.1,33.3,0.19,0.08
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,5.2,0.0,0.14,-0.06
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1.0,,,0.00
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,28.5,33.3,0.13,0.05
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,6.0,,,0.00
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,17.2,42.3,0.10,0.02
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,33.0,44.4,0.08,0.00
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,2.2,20.0,0.17,-0.36
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,1.5,0.0,0.16,-0.13
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,19.6,30.0,0.03,0.04
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,28.5,0.0,0.09,-0.01
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25.0,,,0.00
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,8.4,26.7,0.11,-0.20
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,it Serie A,28,0.4,,,0.00
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,11.2,33.3,0.05,-0.03
Jaime Mata\Jaime-Mata,FW,Getafe,es La Liga,31,22.6,42.1,0.13,-0.07
Juan Mata\Juan-Mata,FWMF,Manchester Utd,eng Premier League,32,5.7,75.0,0.08,-0.02
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,fr Ligue 1,17,17.7,25.8,0.03,0.11
Eliot Matazo\Eliot-Matazo,MF,Monaco,fr Ligue 1,18,3.5,66.7,0.43,-0.09
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,eng Premier League,23,2.5,50.0,0.05,0.32
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,de Bundesliga,23,11.1,48.1,0.25,-0.04
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,eng Premier League,31,12.3,50.0,0.05,-0.02
Joël Matip\Joel-Matip,DF,Liverpool,eng Premier League,28,7.7,40.0,0.13,0.05
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,de Bundesliga,19,2.4,,,0.00
Ryder Matos\Ryder-Matos,MF,Udinese,it Serie A,27,0.1,,,0.00
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,de Bundesliga,20,0.3,,,0.00
Chrislain Matsima\Chrislain-Matsima,DF,Monaco,fr Ligue 1,18,3.9,0.0,0.04,-0.03
Federico Mattiello\Federico-Mattiello,DF,Spezia,it Serie A,25,0.4,,,0.00
Neal Maupay\Neal-Maupay,FWMF,Brighton,eng Premier League,23,27.9,32.8,0.15,-0.18
Tony Mauricio\Tony-Mauricio,MF,Lens,fr Ligue 1,26,5.6,15.4,0.05,-0.13
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,fr Ligue 1,22,22.6,54.8,0.16,0.18
Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Stuttgart,de Bundesliga,22,16.3,29.4,0.08,-0.09
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,31,9.1,68.4,0.17,-0.02
Borja Mayoral\Borja-Mayoral,FW,Roma,it Serie A,23,17.2,39.0,0.20,0.10
Borja Mayoral\Borja-Mayoral,FW,Real Madrid,es La Liga,23,0.3,,,0.00
Youssef Maziz\Youssef-Maziz,MFFW,Metz,fr Ligue 1,22,2.9,0.0,0.07,-0.14
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,it Serie A,30,0.6,,,0.00
Kevin Mbabu\Kevin-Mbabu,DF,Wolfsburg,de Bundesliga,25,18.2,45.5,0.05,-0.03
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,fr Ligue 1,21,26.4,48.0,0.20,0.09
Ibrahima Mbaye\Ibrahima-Mbaye,DF,Bologna,it Serie A,25,4.8,100.0,0.55,0.10
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,de Bundesliga,20,12.9,14.3,0.08,-0.04
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,fr Ligue 1,18,24.6,46.2,0.09,0.03
James McArthur\James-McArthur,MF,Crystal Palace,eng Premier League,32,16.3,0.0,0.04,-0.01
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,eng Premier League,24,14.7,40.0,0.10,-0.14
Alex McCarthy\Alex-McCarthy,GK,Southampton,eng Premier League,30,30.0,,,0.00
James McCarthy\James-McCarthy,MF,Crystal Palace,eng Premier League,29,9.1,0.0,0.01,0.00
John McGinn\John-McGinn,MF,Aston Villa,eng Premier League,25,37.0,23.9,0.05,0.02
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,eng Premier League,32,26.6,33.3,0.10,0.04
Weston McKennie\Weston-McKennie,MF,Juventus,it Serie A,21,18.9,48.3,0.14,0.04
Dwight McNeil\Dwight-McNeil,MF,Burnley,eng Premier League,20,34.1,34.6,0.04,0.03
Scott McTominay\Scott-McTominay,MF,Manchester Utd,eng Premier League,23,23.7,26.9,0.08,0.08
Gary Medel\Gary-Medel,DFMF,Bologna,it Serie A,32,5.7,,,0.00
Facundo Medina\Facundo-Medina,DF,Lens,fr Ligue 1,21,22.3,44.4,0.09,0.05
Nathan de Medina\Nathan-de-Medina,DF,Arminia,de Bundesliga,22,7.1,,,0.00
Ben Mee\Ben-Mee,DF,Burnley,eng Premier League,30,29.9,27.3,0.07,0.01
Joshua Mees\Joshua-Mees,FW,Union Berlin,de Bundesliga,24,0.1,0.0,0.06,-1.00
Admir Mehmedi\Admir-Mehmedi,MFFW,Wolfsburg,de Bundesliga,29,9.1,25.0,0.11,-0.10
Soualiho Meïté\Soualiho-Meite,MF,Milan,it Serie A,26,6.5,42.9,0.06,-0.06
Soualiho Meïté\Soualiho-Meite,MF,Torino,it Serie A,26,10.2,50.0,0.07,0.04
Hannibal Mejbri\Hannibal-Mejbri,MF,Manchester Utd,eng Premier League,17,0.1,,,0.00
Farid El Melali\Farid-El-Melali,FWMF,Angers,fr Ligue 1,23,4.6,38.5,0.11,-0.30
Filippo Melegoni\Filippo-Melegoni,MFDF,Genoa,it Serie A,21,4.3,25.0,0.10,-0.09
Gonzalo Melero\Gonzalo-Melero,MFFW,Levante,es La Liga,26,20.6,32.1,0.11,0.19
Birger Meling\Birger-Meling,DF,Nîmes,fr Ligue 1,25,25.9,46.2,0.06,0.05
Arthur Melo\Arthur-Melo,MF,Juventus,it Serie A,23,12.9,33.3,0.05,0.06
Houboulang Mendes\Houboulang-Mendes,DF,Lorient,fr Ligue 1,22,14.4,0.0,0.02,-0.01
Pedro Mendes\Pedro-Mendes,DF,Montpellier,fr Ligue 1,29,18.1,37.5,0.12,0.06
Thiago Mendes\Thiago-Mendes,MF,Lyon,fr Ligue 1,28,24.9,31.8,0.07,-0.06
Brais Méndez\Brais-Mendez,MFFW,Celta Vigo,es La Liga,23,29.7,42.9,0.14,0.05
Édgar Méndez\Edgar-Mendez,MFFW,Alavés,es La Liga,30,23.2,29.4,0.16,-0.02
Eñaut Mendía\Enaut-Mendia,FW,Eibar,es La Liga,21,0.7,0.0,0.01,0.00
Batista Mendy\Batista-Mendy,MF,Nantes,fr Ligue 1,20,0.8,,,0.00
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,eng Premier League,26,10.6,33.3,0.07,0.15
Edouard Mendy\Edouard-Mendy,GK,Chelsea,eng Premier League,28,30.5,,,0.00
Edouard Mendy\Edouard-Mendy,GK,Rennes,fr Ligue 1,28,1.0,,,0.00
Ferland Mendy\Ferland-Mendy,DF,Real Madrid,es La Liga,25,24.5,16.7,0.05,0.02
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,eng Premier League,28,16.2,50.0,0.02,-0.01
Hamza Mendyl\Hamza-Mendyl,FWDF,Schalke 04,de Bundesliga,22,1.1,0.0,0.05,-0.09
Levent Mercan\Levent-Mercan,FW,Schalke 04,de Bundesliga,19,0.1,,,0.00
Jorge Meré\Jorge-Mere,DF,Köln,de Bundesliga,23,14.4,0.0,0.01,0.00
Alex Meret\Alex-Meret,GK,Napoli,it Serie A,23,22.0,,,0.00
Mikel Merino\Mikel-Merino,MF,Real Sociedad,es La Liga,24,23.9,24.2,0.11,-0.07
Martín Merquelanz\Martin-Merquelanz,FWMF,Real Sociedad,es La Liga,25,6.1,36.4,0.10,-0.18
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,DF,Hellas Verona,it Serie A,23,4.6,0.0,0.05,-0.02
Dries Mertens\Dries-Mertens,FWMF,Napoli,it Serie A,33,16.2,36.4,0.10,0.23
Roque Mesa\Roque-Mesa,MF,Valladolid,es La Liga,31,19.6,16.0,0.04,-0.04
Illan Meslier\Illan-Meslier,GK,Leeds United,eng Premier League,20,35.0,,,0.00
Lionel Messi\Lionel-Messi,FWMF,Barcelona,es La Liga,33,33.6,44.7,0.10,0.19
Junior Messias\Junior-Messias,MFFW,Crotone,it Serie A,29,35.7,32.7,0.08,0.04
Thomas Meunier\Thomas-Meunier,DF,Dortmund,de Bundesliga,28,16.4,16.7,0.08,0.01
Mexer\Mexer,DF,Bordeaux,fr Ligue 1,31,7.9,0.0,0.04,0.00
Max Meyer\Max-Meyer,MF,Köln,de Bundesliga,24,3.9,50.0,0.10,-0.26
Omenuke Mfulu\Omenuke-Mfulu,MF,Elche,es La Liga,26,8.8,0.0,0.04,-0.01
Míchel\Michel,MF,Valladolid,es La Liga,32,10.5,50.0,0.06,0.13
Jonas Michel Dirkner\Jonas-Michel-Dirkner,MF,Hertha BSC,de Bundesliga,18,0.2,,,0.00
Jonas Michelbrink\Jonas-Michelbrink,MF,Hertha BSC,de Bundesliga,19,0.4,,,0.00
Clément Michelin\Clement-Michelin,DF,Lens,fr Ligue 1,23,12.8,18.2,0.03,-0.02
Edouard Michut\Edouard-Michut,MF,Paris S-G,fr Ligue 1,17,0.0,,,0.0
Petar Mićin\Petar-Micin,MF,Udinese,it Serie A,21,0.2,,,0.00
Florian Miguel\Florian-Miguel,DF,Nîmes,fr Ligue 1,23,17.1,40.0,0.13,-0.08
Valentin Mihaila\Valentin-Mihaila,FWMF,Parma,it Serie A,20,7.8,52.6,0.14,0.05
Nikola Milenković\Nikola-Milenkovic,DF,Fiorentina,it Serie A,22,33.7,45.0,0.14,0.01
Arkadiusz Milik\Arkadiusz-Milik,FW,Marseille,fr Ligue 1,26,13.6,44.2,0.14,0.04
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MF,Lazio,it Serie A,25,30.5,32.8,0.09,0.08
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,GK,Torino,it Serie A,23,5.0,,,0.00
Éder Militão\Eder-Militao,DF,Real Madrid,es La Liga,22,12.6,25.0,0.09,-0.01
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,eng Premier League,29,26.2,29.4,0.05,-0.05
Luis Milla\Luis-Milla,MF,Granada,es La Liga,25,13.9,30.0,0.05,0.04
Pere Milla\Pere-Milla,FWMF,Elche,es La Liga,27,22.0,36.7,0.19,-0.07
