,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
236,Jens Jonsson,MF,cadiz,es La Liga,27,35,2615,0.0,0.0,0.0,0.03,0.06,13.3,0.05,-0.03,76.6,1.58,0.03,4.85,0.41,0.1,0.93,0.0,0.0,1.92,16.5,0.31,1.62,1.75,0.0,0.48,33.6,0.52,9.07,61.2,4400000.0
237,Hakan Calhanoglu,MFFW,milan,it Serie A,26,33,2614,0.14,0.31,0.45,0.19,0.3,27.4,0.06,-0.05,77.4,5.79,0.17,7.21,3.79,2.14,6.0,0.1,0.03,0.72,13.8,0.21,0.93,0.66,0.03,1.21,130.6,1.9,6.62,24.0,38500000.0
238,Jason Denayer,DF,lyon,fr Ligue 1,25,31,2614,0.03,0.0,0.03,0.02,0.0,20.0,0.1,0.02,95.8,2.48,0.0,3.17,1.28,0.03,0.28,0.0,0.0,1.17,6.17,1.1,0.76,4.17,0.07,0.24,129.7,0.17,8.17,52.3,27500000.0
239,Mathias Olivera,DF,getafe,es La Liga,22,31,2614,0.0,0.0,0.0,0.08,0.06,27.8,0.13,-0.08,70.0,2.79,0.0,6.59,0.76,1.76,1.38,0.14,0.07,2.45,14.9,0.14,1.21,3.9,0.03,0.76,78.9,0.97,10.4,52.1,13200000.0
240,Paul Baysse,DF,bordeaux,fr Ligue 1,32,31,2614,0.07,0.07,0.14,0.04,0.02,18.2,0.11,0.03,89.6,2.48,0.14,5.0,1.83,0.07,0.52,0.0,0.03,1.14,7.66,0.79,1.28,5.83,0.1,0.1,121.1,0.28,8.55,59.5,1100000.0
241,Federico Dimarco,DF,hellas verona,it Serie A,22,35,2613,0.17,0.1,0.28,0.08,0.23,36.8,0.06,0.09,71.1,5.21,0.03,6.59,3.31,3.55,3.59,0.1,0.0,1.38,9.48,0.34,1.45,2.66,0.03,0.48,149.3,0.69,8.48,30.2,11000000.0
242,Manuel Lazzari,DF,lazio,it Serie A,26,32,2613,0.07,0.17,0.24,0.08,0.13,25.0,0.09,-0.01,80.5,1.31,0.03,5.1,0.83,3.14,2.17,0.07,0.03,0.97,9.28,0.14,0.83,1.1,0.0,0.93,176.7,1.07,5.76,42.1,23100000.0
243,Wilfried Zaha,FW,crystal palace,eng Premier League,27,30,2612,0.38,0.07,0.45,0.26,0.11,32.2,0.1,0.12,75.8,2.48,0.14,5.93,0.28,1.76,2.93,0.55,0.07,1.17,19.6,0.0,0.93,0.07,0.0,2.03,112.1,3.0,4.83,20.4,49500000.0
244,Didier Ibrahim Ndong,MF,dijon,fr Ligue 1,26,29,2610,0.0,0.03,0.03,0.01,0.03,16.7,0.03,-0.01,86.6,4.07,0.07,6.21,1.86,0.55,0.93,0.0,0.03,2.28,15.1,0.28,1.55,1.1,0.03,0.72,110.1,0.83,9.07,57.9,2750000.0
245,Loic Bade,DF,lens,fr Ligue 1,20,31,2610,0.0,0.0,0.0,0.02,0.01,27.3,0.06,-0.02,88.2,2.76,0.0,6.66,2.72,0.21,0.66,0.07,0.0,2.45,10.8,0.66,1.79,7.76,0.07,0.72,233.4,0.34,11.6,66.7,13200000.0
246,Ohis Felix Uduokhai,DF,augsburg,de Bundesliga,22,29,2610,0.03,0.0,0.03,0.04,0.01,23.1,0.09,-0.01,84.2,2.93,0.0,6.55,1.41,0.24,0.34,0.0,0.03,1.38,9.48,0.93,1.24,7.55,0.1,0.55,118.8,0.41,9.59,67.7,17600000.0
247,Mattia Zaccagni,MFFW,hellas verona,it Serie A,25,36,2609,0.17,0.17,0.34,0.13,0.18,40.0,0.1,0.04,69.3,2.76,0.1,8.62,0.9,2.45,3.0,0.1,0.07,1.21,12.2,0.17,1.14,0.55,0.03,2.34,141.8,2.31,6.72,46.1,16500000.0
248,Wissam Ben Yedder,FW,monaco,fr Ligue 1,29,37,2607,0.69,0.24,0.93,0.66,0.22,32.4,0.15,0.03,73.7,2.66,0.34,7.17,0.41,0.76,2.86,0.28,0.03,0.66,11.9,0.07,0.34,0.14,0.0,1.28,72.4,2.1,4.66,28.7,38500000.0
249,Leandro Trossard,FWMF,brighton,eng Premier League,25,35,2607,0.17,0.17,0.35,0.18,0.15,39.7,0.09,-0.0,74.9,4.28,0.17,6.38,1.72,2.21,3.45,0.17,0.1,0.93,14.7,0.14,0.83,0.17,0.0,1.45,110.8,1.9,6.97,17.6,18700000.0
250,Antoine Griezmann,FWMF,barcelona,es La Liga,29,36,2604,0.45,0.24,0.69,0.48,0.19,44.1,0.18,-0.03,87.4,2.42,0.21,7.47,0.9,1.11,3.04,0.1,0.03,1.35,14.6,0.14,0.45,0.48,0.0,0.87,66.7,1.35,4.6,50.0,66000000.0
251,Timo Werner,FW,chelsea,eng Premier League,24,35,2602,0.21,0.28,0.48,0.41,0.21,38.8,0.15,-0.2,77.2,1.94,0.14,4.6,0.38,1.66,2.94,0.21,0.03,0.97,13.1,0.03,0.21,0.14,0.0,1.04,109.1,2.66,4.98,24.1,71500000.0
252,Toma Basic,MF,bordeaux,fr Ligue 1,23,34,2601,0.14,0.03,0.17,0.11,0.07,37.8,0.07,0.02,82.2,2.8,0.03,6.71,1.38,1.11,1.76,0.14,0.17,1.07,17.3,0.14,0.8,1.7,0.0,0.73,86.2,1.42,6.71,46.6,9900000.0
253,Alfonso Espino,DF,cadiz,es La Liga,28,32,2601,0.0,0.1,0.1,0.01,0.04,44.4,0.03,-0.01,64.1,2.04,0.0,4.64,1.31,2.11,0.76,0.03,0.03,3.18,18.2,0.24,1.59,2.98,0.0,0.55,51.9,0.62,8.62,46.9,2750000.0
254,Ryan Bertrand,DF,southampton,eng Premier League,30,29,2598,0.0,0.03,0.03,0.02,0.04,37.5,0.08,-0.02,76.8,3.36,0.03,5.74,0.73,1.97,1.14,0.0,0.03,2.46,11.0,0.17,1.07,1.94,0.03,0.17,86.4,0.73,7.27,38.6,8800000.0
255,Lorenzo Pellegrini,MFFW,roma,it Serie A,24,34,2598,0.24,0.21,0.45,0.22,0.27,37.1,0.08,0.02,76.4,4.36,0.31,7.51,3.04,1.35,4.33,0.14,0.07,1.63,17.5,0.1,1.0,0.66,0.03,1.18,139.4,1.45,7.02,34.6,44000000.0
256,Nolito,MFFW,celta vigo,es La Liga,33,36,2597,0.24,0.17,0.42,0.22,0.2,45.5,0.12,0.02,73.5,4.19,0.31,4.91,0.8,0.83,2.46,0.07,0.14,2.53,16.7,0.07,0.83,0.76,0.0,0.83,69.0,1.45,6.33,26.4,1650000.0
257,Adam Webster,DF,brighton,eng Premier League,25,29,2594,0.03,0.0,0.03,0.04,0.01,25.0,0.05,-0.01,82.7,3.82,0.03,8.3,1.74,0.07,0.69,0.0,0.0,1.04,7.43,0.73,1.39,4.27,0.0,0.24,220.4,0.56,11.1,64.3,19800000.0
258,Omar Colley,DF,sampdoria,it Serie A,27,29,2591,0.07,0.0,0.07,0.05,0.0,25.0,0.12,0.02,82.0,2.64,0.0,4.24,1.67,0.17,0.14,0.0,0.0,1.39,8.51,1.04,1.81,6.15,0.07,0.03,87.8,0.1,9.41,64.3,6600000.0
259,Maxence Lacroix,DF,wolfsburg,de Bundesliga,20,30,2590,0.03,0.03,0.07,0.06,0.01,11.8,0.09,-0.02,84.1,3.82,0.0,6.22,1.84,0.24,0.69,0.0,0.03,2.19,11.6,0.83,2.64,6.04,0.0,0.38,150.3,0.28,11.9,53.0,30800000.0
260,Andre-Frank Zambo Anguissa,MF,fulham,eng Premier League,24,36,2587,0.0,0.1,0.1,0.06,0.08,23.5,0.05,-0.06,84.9,3.97,0.14,7.39,0.84,0.45,1.99,0.28,0.03,3.03,19.6,0.24,1.92,1.18,0.03,3.03,140.3,2.09,11.5,59.1,27500000.0
261,Maximilian Arnold,MF,wolfsburg,de Bundesliga,26,30,2585,0.1,0.21,0.31,0.07,0.17,29.6,0.04,0.03,80.1,5.47,0.21,8.89,4.22,1.15,3.21,0.07,0.1,2.09,18.6,0.14,1.43,2.47,0.0,0.49,108.4,0.56,13.4,54.1,20900000.0
262,Kyle Bartley,DF,west brom,eng Premier League,29,30,2584,0.1,0.03,0.14,0.07,0.01,35.7,0.15,0.03,77.9,1.05,0.03,4.91,1.01,0.14,0.31,0.0,0.0,0.91,8.05,1.29,1.08,7.04,0.07,0.1,36.2,0.31,9.06,66.9,2750000.0
263,Marcelo Brozovic,MF,inter,it Serie A,27,33,2581,0.07,0.21,0.28,0.06,0.15,22.2,0.07,0.01,88.0,7.11,0.14,10.4,3.87,0.91,3.0,0.03,0.07,1.81,18.6,0.59,1.36,1.57,0.0,0.38,140.4,0.7,9.34,50.0,44000000.0
264,Mario Hermoso,DF,atletico madrid,es La Liga,25,31,2578,0.03,0.03,0.07,0.04,0.01,26.3,0.06,-0.01,84.6,5.14,0.0,5.21,2.17,0.21,0.87,0.0,0.0,2.13,9.13,0.35,1.19,2.97,0.0,0.38,122.2,0.28,8.29,52.8,38500000.0
265,Jordan Ferri,MF,montpellier,fr Ligue 1,28,34,2577,0.0,0.1,0.1,0.01,0.05,50.0,0.05,-0.01,85.8,5.31,0.1,6.85,3.08,0.52,1.96,0.0,0.17,2.87,20.2,0.21,0.59,0.77,0.0,0.56,119.9,0.8,11.6,42.3,4400000.0
266,Matheus Pereira,MFFW,west brom,eng Premier League,24,33,2577,0.38,0.21,0.59,0.25,0.19,39.3,0.07,0.13,71.8,3.32,0.38,5.7,2.03,2.03,3.6,0.17,0.03,1.15,16.0,0.0,1.01,0.63,0.0,1.36,97.8,2.2,7.13,23.1,16500000.0
267,Chris Basham,DFMF,sheffield utd,eng Premier League,32,31,2576,0.0,0.03,0.03,0.03,0.03,10.0,0.08,-0.03,81.4,2.17,0.03,4.06,0.49,0.84,0.77,0.07,0.0,2.66,13.4,0.52,1.57,4.34,0.03,0.66,112.1,0.49,10.3,55.0,2200000.0
268,John Fleck,MF,sheffield utd,eng Premier League,28,31,2575,0.0,0.07,0.07,0.03,0.09,29.4,0.05,-0.03,78.0,3.6,0.07,5.38,1.33,1.22,2.31,0.1,0.03,1.61,17.7,0.17,1.36,0.63,0.03,1.26,93.7,0.73,8.22,32.1,5500000.0
269,Tomas Pina Isla,MF,alaves,es La Liga,32,33,2575,0.03,0.03,0.07,0.02,0.02,11.1,0.06,0.02,83.4,3.04,0.0,6.47,0.42,0.17,0.7,0.03,0.03,1.85,16.7,0.28,1.47,1.99,0.0,0.7,43.4,0.7,9.37,51.6,1320000.0
270,Jannik Vestergaard,DF,southampton,eng Premier League,27,30,2574,0.1,0.0,0.1,0.07,0.02,38.1,0.1,0.03,84.3,2.55,0.1,8.71,1.71,0.07,0.7,0.0,0.0,2.13,7.52,0.66,1.29,5.56,0.0,0.42,134.5,0.28,10.8,70.1,19800000.0
271,Christopher Trimmel,DF,union berlin,de Bundesliga,33,31,2572,0.03,0.31,0.35,0.01,0.17,33.3,0.03,0.02,71.5,3.15,0.03,5.7,2.97,3.01,2.69,0.0,0.0,2.03,11.6,0.31,2.03,3.18,0.0,0.35,91.3,0.49,9.13,54.1,1320000.0
272,Pablo Fornals,FWMF,west ham,eng Premier League,24,33,2572,0.17,0.14,0.31,0.23,0.09,30.0,0.13,-0.05,77.3,3.78,0.07,7.2,0.63,1.15,2.48,0.03,0.03,1.54,20.2,0.03,1.15,0.31,0.03,0.73,91.7,1.01,7.55,40.3,19800000.0
273,Fabian Ruiz Pena,MF,napoli,it Serie A,24,33,2569,0.11,0.04,0.14,0.09,0.1,34.9,0.06,0.01,88.9,5.82,0.18,11.2,3.51,0.74,3.68,0.11,0.21,1.72,16.4,0.11,1.4,1.44,0.0,0.7,161.3,0.53,7.96,54.5,49500000.0
274,Fabinho,DFMF,liverpool,eng Premier League,26,30,2567,0.0,0.0,0.0,0.01,0.01,10.0,0.04,-0.01,91.1,3.58,0.11,6.6,1.3,0.07,0.81,0.0,0.04,2.53,12.3,0.42,1.72,3.72,0.0,0.18,147.9,0.28,11.2,54.4,66000000.0
275,Moi Gomez,MFFW,villarreal,es La Liga,26,35,2563,0.14,0.0,0.14,0.15,0.09,41.7,0.15,-0.01,81.7,3.37,0.18,7.82,1.23,1.58,2.18,0.21,0.0,0.84,13.1,0.11,0.74,0.6,0.0,1.54,100.8,0.81,6.74,22.4,8800000.0
276,Diadie Samassekou,MF,hoffenheim,de Bundesliga,24,31,2563,0.0,0.07,0.07,0.02,0.04,6.7,0.04,-0.02,83.9,3.05,0.11,8.77,1.16,0.25,1.3,0.07,0.07,2.63,16.3,0.42,2.39,2.67,0.0,0.98,59.5,0.74,13.4,45.4,15400000.0
277,Andrea Masiello,DF,genoa,it Serie A,34,30,2563,0.0,0.0,0.0,0.01,0.01,0.0,0.09,-0.01,85.4,2.77,0.0,3.75,2.11,0.18,0.49,0.0,0.0,1.51,10.7,0.56,1.44,5.54,0.0,0.07,76.0,0.07,9.02,47.6,880000.0
278,Eberechi Eze,MF,crystal palace,eng Premier League,22,34,2559,0.14,0.21,0.35,0.08,0.1,35.1,0.06,0.06,79.3,3.91,0.07,6.73,1.09,0.92,2.92,0.35,0.07,1.34,11.2,0.11,1.02,0.21,0.0,2.43,139.9,1.48,7.15,27.3,22000000.0
279,Rob Holding,DF,arsenal,eng Premier League,24,30,2558,0.0,0.04,0.04,0.04,0.01,14.3,0.08,-0.04,89.3,3.56,0.0,4.44,2.11,0.11,0.42,0.0,0.04,1.37,10.4,1.09,0.81,5.53,0.0,0.32,152.0,0.11,8.73,56.0,19800000.0
280,Bukayo Saka,FWDF,arsenal,eng Premier League,18,32,2553,0.18,0.11,0.28,0.24,0.17,34.4,0.11,-0.07,74.9,2.25,0.11,7.22,1.3,2.89,3.45,0.28,0.0,1.2,13.9,0.07,0.95,1.13,0.0,1.48,122.8,1.65,6.2,25.9,71500000.0
281,Benjamin Bourigeaud,MFFW,rennes,fr Ligue 1,26,37,2552,0.21,0.18,0.39,0.2,0.19,37.5,0.09,0.01,77.3,6.27,0.25,7.61,4.65,2.57,3.77,0.04,0.04,1.41,19.0,0.04,0.81,1.23,0.0,0.49,81.8,0.81,8.27,31.5,16500000.0
282,Alexander Djiku,DFMF,strasbourg,fr Ligue 1,25,30,2552,0.0,0.0,0.0,0.06,0.02,13.3,0.13,-0.06,86.6,2.04,0.07,3.73,1.73,0.18,0.6,0.0,0.07,2.29,10.8,0.49,2.82,5.92,0.07,0.25,83.8,0.21,7.99,69.5,7150000.0
283,Marius Wolf,DFMF,koln,de Bundesliga,25,31,2551,0.07,0.07,0.14,0.12,0.11,26.2,0.08,-0.05,68.7,4.06,0.04,6.5,1.38,1.98,1.94,0.32,0.04,1.17,13.2,0.14,1.17,1.7,0.04,1.59,128.6,1.59,7.99,37.8,4400000.0
284,Pedro Neto,FWMF,wolves,eng Premier League,20,31,2550,0.18,0.21,0.39,0.17,0.22,34.4,0.08,0.01,78.8,1.87,0.14,6.71,2.01,4.49,3.92,0.46,0.04,0.74,11.8,0.07,1.02,0.39,0.0,2.61,178.8,2.54,5.34,33.9,38500000.0
285,Pedro Pereira,DF,crotone,it Serie A,22,35,2549,0.0,0.14,0.14,0.02,0.08,38.5,0.05,-0.02,76.0,2.33,0.04,5.19,0.64,1.73,1.24,0.04,0.04,1.84,13.1,0.35,0.74,1.7,0.0,0.64,57.6,1.13,6.33,40.0,2200000.0
286,Xavier Chavalerin,MF,reims,fr Ligue 1,29,30,2547,0.0,0.11,0.11,0.04,0.08,27.3,0.05,-0.04,83.9,2.51,0.11,4.2,0.95,0.46,1.17,0.0,0.04,3.92,21.9,0.32,1.27,1.1,0.04,0.6,49.2,0.57,6.93,45.2,4400000.0
287,Ruben Duarte,DF,alaves,es La Liga,24,31,2545,0.04,0.04,0.07,0.05,0.08,8.3,0.11,-0.01,70.8,4.06,0.11,6.04,1.8,2.05,1.7,0.0,0.0,2.16,13.1,0.25,1.48,4.1,0.04,0.18,59.6,0.28,8.9,67.0,4400000.0
288,Cristian Romero,DF,atalanta,it Serie A,22,31,2545,0.07,0.07,0.14,0.06,0.04,50.0,0.13,0.01,90.5,2.4,0.07,6.68,0.85,0.0,0.81,0.04,0.04,2.65,17.2,0.49,2.86,5.23,0.07,0.35,88.3,0.25,12.7,67.5,33000000.0
289,Ondrej Duda,FWMF,koln,de Bundesliga,25,32,2537,0.25,0.18,0.43,0.21,0.15,27.7,0.06,0.04,71.8,3.62,0.11,8.62,2.87,1.81,3.01,0.25,0.0,1.81,18.7,0.07,0.67,0.71,0.0,1.99,69.5,2.48,7.38,34.5,8800000.0
290,Rafael Toloi,DF,atalanta,it Serie A,29,31,2537,0.07,0.0,0.07,0.12,0.03,29.6,0.13,-0.05,83.7,5.04,0.04,7.45,1.31,0.71,1.31,0.04,0.07,2.02,11.9,0.21,1.35,2.8,0.04,0.43,124.6,0.53,10.5,73.1,16500000.0
291,Raheem Sterling,FW,manchester city,eng Premier League,25,31,2536,0.35,0.25,0.6,0.43,0.17,41.8,0.17,-0.08,85.4,2.2,0.11,7.91,0.39,1.21,3.55,0.5,0.0,0.71,10.2,0.04,0.5,0.07,0.0,2.45,130.7,2.13,4.36,16.1,99000000.0
292,Nico Elvedi,DF,m'gladbach,de Bundesliga,23,29,2536,0.11,0.04,0.14,0.07,0.01,50.0,0.16,0.04,92.8,2.23,0.04,6.17,1.38,0.07,0.46,0.0,0.04,2.16,7.94,0.82,2.27,6.17,0.0,0.07,134.1,0.21,9.68,65.1,30800000.0
293,Filip Kostic,DF,eint frankfurt,de Bundesliga,27,30,2534,0.14,0.5,0.64,0.14,0.41,41.2,0.08,0.0,62.7,4.86,0.11,6.28,2.52,7.84,4.26,0.04,0.04,2.13,15.4,0.21,1.1,1.17,0.04,1.21,160.0,1.7,8.37,47.6,38500000.0
294,Conor Gallagher,MF,west brom,eng Premier League,20,30,2531,0.07,0.07,0.14,0.06,0.06,24.1,0.06,0.01,77.8,1.92,0.0,6.41,1.0,1.14,1.46,0.11,0.04,2.92,25.2,0.28,1.39,1.07,0.04,1.35,69.0,1.49,9.68,39.3,16500000.0
295,Joao Moutinho,MF,wolves,eng Premier League,33,33,2528,0.04,0.04,0.07,0.02,0.09,26.7,0.04,0.01,84.8,4.38,0.14,9.54,2.7,1.53,3.24,0.0,0.11,2.49,19.3,0.11,1.39,1.1,0.0,0.36,110.8,0.39,9.93,45.5,4400000.0
296,Manu Trigueros,MF,villarreal,es La Liga,28,35,2527,0.04,0.21,0.25,0.1,0.18,26.7,0.09,-0.06,86.0,5.05,0.28,9.5,0.96,0.64,2.38,0.0,0.04,2.1,21.1,0.11,0.53,0.75,0.0,0.78,94.4,1.14,8.01,41.7,13200000.0
297,David Ferreiro,MFFW,huesca,es La Liga,32,37,2527,0.07,0.14,0.21,0.07,0.2,46.4,0.07,0.0,65.7,3.02,0.0,7.05,2.95,3.99,3.77,0.18,0.0,1.07,17.4,0.04,0.64,0.39,0.0,1.46,115.5,1.42,7.08,31.6,1100000.0
298,Robert Andrich,MF,union berlin,de Bundesliga,25,29,2526,0.18,0.07,0.25,0.09,0.08,22.5,0.06,0.09,79.1,4.45,0.07,8.9,1.03,0.28,1.96,0.14,0.11,2.17,18.8,0.28,2.03,1.1,0.04,0.64,78.5,1.0,12.8,65.0,7700000.0
299,Robin Gosens,DF,atalanta,it Serie A,26,32,2523,0.36,0.21,0.57,0.25,0.14,40.0,0.14,0.11,81.7,6.68,0.07,7.54,0.89,2.07,2.29,0.04,0.07,2.0,13.1,0.29,1.54,1.43,0.04,0.57,121.3,1.21,7.61,62.5,38500000.0
300,Piotr Zielinski,MF,napoli,it Serie A,26,36,2523,0.29,0.36,0.64,0.19,0.19,41.0,0.09,0.09,82.8,3.46,0.18,6.25,1.89,1.61,3.89,0.25,0.07,0.86,9.96,0.14,0.71,0.39,0.0,1.89,133.6,1.64,5.5,23.5,55000000.0
301,Jonathan Clauss,DF,lens,fr Ligue 1,27,33,2521,0.11,0.21,0.32,0.06,0.21,40.0,0.05,0.04,72.3,4.43,0.04,4.46,1.54,4.82,3.29,0.18,0.11,1.93,12.2,0.04,1.54,2.0,0.0,0.71,133.3,1.57,7.25,36.2,8800000.0
302,Eric Dier,DF,tottenham,eng Premier League,26,28,2520,0.0,0.0,0.0,0.03,0.0,14.3,0.06,-0.03,84.6,2.21,0.0,5.5,2.11,0.14,0.57,0.0,0.04,0.86,5.93,1.21,0.82,6.04,0.0,0.11,136.7,0.14,9.61,65.2,24200000.0
303,Inigo Martinez,DF,athletic club,es La Liga,29,28,2519,0.04,0.0,0.04,0.05,0.02,41.2,0.08,-0.01,83.6,3.18,0.04,5.14,2.61,0.32,0.54,0.0,0.0,1.04,7.14,0.29,1.32,5.39,0.0,0.21,153.1,0.18,9.79,63.2,22000000.0
304,Manuel Prietl,MF,arminia,de Bundesliga,28,28,2517,0.04,0.04,0.07,0.02,0.05,27.8,0.04,0.01,80.0,1.96,0.0,6.46,1.04,0.14,1.11,0.11,0.21,2.71,22.0,0.29,1.36,1.25,0.0,0.71,57.1,0.29,10.1,52.1,1980000.0
305,Sergio Busquets,MF,barcelona,es La Liga,32,36,2517,0.0,0.18,0.18,0.01,0.13,33.3,0.07,-0.01,91.5,7.79,0.54,11.0,1.61,0.11,2.43,0.0,0.07,2.5,19.6,0.11,1.39,0.89,0.07,0.46,117.7,0.64,10.6,52.5,9900000.0
306,Oscar Plano,MFFW,valladolid,es La Liga,29,36,2517,0.18,0.18,0.36,0.15,0.06,24.4,0.11,0.02,74.0,2.43,0.07,7.39,0.79,1.0,1.71,0.04,0.0,1.86,15.9,0.21,1.32,1.39,0.0,0.43,62.4,1.5,7.71,46.9,3080000.0
307,Jerdy Schouten,MF,bologna,it Serie A,23,34,2512,0.04,0.04,0.07,0.01,0.1,44.4,0.03,0.03,86.7,4.23,0.14,6.27,1.18,0.25,1.65,0.07,0.04,1.79,15.6,0.5,2.83,1.61,0.07,1.4,69.4,0.68,12.3,53.2,9900000.0
308,Neal Maupay,FWMF,brighton,eng Premier League,23,33,2512,0.29,0.07,0.36,0.47,0.13,32.8,0.15,-0.18,77.4,1.47,0.07,6.02,0.5,0.39,2.83,0.36,0.11,0.86,17.0,0.07,0.43,0.32,0.0,0.86,55.3,2.19,4.19,27.7,22000000.0
309,Diego Godin,DF,cagliari,it Serie A,34,28,2508,0.04,0.0,0.04,0.03,0.02,36.4,0.07,0.01,85.7,2.4,0.0,4.44,0.75,0.22,0.72,0.0,0.0,2.22,9.89,0.75,1.58,6.59,0.04,0.5,140.0,0.14,9.5,67.5,2200000.0
310,Luis Suarez,FW,atletico madrid,es La Liga,33,32,2508,0.75,0.11,0.86,0.56,0.12,41.8,0.14,0.19,73.6,1.4,0.14,4.95,0.72,0.54,2.37,0.14,0.04,0.43,6.02,0.04,0.22,0.5,0.0,0.39,32.3,2.01,3.15,41.0,16500000.0
311,Josh Sargent,FWMF,werder bremen,de Bundesliga,20,32,2506,0.18,0.07,0.25,0.19,0.14,41.3,0.11,-0.01,71.0,1.55,0.11,5.72,0.07,0.43,2.3,0.29,0.04,1.29,19.7,0.22,0.72,1.26,0.0,1.01,42.9,2.66,5.97,38.9,8800000.0
312,Antonio Candreva,MF,sampdoria,it Serie A,33,35,2505,0.18,0.29,0.47,0.17,0.21,31.6,0.06,0.01,67.5,6.69,0.07,7.23,4.64,5.5,3.78,0.14,0.0,0.9,10.2,0.11,0.9,0.79,0.0,1.12,180.2,1.55,7.45,11.8,2750000.0
313,Hwang Ui-jo,FWMF,bordeaux,fr Ligue 1,27,36,2503,0.43,0.11,0.54,0.45,0.08,37.8,0.14,-0.01,81.6,0.76,0.0,3.6,0.25,0.61,1.62,0.32,0.04,0.22,12.7,0.14,0.4,0.5,0.0,0.9,49.3,2.16,2.59,37.3,5500000.0
314,Darko Lazovic,DF,hellas verona,it Serie A,29,32,2503,0.11,0.22,0.32,0.1,0.15,34.4,0.09,0.0,72.8,5.47,0.0,6.15,1.19,3.45,2.34,0.07,0.0,0.97,7.52,0.32,0.72,1.29,0.0,0.65,103.4,1.04,8.24,50.0,5500000.0
315,Leander Dendoncker,MFDF,wolves,eng Premier League,25,33,2503,0.04,0.0,0.04,0.12,0.03,25.0,0.1,-0.08,87.9,2.23,0.0,6.08,1.12,0.29,1.55,0.04,0.04,1.76,17.8,0.54,0.97,2.7,0.0,0.4,67.8,0.68,8.35,61.9,33000000.0
316,Rodrigo Palacio,FW,bologna,it Serie A,38,36,2502,0.18,0.18,0.36,0.3,0.15,44.4,0.15,-0.12,75.6,2.45,0.14,7.41,0.68,2.01,3.35,0.29,0.07,0.61,14.6,0.04,0.25,0.83,0.04,1.55,108.3,2.73,4.35,38.5,440000.0
317,Sergio Canales,MFFW,betis,es La Liga,29,31,2498,0.29,0.22,0.5,0.19,0.18,24.4,0.07,0.09,84.7,4.14,0.25,10.1,3.74,1.65,3.85,0.14,0.0,0.61,10.4,0.0,0.5,0.43,0.0,1.29,176.8,1.47,6.65,30.0,22000000.0
318,Jeremy Morel,DF,lorient,fr Ligue 1,36,28,2493,0.0,0.0,0.0,0.02,0.01,14.3,0.08,-0.02,84.7,2.27,0.0,6.61,1.08,0.07,0.58,0.0,0.0,1.19,7.98,0.47,1.48,3.94,0.04,0.22,78.2,0.22,8.38,52.3,440000.0
319,Angelo Ogbonna,DF,west ham,eng Premier League,32,28,2492,0.11,0.0,0.11,0.05,0.04,33.3,0.12,0.05,84.4,0.94,0.0,3.03,0.51,0.11,0.22,0.0,0.0,0.97,7.87,0.54,0.97,6.03,0.0,0.14,72.5,0.14,8.19,68.1,2750000.0
320,Rodrigo Battaglia,MF,alaves,es La Liga,29,32,2492,0.04,0.0,0.04,0.04,0.01,29.4,0.07,-0.01,84.2,1.77,0.0,6.75,0.97,0.22,0.65,0.0,0.07,1.91,17.2,0.54,0.65,1.99,0.0,0.65,76.0,0.54,9.35,65.2,4400000.0
321,Domenico Berardi,FWMF,sassuolo,it Serie A,25,30,2475,0.62,0.25,0.87,0.53,0.19,29.4,0.08,0.09,76.2,5.96,0.25,8.8,1.96,2.33,4.69,0.29,0.18,1.42,15.6,0.07,1.27,1.42,0.0,1.09,147.7,1.71,6.29,26.8,38500000.0
322,Jonny Evans,DF,leicester city,eng Premier League,32,28,2473,0.07,0.07,0.15,0.06,0.01,37.5,0.21,0.01,87.5,2.29,0.0,7.31,1.16,0.07,0.51,0.0,0.0,0.76,6.11,0.22,1.49,5.31,0.0,0.22,118.7,0.18,12.9,71.0,7700000.0
323,Ivan Cavaleiro,FWMF,fulham,eng Premier League,26,36,2472,0.11,0.0,0.11,0.23,0.12,34.8,0.1,-0.12,72.0,1.82,0.04,6.15,1.13,2.55,2.62,0.11,0.07,1.02,16.2,0.04,0.65,0.8,0.04,1.89,89.6,3.35,6.29,34.1,7700000.0
324,Kevin Bonifazi,DF,udinese,it Serie A,24,30,2469,0.0,0.0,0.0,0.05,0.01,0.0,0.08,-0.05,89.6,1.79,0.0,5.44,0.73,0.15,0.26,0.0,0.0,1.57,9.67,0.77,1.79,4.01,0.07,0.47,110.3,0.4,8.25,65.7,7700000.0
325,Ezgjan Alioski,DF,leeds united,eng Premier League,28,36,2461,0.07,0.11,0.18,0.05,0.11,32.0,0.06,0.02,80.1,4.18,0.07,6.23,0.81,2.16,2.09,0.0,0.0,3.0,19.6,0.22,1.32,2.23,0.0,0.55,138.8,0.88,9.08,50.0,5500000.0
