,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
1169,Fabio Depaoli,DF,benevento,it Serie A,23,15,1120,0.0,0.0,0.0,0.02,0.03,14.3,0.03,-0.02,73.5,3.31,0.08,4.11,0.73,1.53,1.05,0.0,0.08,2.34,17.7,0.48,1.29,3.15,0.08,0.32,51.0,0.56,5.56,62.5,3850000.0
1170,Sander Berge,MF,sheffield utd,eng Premier League,22,15,1120,0.08,0.08,0.16,0.1,0.1,11.1,0.05,-0.02,81.9,2.42,0.08,5.89,0.97,1.45,1.94,0.16,0.08,1.69,17.5,0.16,0.24,1.53,0.08,1.53,135.6,1.94,8.15,51.6,19800000.0
1171,Bryan Dabo,MF,benevento,it Serie A,28,25,1117,0.0,0.0,0.0,0.1,0.02,16.7,0.1,-0.1,78.1,5.16,0.0,8.87,0.65,1.13,1.77,0.0,0.0,1.21,14.6,0.16,1.13,1.45,0.0,1.13,118.0,1.61,10.3,71.6,1320000.0
1172,Borja Garcia,MFFW,huesca,es La Liga,29,21,1117,0.08,0.0,0.08,0.1,0.1,14.3,0.09,-0.02,85.0,3.15,0.24,8.06,1.05,0.73,3.15,0.16,0.0,1.21,9.27,0.0,0.81,0.48,0.0,1.77,94.8,1.53,7.74,42.9,1650000.0
1173,Ruben Pena,DFMF,villarreal,es La Liga,29,19,1116,0.08,0.08,0.16,0.04,0.03,33.3,0.09,0.04,76.6,2.74,0.0,6.45,0.81,2.82,1.29,0.16,0.0,2.02,16.0,0.08,1.21,1.21,0.0,2.18,126.9,1.77,7.98,54.8,4400000.0
1174,Issiaga Sylla,DF,lens,fr Ligue 1,26,20,1116,0.08,0.0,0.08,0.12,0.03,20.0,0.15,-0.04,77.5,5.08,0.0,4.92,0.89,2.9,1.53,0.0,0.08,2.9,13.3,0.24,1.29,2.02,0.0,1.77,106.5,1.13,8.23,56.0,2200000.0
1175,Alexis Mac Allister,MFFW,brighton,eng Premier League,21,21,1115,0.08,0.08,0.16,0.09,0.19,11.5,0.04,-0.01,79.4,2.9,0.24,5.4,0.73,0.56,2.42,0.0,0.0,2.02,21.5,0.24,0.89,0.4,0.0,1.21,70.1,1.61,8.23,29.4,11000000.0
1176,Frederic Guilbert,DF,strasbourg,fr Ligue 1,25,13,1114,0.08,0.32,0.4,0.05,0.1,26.7,0.04,0.03,68.4,2.82,0.0,7.1,2.1,3.95,1.85,0.0,0.0,2.98,19.0,0.24,2.9,2.74,0.0,1.77,130.6,1.45,9.11,52.8,6600000.0
1177,Ruben Sobrino,FWMF,cadiz,es La Liga,28,16,1113,0.08,0.0,0.08,0.19,0.06,55.6,0.26,-0.11,72.8,1.21,0.08,5.65,0.4,0.56,1.61,0.08,0.08,2.58,20.1,0.08,0.89,1.21,0.0,1.69,76.4,2.74,5.16,39.0,1650000.0
1178,Diogo Jota,FW,liverpool,eng Premier League,23,19,1112,0.73,0.0,0.73,0.53,0.13,56.5,0.14,0.19,72.5,3.71,0.08,7.98,0.48,1.29,2.74,0.16,0.16,1.13,23.9,0.08,0.65,0.32,0.0,2.1,139.8,2.42,6.13,26.9,49500000.0
1179,Noah Katterbach,DF,koln,de Bundesliga,19,21,1111,0.0,0.0,0.0,0.02,0.1,22.2,0.02,-0.02,77.0,4.39,0.0,7.4,1.06,2.03,2.11,0.16,0.0,1.79,11.7,0.16,0.89,2.36,0.0,1.79,123.7,0.98,9.84,42.0,6050000.0
1180,Maximilian Philipp,MF,wolfsburg,de Bundesliga,26,24,1111,0.49,0.16,0.65,0.24,0.12,53.6,0.11,0.24,72.8,1.54,0.08,6.91,0.81,0.73,2.36,0.16,0.08,1.06,23.3,0.08,0.65,0.24,0.0,1.14,37.5,1.54,5.04,46.2,7700000.0
1181,Esteban Burgos,DF,eibar,es La Liga,28,14,1111,0.24,0.08,0.32,0.27,0.01,66.7,0.35,-0.02,76.2,2.2,0.0,4.15,3.5,0.0,0.57,0.0,0.0,0.73,4.72,0.49,0.98,7.15,0.08,0.08,88.2,0.0,14.3,52.8,2750000.0
1182,Willian Jose,FW,wolves,eng Premier League,28,17,1110,0.08,0.0,0.08,0.15,0.05,31.6,0.1,-0.07,81.4,0.98,0.0,7.32,0.98,0.57,1.54,0.08,0.08,0.16,9.67,0.08,0.57,0.81,0.0,0.73,25.9,1.95,4.47,42.3,19800000.0
1183,Jacob Barrett Laursen,DF,arminia,de Bundesliga,25,16,1108,0.0,0.08,0.08,0.0,0.1,0.0,0.02,0.0,77.9,2.44,0.08,5.69,0.41,1.3,0.57,0.0,0.0,1.71,12.4,0.49,1.87,3.01,0.0,0.89,60.8,0.33,9.02,36.1,770000.0
1184,Nemanja Matic,MF,manchester utd,eng Premier League,31,20,1106,0.0,0.0,0.0,0.02,0.03,50.0,0.05,-0.02,90.5,6.42,0.08,10.7,2.68,0.49,1.63,0.0,0.0,1.95,14.2,0.41,1.46,1.71,0.08,1.22,269.5,0.57,10.3,70.4,8800000.0
1185,Sheraldo Becker,FWMF,union berlin,de Bundesliga,25,18,1106,0.24,0.24,0.49,0.16,0.26,32.3,0.07,0.08,63.1,1.87,0.08,4.8,0.98,4.31,3.01,0.24,0.0,0.65,10.5,0.0,0.41,0.41,0.0,0.98,142.6,2.03,8.86,23.5,3300000.0
