Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Baptiste Reynet\Baptiste-Reynet,GK,Nîmes,fr Ligue 1,29,38,38,3420,38.0,71,1.87,192,125,66.1,9,8,21,8,21.1,10,6,3,1,33.3
Sergio Rico\Sergio-Rico,GK,Paris S-G,fr Ligue 1,26,10,8,810,9.0,9,1.00,36,28,75.0,5,1,2,5,62.5,0,0,0,0,
Roberto\Roberto,GK,Valladolid,es La Liga,34,13,13,1170,13.0,17,1.31,43,28,65.1,1,7,5,1,7.7,3,2,0,1,0.0
Joel Robles\Joel-Robles,GK,Betis,es La Liga,30,18,18,1620,18.0,25,1.39,56,37,62.5,9,2,7,6,33.3,5,4,1,0,20.0
Marek Rodák\Marek-Rodak,GK,Fulham,eng Premier League,23,2,2,180,2.0,5,2.50,8,4,50.0,0,0,2,0,0.0,1,1,0,0,0.0
Rubén\Ruben,GKMF,Osasuna,es La Liga,36,3,3,187,2.1,5,2.41,9,3,44.4,0,2,1,0,0.0,0,0,0,0,
John Ruddy\John-Ruddy,GK,Wolves,eng Premier League,33,2,1,91,1.0,1,0.99,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
Gerónimo Rulli\Geronimo-Rulli,GK,Villarreal,es La Liga,28,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,
Mathew Ryan\Mathew-Ryan,GK,Brighton,eng Premier League,28,11,11,990,11.0,19,1.73,30,16,50.0,2,4,5,2,18.2,4,4,0,0,0.0
Mathew Ryan\Mathew-Ryan,GK,Arsenal,eng Premier League,28,3,3,270,3.0,2,0.67,9,8,88.9,1,1,1,1,33.3,1,1,0,0,0.0
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,de Bundesliga,27,11,10,945,10.5,24,2.29,64,46,68.8,0,4,6,1,10.0,4,4,0,0,0.0
Romain Salin\Romain-Salin,GK,Rennes,fr Ligue 1,36,15,15,1350,15.0,14,0.93,54,40,74.1,9,4,2,5,33.3,0,0,0,0,
Robert Sánchez\Robert-Sanchez,GK,Brighton,eng Premier League,22,27,27,2430,27.0,27,1.00,87,63,71.3,7,10,10,10,37.0,3,2,0,1,0.0
Kasper Schmeichel\Kasper-Schmeichel,GK,Leicester City,eng Premier League,33,38,38,3420,38.0,50,1.32,134,87,65.7,20,6,12,11,28.9,4,4,0,0,0.0
Alexander Schwolow\Alexander-Schwolow,GK,Hertha BSC,de Bundesliga,28,26,26,2340,26.0,39,1.50,103,70,68.0,6,10,10,8,30.8,6,6,0,0,0.0
Simone Scuffet\Simone-Scuffet,GK,Udinese,it Serie A,24,1,1,90,1.0,2,2.00,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Matz Sels\Matz-Sels,GK,Strasbourg,fr Ligue 1,28,6,6,540,6.0,13,2.17,25,14,56.0,1,2,3,0,0.0,2,2,0,0,0.0
Luigi Sepe\Luigi-Sepe,GK,Parma,it Serie A,29,36,36,3240,36.0,76,2.11,177,103,58.2,3,11,22,5,13.9,2,2,0,0,0.0
Rui Silva\Rui-Silva,GK,Granada,es La Liga,26,32,32,2880,32.0,55,1.72,129,78,61.2,12,6,14,8,25.0,10,5,4,1,44.4
Marco Silvestri\Marco-Silvestri,GK,Hellas Verona,it Serie A,29,34,34,3060,34.0,42,1.24,125,89,71.2,11,9,14,7,20.6,7,6,0,1,0.0
