,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,3,72,0.00,0.00,0.00,0.00,0.00
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,1,4,0,0,0.00,0.0,0.0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,2,3,0,0,0.00,0.0,0.0
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,16,1126,0.24,0.00,0.24,0.44,0.02
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2,180,0.00,0.00,0.00,0.00,0.00
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,35,2885,0.00,0.03,0.03,0.03,0.04
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,29,2526,0.18,0.07,0.25,0.09,0.08
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,26,1672,0.00,0.05,0.05,0.02,0.03
Ángel\Angel,GK,Granada,es La Liga,18,1,90,0.00,0.00,0.00,0.00,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,2,135,0.00,0.00,0.00,0.00,0.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,14,901,0.00,0.00,0.00,0.00,0.08
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,26,2161,0.17,0.17,0.33,0.16,0.21
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,1,5,0.00,0.00,0.00,0.00,0.00
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,1,13,0.00,0.00,0.00,0.00,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,31,1947,0.05,0.28,0.32,0.08,0.23
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,31,2711,0.00,0.03,0.03,0.04,0.01
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,4,26,0.00,0.00,0.00,0.67,0.00
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,26,1974,0.46,0.23,0.68,0.52,0.11
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,5,232,0.00,0.00,0.00,0.00,0.00
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,30,1781,0.35,0.15,0.51,0.52,0.20
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,34,1731,0.10,0.26,0.36,0.17,0.27
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,22,1556,0.00,0.12,0.12,0.01,0.06
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,1,26,0.00,0.00,0.00,0.33,0.00
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,34,2983,0.09,0.00,0.09,0.07,0.06
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,21,1669,0.00,0.00,0.00,0.04,0.04
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,28,1496,0.24,0.12,0.36,0.22,0.16
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,33,2426,0.00,0.00,0.00,0.01,0.03
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,24,1510,0.12,0.06,0.18,0.10,0.01
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,34,2807,0.00,0.03,0.03,0.04,0.03
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36,3240,0.00,0.00,0.00,0.00,0.00
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1,90,0.00,0.00,0.00,0.00,0.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,13,294,0.00,0.00,0.00,0.30,0.06
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,4,47,0.00,0.00,0.00,0.00,0.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,1,5,0.00,0.00,0.00,0.00,0.00
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,33,2764,0.13,0.16,0.29,0.10,0.09
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,30,2585,0.10,0.21,0.31,0.07,0.17
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,10,112,0.00,0.00,0.00,0.33,0.00
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,8,135,0.00,0.00,0.00,0.00,0.00
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,7,585,0.00,0.00,0.00,0.00,0.00
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,30,1818,0.15,0.00,0.15,0.05,0.01
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,9,224,0.00,0.00,0.00,0.04,0.00
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,13,762,0.12,0.00,0.12,0.07,0.02
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36,3240,0.00,0.00,0.00,0.00,0.00
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,35,1869,0.24,0.10,0.34,0.24,0.14
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,6,95,0.00,0.00,0.00,0.00,0.00
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,33,2864,0.44,0.41,0.85,0.39,0.26
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,17,828,0.11,0.11,0.22,0.09,0.07
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,12,838,0.00,0.00,0.00,0.02,0.01
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,18,956,0.09,0.00,0.09,0.06,0.05
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,29,2332,0.39,0.12,0.50,0.41,0.11
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37,3330,0.00,0.03,0.03,0.00,0.01
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,37,3216,0.03,0.08,0.11,0.01,0.09
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,3,36,0.00,0.00,0.00,0.00,0.00
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,23,1957,0.00,0.18,0.18,0.04,0.13
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,19,1605,0.11,0.17,0.28,0.08,0.11
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,5,138,0.00,0.00,0.00,0.13,0.00
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,8,202,0.00,0.00,0.00,0.32,0.00
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,21,1359,0.33,0.13,0.46,0.46,0.10
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,6,500,0.00,0.00,0.00,0.00,0.09
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,33,2096,0.04,0.13,0.17,0.10,0.03
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,19,796,0.00,0.00,0.00,0.06,0.00
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,38,3399,0.00,0.00,0.00,0.04,0.07
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,2,101,0.00,0.00,0.00,0.18,0.00
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,26,2188,0.04,0.08,0.12,0.03,0.11
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,7,296,0.00,0.00,0.00,0.00,0.18
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,23,786,0.57,0.00,0.57,0.40,0.10
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,31,2610,0.00,0.00,0.00,0.02,0.01
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,30,2408,0.04,0.15,0.19,0.02,0.10
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30,2700,0.00,0.00,0.00,0.00,0.00
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,35,2870,0.06,0.03,0.09,0.06,0.02
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,6,137,0.00,0.00,0.00,0.07,0.07
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,22,543,0.17,0.00,0.17,0.25,0.10
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,30,1616,0.33,0.11,0.45,0.41,0.08
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,30,2141,0.38,0.34,0.71,0.29,0.26
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,12,916,0.00,0.00,0.00,0.01,0.00
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1,90,0.00,0.00,0.00,0.00,0.00
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,32,1964,0.09,0.05,0.14,0.05,0.04
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,26,1694,0.00,0.11,0.11,0.01,0.10
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,32,2678,0.20,0.23,0.44,0.11,0.15
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2,180,0.00,0.00,0.00,0.00,0.00
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,7,56,0.00,0.00,0.00,0.17,0.00
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,14,1198,0.08,0.00,0.08,0.05,0.00
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,25,1197,0.53,0.08,0.60,0.44,0.13
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,32,2787,0.00,0.06,0.06,0.04,0.05
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,20,920,1.08,0.20,1.27,0.52,0.19
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,23,1689,0.00,0.05,0.05,0.00,0.03
Leonardo Balerdi\Leonardo-Balerdi,DF,Marseille,fr Ligue 1,21,21,1634,0.11,0.00,0.11,0.10,0.00
Fodé Ballo-Touré\Fode-Ballo-Toure,DF,Monaco,fr Ligue 1,23,24,662,0.00,0.41,0.41,0.03,0.09
Botond Balogh\Botond-Balogh,DF,Parma,it Serie A,18,3,165,0.00,0.00,0.00,0.00,0.00
Abdoulaye Bamba\Abdoulaye-Bamba,DF,Angers,fr Ligue 1,30,16,1347,0.00,0.00,0.00,0.00,0.09
Jonathan Bamba\Jonathan-Bamba,MF,Lille,fr Ligue 1,24,38,2985,0.18,0.27,0.45,0.13,0.15
Robson Bambu\Robson-Bambu,DF,Nice,fr Ligue 1,22,15,1046,0.00,0.00,0.00,0.01,0.01
Patrick Bamford\Patrick-Bamford,FW,Leeds United,eng Premier League,26,38,3050,0.50,0.21,0.71,0.51,0.12
Mattia Bani\Mattia-Bani,DF,Genoa,it Serie A,26,11,921,0.00,0.00,0.00,0.06,0.01
Mattia Bani\Mattia-Bani,DF,Parma,it Serie A,26,15,1145,0.00,0.00,0.00,0.04,0.02
Simon Banza\Simon-Banza,FW,Lens,fr Ligue 1,23,34,1372,0.33,0.13,0.46,0.39,0.08
Antonín Barák\Antonin-Barak,MFFW,Hellas Verona,it Serie A,25,34,2765,0.23,0.10,0.33,0.19,0.09
Federico Barba\Federico-Barba,DF,Benevento,it Serie A,26,32,2659,0.00,0.07,0.07,0.03,0.06
Danilo Barbosa\Danilo-Barbosa,DF,Nice,fr Ligue 1,24,4,250,0.00,0.00,0.00,0.07,0.00
Barcia\Barcia,DF,Granada,es La Liga,19,1,90,0.00,0.00,0.00,0.00,0.00
Melvin Bard\Melvin-Bard,DF,Lyon,fr Ligue 1,19,14,432,0.00,0.00,0.00,0.02,0.04
Enis Bardhi\Enis-Bardhi,MFFW,Levante,es La Liga,25,26,1682,0.05,0.11,0.16,0.16,0.06
Phil Bardsley\Phil-Bardsley,DF,Burnley,eng Premier League,35,4,274,0.00,0.00,0.00,0.03,0.00
Nicolò Barella\Nicolo-Barella,MF,Inter,it Serie A,23,36,2896,0.09,0.22,0.31,0.08,0.17
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,de Bundesliga,31,1,27,0.00,0.00,0.00,0.00,0.00
Kike Barja\Kike-Barja,MFFW,Osasuna,es La Liga,23,33,1433,0.13,0.19,0.31,0.11,0.12
Ross Barkley\Ross-Barkley,MF,Aston Villa,eng Premier League,26,24,1531,0.18,0.06,0.24,0.19,0.21
Ross Barkley\Ross-Barkley,MF,Chelsea,eng Premier League,26,2,42,0.00,0.00,0.00,0.00,0.20
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,de Bundesliga,22,26,977,0.18,0.28,0.46,0.15,0.28
Ashley Barnes\Ashley-Barnes,FW,Burnley,eng Premier League,30,22,1331,0.20,0.00,0.20,0.34,0.05
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,eng Premier League,22,25,1945,0.42,0.19,0.60,0.29,0.07
Marc Baró\Marc-Baro,DF,Cádiz,es La Liga,20,1,90,0.00,0.00,0.00,0.00,0.30
Antonio Barragán\Antonio-Barragan,DF,Elche,es La Liga,33,27,2235,0.00,0.12,0.12,0.02,0.04
Antonio Barreca\Antonio-Barreca,DF,Fiorentina,it Serie A,25,3,85,0.00,0.00,0.00,0.22,0.00
Leandro Barreiro Martins\Leandro-Barreiro-Martins,MF,Mainz 05,de Bundesliga,20,29,2303,0.08,0.08,0.16,0.13,0.08
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,es La Liga,18,31,1307,0.21,0.00,0.21,0.12,0.14
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,de Bundesliga,25,16,1108,0.00,0.08,0.08,0.00,0.10
Musa Barrow\Musa-Barrow,FWMF,Bologna,it Serie A,21,38,2921,0.25,0.25,0.49,0.27,0.16
Kyle Bartley\Kyle-Bartley,DF,West Brom,eng Premier League,29,30,2584,0.10,0.03,0.14,0.07,0.01
Paolo Bartolomei\Paolo-Bartolomei,MF,Spezia,it Serie A,30,6,320,0.00,0.28,0.28,0.06,0.08
Marc Bartra\Marc-Bartra,DF,Betis,es La Liga,29,19,1694,0.00,0.05,0.05,0.02,0.04
Daniele Baselli\Daniele-Baselli,MF,Torino,it Serie A,28,15,396,0.00,0.00,0.00,0.07,0.14
