,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,32,2106,0.13,0.00,0.13,0.09,0.07
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,16,718,0.00,0.00,0.00,0.05,0.10
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,28,2032,0.00,0.09,0.09,0.09,0.05
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,23,1879,0.00,0.00,0.00,0.03,0.02
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,31,2768,0.00,0.00,0.00,0.00,0.00
Lyanco\Lyanco,DF,Torino,it Serie A,23,23,1959,0.00,0.00,0.00,0.04,0.01
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,31,2418,0.15,0.07,0.22,0.07,0.06
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,1,20,0.00,0.00,0.00,0.00,0.00
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,21,1115,0.08,0.08,0.16,0.09,0.19
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,32,2026,0.18,0.22,0.40,0.22,0.19
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,1,8,0.00,0.00,0.00,0.00,0.00
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,1,6,0.00,0.00,0.00,0.00,0.00
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6,539,0.17,0.17,0.33,0.00,0.02
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,31,2099,0.34,0.21,0.56,0.19,0.23
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,1,6,0.00,0.00,0.00,0.00,0.00
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,25,1964,0.05,0.18,0.23,0.03,0.09
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,28,2181,0.04,0.08,0.12,0.05,0.02
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,8,297,0.00,0.00,0.00,0.03,0.00
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,33,2214,0.12,0.04,0.16,0.21,0.09
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,10,440,0.00,0.00,0.00,0.02,0.06
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,25,1510,0.00,0.00,0.00,0.04,0.00
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,13,603,0.00,0.00,0.00,0.04,0.06
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,34,3047,0.06,0.03,0.09,0.06,0.01
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,2,66,0.00,0.00,0.00,0.00,0.00
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,2,34,0.00,0.00,0.00,0.00,0.00
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,27,1949,0.41,0.28,0.69,0.26,0.27
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,16,1034,0.00,0.00,0.00,0.03,0.12
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,2,30,0.00,0.00,0.00,0.00,0.67
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,31,2693,0.03,0.10,0.13,0.07,0.07
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38,3420,0.00,0.00,0.00,0.00,0.01
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,11,490,0.00,0.00,0.00,0.02,0.04
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,15,1230,0.00,0.00,0.00,0.05,0.05
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,17,804,0.22,0.00,0.22,0.35,0.07
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,15,810,0.33,0.00,0.33,0.53,0.12
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1,90,0.00,0.00,0.00,0.00,0.00
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,15,552,0.16,0.00,0.16,0.26,0.00
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,8,124,0.00,0.00,0.00,0.14,0.21
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,17,522,0.00,0.00,0.00,0.02,0.00
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,35,2728,0.03,0.00,0.03,0.06,0.04
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,17,1207,0.00,0.00,0.00,0.03,0.01
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,28,860,0.00,0.10,0.10,0.06,0.00
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,5,207,0.00,0.00,0.00,0.04,0.04
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,2,33,0.00,0.00,0.00,0.00,0.00
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,5,29,0.00,0.00,0.00,0.33,0.00
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,36,1876,0.38,0.58,0.96,0.31,0.47
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,1,58,0.00,0.00,0.00,0.00,0.17
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,31,2602,0.10,0.03,0.14,0.05,0.08
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,35,2338,0.04,0.00,0.04,0.06,0.02
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,14,699,0.26,0.13,0.39,0.27,0.04
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,12,458,0.00,0.00,0.00,0.04,0.00
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,27,2309,0.00,0.00,0.00,0.00,0.05
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,33,2852,0.13,0.06,0.19,0.08,0.03
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37,3330,0.00,0.00,0.00,0.00,0.00
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,29,2180,0.00,0.00,0.00,0.01,0.05
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,28,2392,0.11,0.04,0.15,0.09,0.00
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,10,398,0.00,0.00,0.00,0.18,0.05
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,17,1525,0.18,0.06,0.24,0.12,0.04
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,10,212,0.00,0.00,0.00,0.33,0.04
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,35,2810,0.35,0.22,0.58,0.49,0.18
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1,90,0.00,0.00,0.00,0.00,0.00
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,7,321,0.00,0.00,0.00,0.14,0.00
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,24,2109,0.04,0.13,0.17,0.06,0.06
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,35,2691,0.10,0.10,0.20,0.11,0.10
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9,810,0.00,0.00,0.00,0.00,0.00
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,30,2298,0.00,0.00,0.00,0.03,0.02
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,13,825,0.00,0.00,0.00,0.00,0.02
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,6,294,0.00,0.00,0.00,0.00,0.06
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,19,1077,0.25,0.08,0.33,0.23,0.14
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,23,1170,0.00,0.08,0.08,0.06,0.09
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,8,229,0.40,0.80,1.18,0.20,0.16
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,23,1177,0.31,0.08,0.38,0.29,0.05
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,13,623,0.00,0.00,0.00,0.01,0.03
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,1,78,0.00,0.00,0.00,0.00,0.00
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,16,1050,0.00,0.17,0.17,0.03,0.10
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,34,2907,0.09,0.00,0.09,0.04,0.02
Solly March\Solly-March,DF,Brighton,eng Premier League,26,21,1672,0.11,0.05,0.16,0.09,0.09
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,4,334,0.00,0.00,0.00,0.00,0.00
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,24,1561,0.00,0.12,0.12,0.03,0.06
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,34,3014,0.00,0.12,0.12,0.05,0.03
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,33,2645,0.00,0.00,0.00,0.00,0.02
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,25,1520,0.06,0.12,0.18,0.08,0.11
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,8,514,0.00,0.00,0.00,0.00,0.00
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,22,1451,0.06,0.00,0.06,0.07,0.02
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10,900,0.00,0.00,0.00,0.00,0.00
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,21,1765,0.00,0.00,0.00,0.05,0.01
Mariano\Mariano,FW,Real Madrid,es La Liga,26,16,513,0.18,0.00,0.18,0.26,0.04
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,24,1432,0.00,0.00,0.00,0.03,0.04
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,5,93,0.00,0.00,0.00,0.10,0.50
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,9,269,0.00,0.33,0.33,0.03,0.03
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,37,2965,0.09,0.18,0.27,0.05,0.15
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,28,2089,0.22,0.04,0.26,0.09,0.00
Marlon\Marlon,DF,Sassuolo,it Serie A,24,24,1742,0.00,0.00,0.00,0.02,0.01
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,1,1,0,0,0.00,0.0,0.0
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,25,2128,0.13,0.04,0.17,0.06,0.03
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,21,1588,0.00,0.00,0.00,0.02,0.00
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,33,2198,0.49,0.16,0.66,0.38,0.10
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,22,1480,0.24,0.18,0.43,0.40,0.12
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,5,262,0.00,0.00,0.00,0.00,0.14
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,19,1540,0.00,0.18,0.18,0.01,0.07
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,2,96,0.00,0.00,0.00,0.00,0.00
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,12,482,0.00,0.00,0.00,0.00,0.04
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,14,589,0.31,0.15,0.46,0.52,0.32
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,21,1483,0.06,0.00,0.06,0.08,0.02
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38,3420,0.00,0.00,0.00,0.00,0.01
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28,2519,0.04,0.00,0.04,0.05,0.02
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,13,460,0.20,0.20,0.39,0.12,0.10
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,19,466,0.00,0.00,0.00,0.06,0.04
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1,90,0.00,0.00,0.00,0.00,0.00
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,38,2561,0.60,0.21,0.81,0.54,0.16
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,7,540,0.00,0.17,0.17,0.00,0.02
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,23,1551,0.17,0.12,0.29,0.16,0.16
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,36,2966,0.06,0.09,0.15,0.06,0.07
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,9,200,0.00,0.00,0.00,0.36,0.00
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,4,133,0.00,0.67,0.68,0.13,0.13
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,24,1762,0.05,0.05,0.10,0.02,0.03
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,30,2563,0.00,0.00,0.00,0.01,0.01
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25,2250,0.00,0.00,0.00,0.00,0.00
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,18,757,0.00,0.00,0.00,0.20,0.17
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,it Serie A,28,3,32,0.00,0.00,0.00,0.00,0.00
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,12,1006,0.00,0.18,0.18,0.03,0.17
Jaime Mata\Jaime-Mata,FW,Getafe,es La Liga,31,33,2037,0.22,0.00,0.22,0.29,0.05
Juan Mata\Juan-Mata,FWMF,Manchester Utd,eng Premier League,32,9,509,0.18,0.35,0.53,0.19,0.14
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,fr Ligue 1,17,22,1594,0.17,0.00,0.17,0.06,0.04
Eliot Matazo\Eliot-Matazo,MF,Monaco,fr Ligue 1,18,10,314,0.29,0.29,0.57,0.37,0.14
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,eng Premier League,23,7,221,0.40,0.00,0.41,0.08,0.00
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,de Bundesliga,23,15,997,0.63,0.09,0.72,0.67,0.14
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,eng Premier League,31,20,1106,0.00,0.00,0.00,0.02,0.03
Joël Matip\Joel-Matip,DF,Liverpool,eng Premier League,28,10,691,0.13,0.26,0.39,0.08,0.13
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,de Bundesliga,19,3,220,0.00,0.00,0.00,0.00,0.04
Ryder Matos\Ryder-Matos,MF,Udinese,it Serie A,27,1,13,0.00,0.00,0.00,0.00,0.00
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,de Bundesliga,20,1,24,0.00,0.00,0.00,0.00,0.00
Chrislain Matsima\Chrislain-Matsima,DF,Monaco,fr Ligue 1,18,9,352,0.00,0.00,0.00,0.03,0.03
Federico Mattiello\Federico-Mattiello,DF,Spezia,it Serie A,25,1,36,0.00,0.00,0.00,0.00,0.00
Neal Maupay\Neal-Maupay,FWMF,Brighton,eng Premier League,23,33,2512,0.29,0.07,0.36,0.47,0.13
Tony Mauricio\Tony-Mauricio,MF,Lens,fr Ligue 1,26,26,502,0.00,0.71,0.72,0.13,0.25
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,fr Ligue 1,22,35,2030,0.40,0.00,0.40,0.22,0.05
Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Stuttgart,de Bundesliga,22,21,1463,0.00,0.00,0.00,0.09,0.02
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,31,22,820,0.33,0.00,0.33,0.35,0.18
Borja Mayoral\Borja-Mayoral,FW,Real Madrid,es La Liga,23,2,23,0.00,0.00,0.00,0.00,0.00
Borja Mayoral\Borja-Mayoral,FW,Roma,it Serie A,23,31,1551,0.58,0.17,0.75,0.48,0.10
Youssef Maziz\Youssef-Maziz,MFFW,Metz,fr Ligue 1,22,11,257,0.00,0.00,0.00,0.14,0.14
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,it Serie A,30,2,56,0.00,0.00,0.00,0.00,0.00
Kevin Mbabu\Kevin-Mbabu,DF,Wolfsburg,de Bundesliga,25,22,1642,0.00,0.05,0.05,0.03,0.07
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,fr Ligue 1,21,31,2380,1.02,0.27,1.29,0.93,0.17
Ibrahima Mbaye\Ibrahima-Mbaye,DF,Bologna,it Serie A,25,8,428,0.21,0.00,0.21,0.10,0.00
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,de Bundesliga,20,21,1160,0.00,0.08,0.08,0.04,0.05
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,fr Ligue 1,18,32,2210,0.16,0.04,0.20,0.13,0.10
James McArthur\James-McArthur,MF,Crystal Palace,eng Premier League,32,18,1466,0.00,0.12,0.12,0.01,0.06
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,eng Premier League,24,23,1324,0.07,0.00,0.07,0.21,0.07
Alex McCarthy\Alex-McCarthy,GK,Southampton,eng Premier League,30,30,2700,0.00,0.00,0.00,0.00,0.00
James McCarthy\James-McCarthy,MF,Crystal Palace,eng Premier League,29,16,821,0.00,0.00,0.00,0.00,0.03
John McGinn\John-McGinn,MF,Aston Villa,eng Premier League,25,37,3330,0.08,0.14,0.22,0.06,0.08
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,eng Premier League,32,35,2397,0.30,0.04,0.34,0.26,0.05
Weston McKennie\Weston-McKennie,MF,Juventus,it Serie A,21,34,1702,0.26,0.11,0.37,0.22,0.15
Dwight McNeil\Dwight-McNeil,MF,Burnley,eng Premier League,20,36,3069,0.06,0.15,0.21,0.03,0.19
Scott McTominay\Scott-McTominay,MF,Manchester Utd,eng Premier League,23,32,2129,0.17,0.04,0.21,0.09,0.04
Gary Medel\Gary-Medel,DFMF,Bologna,it Serie A,32,11,511,0.00,0.18,0.18,0.00,0.04
Facundo Medina\Facundo-Medina,DF,Lens,fr Ligue 1,21,24,2007,0.09,0.00,0.09,0.04,0.01
Nathan de Medina\Nathan-de-Medina,DF,Arminia,de Bundesliga,22,16,639,0.00,0.14,0.14,0.00,0.08
Ben Mee\Ben-Mee,DF,Burnley,eng Premier League,30,30,2693,0.07,0.00,0.07,0.05,0.01
Joshua Mees\Joshua-Mees,FW,Union Berlin,de Bundesliga,24,1,5,0.00,0.00,0.00,1.00,0.00
Admir Mehmedi\Admir-Mehmedi,MFFW,Wolfsburg,de Bundesliga,29,18,820,0.00,0.22,0.22,0.10,0.22
Soualiho Meïté\Soualiho-Meite,MF,Torino,it Serie A,26,14,920,0.10,0.10,0.20,0.06,0.03
Soualiho Meïté\Soualiho-Meite,MF,Milan,it Serie A,26,16,588,0.00,0.00,0.00,0.06,0.06
Hannibal Mejbri\Hannibal-Mejbri,MF,Manchester Utd,eng Premier League,17,1,9,0.00,0.00,0.00,0.00,0.00
Farid El Melali\Farid-El-Melali,FWMF,Angers,fr Ligue 1,23,17,414,0.00,0.00,0.00,0.30,0.02
Filippo Melegoni\Filippo-Melegoni,MFDF,Genoa,it Serie A,21,14,389,0.00,0.00,0.00,0.09,0.09
Gonzalo Melero\Gonzalo-Melero,MFFW,Levante,es La Liga,26,29,1853,0.34,0.05,0.39,0.15,0.08
Birger Meling\Birger-Meling,DF,Nîmes,fr Ligue 1,25,26,2328,0.08,0.12,0.19,0.03,0.10
Arthur Melo\Arthur-Melo,MF,Juventus,it Serie A,23,22,1157,0.08,0.00,0.08,0.02,0.07
Houboulang Mendes\Houboulang-Mendes,DF,Lorient,fr Ligue 1,22,17,1297,0.00,0.00,0.00,0.01,0.02
Pedro Mendes\Pedro-Mendes,DF,Montpellier,fr Ligue 1,29,22,1626,0.11,0.00,0.11,0.05,0.01
Thiago Mendes\Thiago-Mendes,MF,Lyon,fr Ligue 1,28,32,2243,0.00,0.04,0.04,0.06,0.06
Brais Méndez\Brais-Mendez,MFFW,Celta Vigo,es La Liga,23,34,2671,0.30,0.00,0.30,0.25,0.07
Édgar Méndez\Edgar-Mendez,MFFW,Alavés,es La Liga,30,33,2090,0.22,0.04,0.26,0.23,0.06
Eñaut Mendía\Enaut-Mendia,FW,Eibar,es La Liga,21,1,61,0.00,0.00,0.00,0.00,0.00
Batista Mendy\Batista-Mendy,MF,Nantes,fr Ligue 1,20,2,76,0.00,0.00,0.00,0.00,0.00
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,eng Premier League,26,13,953,0.19,0.09,0.28,0.04,0.04
Edouard Mendy\Edouard-Mendy,GK,Rennes,fr Ligue 1,28,1,90,0.00,0.00,0.00,0.00,0.10
Edouard Mendy\Edouard-Mendy,GK,Chelsea,eng Premier League,28,31,2745,0.00,0.00,0.00,0.00,0.00
Ferland Mendy\Ferland-Mendy,DF,Real Madrid,es La Liga,25,26,2208,0.04,0.00,0.04,0.02,0.07
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,eng Premier League,28,23,1459,0.00,0.06,0.06,0.01,0.02
Hamza Mendyl\Hamza-Mendyl,FWDF,Schalke 04,de Bundesliga,22,3,95,0.00,0.00,0.00,0.09,0.00
Levent Mercan\Levent-Mercan,FW,Schalke 04,de Bundesliga,19,1,5,0.00,0.00,0.00,0.00,0.00
Jorge Meré\Jorge-Mere,DF,Köln,de Bundesliga,23,16,1300,0.00,0.00,0.00,0.00,0.01
Alex Meret\Alex-Meret,GK,Napoli,it Serie A,23,22,1980,0.00,0.00,0.00,0.00,0.00
Mikel Merino\Mikel-Merino,MF,Real Sociedad,es La Liga,24,26,2154,0.08,0.17,0.25,0.15,0.09
Martín Merquelanz\Martin-Merquelanz,FWMF,Real Sociedad,es La Liga,25,13,549,0.00,0.16,0.16,0.18,0.30
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,DF,Hellas Verona,it Serie A,23,6,418,0.00,0.00,0.00,0.02,0.00
Dries Mertens\Dries-Mertens,FWMF,Napoli,it Serie A,33,29,1459,0.56,0.49,1.05,0.33,0.23
Roque Mesa\Roque-Mesa,MF,Valladolid,es La Liga,31,25,1761,0.05,0.00,0.05,0.09,0.06
Illan Meslier\Illan-Meslier,GK,Leeds United,eng Premier League,20,35,3150,0.00,0.00,0.00,0.00,0.00
Lionel Messi\Lionel-Messi,FWMF,Barcelona,es La Liga,33,35,3023,0.89,0.27,1.16,0.70,0.32
Junior Messias\Junior-Messias,MFFW,Crotone,it Serie A,29,36,3215,0.25,0.11,0.36,0.21,0.08
Thomas Meunier\Thomas-Meunier,DF,Dortmund,de Bundesliga,28,21,1472,0.06,0.06,0.12,0.05,0.10
Mexer\Mexer,DF,Bordeaux,fr Ligue 1,31,9,712,0.00,0.00,0.00,0.00,0.01
Max Meyer\Max-Meyer,MF,Köln,de Bundesliga,24,10,351,0.00,0.00,0.00,0.26,0.03
Omenuke Mfulu\Omenuke-Mfulu,MF,Elche,es La Liga,26,20,789,0.00,0.00,0.00,0.01,0.00
Míchel\Michel,MF,Valladolid,es La Liga,32,22,946,0.19,0.00,0.19,0.06,0.08
Jonas Michel Dirkner\Jonas-Michel-Dirkner,MF,Hertha BSC,de Bundesliga,18,1,16,0.00,0.00,0.00,0.00,0.00
Jonas Michelbrink\Jonas-Michelbrink,MF,Hertha BSC,de Bundesliga,19,2,39,0.00,0.00,0.00,0.00,0.00
Clément Michelin\Clement-Michelin,DF,Lens,fr Ligue 1,23,26,1154,0.00,0.31,0.31,0.02,0.25
Edouard Michut\Edouard-Michut,MF,Paris S-G,fr Ligue 1,17,1,2,0,0,0.00,0.0,0.0
Petar Mićin\Petar-Micin,MF,Udinese,it Serie A,21,1,15,0.00,0.00,0.00,0.00,0.00
Florian Miguel\Florian-Miguel,DF,Nîmes,fr Ligue 1,23,21,1538,0.00,0.00,0.00,0.08,0.01
Valentin Mihaila\Valentin-Mihaila,FWMF,Parma,it Serie A,20,16,698,0.38,0.00,0.39,0.33,0.09
Nikola Milenković\Nikola-Milenkovic,DF,Fiorentina,it Serie A,22,34,3034,0.09,0.03,0.12,0.08,0.01
Arkadiusz Milik\Arkadiusz-Milik,FW,Marseille,fr Ligue 1,26,15,1220,0.66,0.07,0.74,0.63,0.09
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MF,Lazio,it Serie A,25,32,2746,0.26,0.30,0.56,0.19,0.21
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,GK,Torino,it Serie A,23,5,450,0.00,0.00,0.00,0.00,0.00
Éder Militão\Eder-Militao,DF,Real Madrid,es La Liga,22,14,1133,0.08,0.00,0.08,0.09,0.00
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,eng Premier League,29,31,2359,0.04,0.04,0.08,0.09,0.05
Luis Milla\Luis-Milla,MF,Granada,es La Liga,25,16,1253,0.07,0.07,0.14,0.04,0.15
Pere Milla\Pere-Milla,FWMF,Elche,es La Liga,27,32,1981,0.18,0.14,0.32,0.25,0.08
Alejandro Millán\Alejandro-Millan,FW,Villarreal,es La Liga,20,1,2,0,0,0.00,0.0,0.0
Vincenzo Millico\Vincenzo-Millico,FWMF,Torino,it Serie A,19,3,21,0.00,0.00,0.00,0.00,0.00
Enzo Millot\Enzo-Millot,MF,Monaco,fr Ligue 1,18,2,41,0.00,0.00,0.00,0.20,0.00
James Milner\James-Milner,MFDF,Liverpool,eng Premier League,34,26,1070,0.00,0.08,0.08,0.03,0.10
Santi Mina\Santi-Mina,FW,Celta Vigo,es La Liga,24,34,2412,0.45,0.11,0.56,0.33,0.06
Yerry Mina\Yerry-Mina,DF,Everton,eng Premier League,25,24,1937,0.09,0.00,0.09,0.06,0.00
Takumi Minamino\Takumi-Minamino,MFFW,Southampton,eng Premier League,25,10,711,0.25,0.00,0.25,0.15,0.06
Takumi Minamino\Takumi-Minamino,MFFW,Liverpool,eng Premier League,25,9,293,0.30,0.00,0.31,0.21,0.00
Tyrone Mings\Tyrone-Mings,DF,Aston Villa,eng Premier League,27,36,3194,0.06,0.06,0.11,0.05,0.02
Óscar Mingueza\Oscar-Mingueza,DF,Barcelona,es La Liga,21,27,1901,0.09,0.09,0.19,0.05,0.05
