,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Rade Krunić\Rade-Krunic,MFFW,Milan,it Serie A,26,8.0,2.00,20.8,0.25,0.50,1.38,0.00
Max Kruse\Max-Kruse,FWMF,Union Berlin,de Bundesliga,32,18.1,0.50,10.6,0.00,0.28,0.39,0.00
Lukas Kübler\Lukas-Kubler,DF,Freiburg,de Bundesliga,27,9.8,2.04,15.2,0.31,1.73,3.47,0.00
Takefusa Kubo\Takefusa-Kubo,MFFW,Villarreal,es La Liga,19,3.3,1.52,14.8,0.00,0.61,0.30,0.00
Takefusa Kubo\Takefusa-Kubo,MFFW,Getafe,es La Liga,19,8.9,0.90,21.7,0.00,1.35,0.79,0.00
Juraj Kucka\Juraj-Kucka,MFFW,Parma,it Serie A,33,25.9,2.39,19.2,0.15,1.04,1.08,0.00
Kuki\Kuki,MF,Valladolid,es La Liga,22,0.3,3.33,33.3,0.00,0.00,0.00,0.00
Dejan Kulusevski\Dejan-Kulusevski,MFFW,Juventus,it Serie A,20,21.4,1.54,20.6,0.00,0.56,0.05,0.00
Marash Kumbulla\Marash-Kumbulla,DF,Roma,it Serie A,20,15.1,0.86,13.0,0.33,0.99,3.51,0.00
Pierre Kunde\Pierre-Kunde,MF,Mainz 05,de Bundesliga,25,5.7,2.11,13.5,0.18,1.23,2.11,0.00
Fabian Kunze\Fabian-Kunze,MF,Arminia,de Bundesliga,22,14.1,3.12,21.8,0.21,1.06,2.20,0.00
Jasmin Kurtić\Jasmin-Kurtic,MF,Parma,it Serie A,31,30.4,1.94,17.1,0.07,1.09,1.97,0.00
Layvin Kurzawa\Layvin-Kurzawa,DF,Paris S-G,fr Ligue 1,27,14.2,2.25,11.8,0.35,1.90,2.18,0.14
Dereck Kutesa\Dereck-Kutesa,MFFW,Reims,fr Ligue 1,22,7.6,1.97,17.0,0.13,0.79,0.26,0.00
Ahmed Kutucu\Ahmed-Kutucu,FWMF,Schalke 04,de Bundesliga,20,1.2,0.83,24.2,0.00,0.00,0.00,0.00
Enock Kwateng\Enock-Kwateng,DF,Bordeaux,fr Ligue 1,23,11.5,1.91,9.74,0.35,2.26,3.22,0.00
Antonino La Gumina\Antonino-La-Gumina,FW,Sampdoria,it Serie A,24,3.8,0.79,19.7,0.26,1.05,1.58,0.00
Gaëtan Laborde\Gaetan-Laborde,FWMF,Montpellier,fr Ligue 1,26,36.2,1.46,14.3,0.08,0.44,0.77,0.00
Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,eng Premier League,29,21.4,1.17,15.4,0.09,0.65,0.61,0.00
Tom Lacoux\Tom-Lacoux,MF,Bordeaux,fr Ligue 1,18,5.8,3.97,29.0,0.34,2.07,1.55,0.00
Maxence Lacroix\Maxence-Lacroix,DF,Wolfsburg,de Bundesliga,20,28.8,2.19,11.6,0.83,2.64,6.04,0.00
Alban Lafont\Alban-Lafont,GK,Nantes,fr Ligue 1,21,38.0,0.00,0.18,0.00,0.00,0.08,0.03
Víctor Laguardia\Victor-Laguardia,DF,Alavés,es La Liga,30,29.2,0.75,6.44,0.55,0.89,6.27,0.03
Konrad Laimer\Konrad-Laimer,DFFW,RB Leipzig,de Bundesliga,23,0.9,2.22,34.4,0.00,1.11,2.22,0.00
Stefan Lainer\Stefan-Lainer,DF,M'Gladbach,de Bundesliga,27,30.8,1.95,14.3,0.29,1.30,2.86,0.06
Diego Lainez\Diego-Lainez,FW,Betis,es La Liga,20,9.6,1.35,14.6,0.00,1.67,0.63,0.00
Kenny Lala\Kenny-Lala,DF,Strasbourg,fr Ligue 1,28,20.4,1.18,10.3,0.39,0.64,1.91,0.10
Adam Lallana\Adam-Lallana,MFFW,Brighton,eng Premier League,32,17.7,1.81,19.2,0.17,0.90,0.79,0.00
Érik Lamela\Erik-Lamela,FWMF,Tottenham,eng Premier League,28,8.0,2.25,22.9,0.13,0.50,0.13,0.00
Sam Lammers\Sam-Lammers,FWMF,Atalanta,it Serie A,23,3.2,0.94,13.8,0.31,0.00,0.94,0.00
Tariq Lamptey\Tariq-Lamptey,DF,Brighton,eng Premier League,19,9.8,1.73,12.7,0.10,1.33,1.73,0.00
Loïck Landre\Loick-Landre,DF,Nîmes,fr Ligue 1,28,18.1,0.94,6.52,1.10,1.33,4.64,0.00
Michael Langer\Michael-Langer,GK,Schalke 04,de Bundesliga,35,2.7,0.00,0.00,0.00,0.00,0.00,0.00
Manuel Lanzini\Manuel-Lanzini,MFFW,West Ham,eng Premier League,27,6.3,0.95,17.3,0.00,0.95,0.79,0.00
Gianluca Lapadula\Gianluca-Lapadula,FW,Benevento,it Serie A,30,28.5,0.98,12.6,0.21,0.25,0.42,0.00
Aymeric Laporte\Aymeric-Laporte,DF,Manchester City,eng Premier League,26,14.9,0.87,5.44,0.54,0.54,3.56,0.07
Julien Laporte\Julien-Laporte,DF,Lorient,fr Ligue 1,26,29.5,2.34,10.7,0.88,1.63,7.53,0.07
Danilo Larangeira\Danilo-Larangeira,DF,Bologna,it Serie A,36,34.8,1.26,9.45,1.03,1.21,5.14,0.11
Gautier Larsonneur\Gautier-Larsonneur,GK,Brest,fr Ligue 1,23,35.0,0.00,0.14,0.00,0.03,0.14,0.06
Kevin Lasagna\Kevin-Lasagna,FW,Udinese,it Serie A,27,12.3,0.49,14.9,0.08,0.57,0.57,0.00
Kevin Lasagna\Kevin-Lasagna,FW,Hellas Verona,it Serie A,27,14.1,0.43,13.7,0.07,0.28,0.71,0.00
Jamaal Lascelles\Jamaal-Lascelles,DF,Newcastle Utd,eng Premier League,26,18.1,1.05,8.18,0.99,0.83,5.97,0.06
Paul Lasne\Paul-Lasne,MF,Brest,fr Ligue 1,31,18.7,2.94,22.8,0.37,1.82,1.34,0.00
Toni Lato\Toni-Lato,DF,Valencia,es La Liga,22,8.1,1.23,16.5,0.12,1.36,2.10,0.00
Danny Latza\Danny-Latza,MF,Mainz 05,de Bundesliga,30,20.0,2.35,23.8,0.35,1.35,1.40,0.00
Armand Lauriente\Armand-Lauriente,FWMF,Lorient,fr Ligue 1,21,18.0,1.39,14.8,0.00,0.78,0.28,0.00
Vincent Laurini\Vincent-Laurini,DF,Parma,it Serie A,31,9.7,1.86,13.1,0.41,1.55,2.06,0.00
Lauti\Lauti,MFFW,Celta Vigo,es La Liga,19,0.2,0.00,15.0,0.00,0.00,5.00,0.00
Wesley Lautoa\Wesley-Lautoa,MFDF,Dijon,fr Ligue 1,32,17.9,2.23,17.3,0.45,1.62,2.91,0.00
Valentino Lazaro\Valentino-Lazaro,DFFW,M'Gladbach,de Bundesliga,24,13.8,1.30,16.2,0.07,1.30,1.16,0.00
Darko Lazović\Darko-Lazovic,DF,Hellas Verona,it Serie A,29,27.8,0.97,7.52,0.32,0.72,1.29,0.00
Manuel Lazzari\Manuel-Lazzari,DF,Lazio,it Serie A,26,29.0,0.97,9.28,0.14,0.83,1.10,0.00
Jérémy Le Douaron\Jeremy-Le-Douaron,FWMF,Brest,fr Ligue 1,22,9.1,1.65,19.2,0.11,0.66,1.43,0.00
Enzo Le Fée\Enzo-Le-Fee,MFFW,Lorient,fr Ligue 1,20,20.2,2.57,24.3,0.35,1.34,0.59,0.00
Vincent Le Goff\Vincent-Le-Goff,DF,Lorient,fr Ligue 1,30,25.6,1.95,13.2,0.16,1.52,2.15,0.00
Maxime Le Marchand\Maxime-Le-Marchand,DF,Fulham,eng Premier League,30,1.4,1.43,6.43,0.00,0.00,5.00,0.00
Robin Le Normand\Robin-Le-Normand,DF,Real Sociedad,es La Liga,23,30.5,1.31,8.20,0.75,1.11,5.84,0.07
Damien Le Tallec\Damien-Le-Tallec,MFDF,Montpellier,fr Ligue 1,30,13.6,1.25,13.7,0.59,1.69,2.72,0.15
James Lea Siliki\James-Lea-Siliki,MF,Rennes,fr Ligue 1,24,2.8,1.43,15.7,0.36,0.00,0.71,0.36
Rafael Leão\Rafael-Leao,FW,Milan,it Serie A,21,21.4,0.61,10.8,0.00,0.23,0.70,0.00
Jean-Louis Leca\Jean-Louis-Leca,GK,Lens,fr Ligue 1,34,36.8,0.00,0.24,0.00,0.00,0.00,0.00
Mathew Leckie\Mathew-Leckie,FWDF,Hertha BSC,de Bundesliga,29,5.6,2.32,25.9,0.00,1.96,2.14,0.18
Benjamin Lecomte\Benjamin-Lecomte,GK,Monaco,fr Ligue 1,29,28.0,0.00,0.21,0.00,0.00,0.25,0.00
Jeremías Ledesma\Jeremias-Ledesma,GK,Cádiz,es La Liga,27,32.0,0.00,0.06,0.00,0.00,0.06,0.19
Pierre Lees-Melou\Pierre-Lees-Melou,MF,Nice,fr Ligue 1,27,22.9,3.71,22.1,0.61,1.40,1.62,0.00
Lucas Leiva\Lucas-Leiva,MF,Lazio,it Serie A,33,23.7,2.95,21.2,0.04,1.90,1.94,0.00
Florian Lejeune\Florian-Lejeune,DF,Alavés,es La Liga,29,33.5,1.43,7.85,0.72,1.73,6.81,0.00
Iñigo Lekue\Inigo-Lekue,DF,Athletic Club,es La Liga,27,7.2,1.81,15.3,0.42,0.83,2.92,0.00
Thomas Lemar\Thomas-Lemar,MFFW,Atlético Madrid,es La Liga,24,15.2,2.17,20.5,0.13,0.79,0.46,0.00
Mario Lemina\Mario-Lemina,MF,Fulham,eng Premier League,26,18.9,3.23,16.9,0.32,2.28,1.96,0.00
Fabien Lemoine\Fabien-Lemoine,MF,Lorient,fr Ligue 1,33,21.5,3.40,25.3,0.05,1.40,2.14,0.00
Clément Lenglet\Clement-Lenglet,DF,Barcelona,es La Liga,25,27.5,1.49,12.3,0.47,1.27,3.16,0.00
Bernd Leno\Bernd-Leno,GK,Arsenal,eng Premier League,28,34.8,0.00,0.09,0.00,0.00,0.00,0.00
Christopher Lenz\Christopher-Lenz,DF,Union Berlin,de Bundesliga,25,25.0,3.08,16.5,0.32,1.32,2.12,0.00
Pedro León\Pedro-Leon,MFFW,Eibar,es La Liga,33,10.4,0.96,13.6,0.10,0.48,0.77,0.00
Sergio León\Sergio-Leon,FW,Levante,es La Liga,31,8.3,0.84,16.0,0.00,0.48,0.48,0.00
Lukas Lerager\Lukas-Lerager,MF,Genoa,it Serie A,27,12.9,2.09,17.1,0.23,1.01,1.86,0.16
Mehdi Léris\Mehdi-Leris,DFMF,Sampdoria,it Serie A,22,4.3,3.26,30.2,0.93,2.79,2.33,0.00
Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,eng Premier League,20,0.1,10.0,40.0,0.00,0.00,0.00,0.00
Karlo Letica\Karlo-Letica,GK,Sampdoria,it Serie A,23,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Gaetano Letizia\Gaetano-Letizia,DF,Benevento,it Serie A,30,17.4,2.30,11.4,0.29,1.26,1.95,0.11
Robert Lewandowski\Robert-Lewandowski,FW,Bayern Munich,de Bundesliga,31,27.3,0.66,11.9,0.07,0.26,0.29,0.00
Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,eng Premier League,22,20.4,2.45,16.5,0.34,0.98,1.72,0.05
Aaron Leya Iseka\Aaron-Leya-Iseka,FW,Metz,fr Ligue 1,22,11.2,0.80,10.8,0.27,0.18,0.36,0.00
Yanis Lhery\Yanis-Lhery,MFFW,Saint-Étienne,fr Ligue 1,17,0.3,0.00,0.00,0.00,3.33,0.00,0.00
Dimitri Liénard\Dimitri-Lienard,MF,Strasbourg,fr Ligue 1,32,20.3,2.46,16.9,0.05,1.38,0.64,0.00
Philipp Lienhart\Philipp-Lienhart,DF,Freiburg,de Bundesliga,24,33.3,0.84,6.28,0.69,1.32,4.11,0.03
Matthijs de Ligt\Matthijs-de-Ligt,DF,Juventus,it Serie A,20,24.7,1.34,9.27,0.61,1.13,4.05,0.00
Isaac Lihadji\Isaac-Lihadji,MFDF,Lille,fr Ligue 1,18,2.2,4.09,20.9,0.00,0.00,0.45,0.00
Dimitris Limnios\Dimitris-Limnios,MFFW,Köln,de Bundesliga,22,4.2,1.90,17.4,0.00,0.24,0.24,0.00
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,eng Premier League,26,28.7,0.91,6.69,0.59,1.11,4.60,0.07
Karol Linetty\Karol-Linetty,MF,Torino,it Serie A,25,20.4,2.45,15.9,0.29,0.78,0.49,0.00
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,eng Premier League,27,15.8,0.95,21.2,0.06,0.44,0.06,0.00
Pol Lirola\Pol-Lirola,DFFW,Fiorentina,it Serie A,22,5.5,1.64,8.00,0.55,0.91,2.18,0.00
Pol Lirola\Pol-Lirola,DF,Marseille,fr Ligue 1,22,17.3,1.79,11.6,0.35,1.79,1.97,0.00
Jake Livermore\Jake-Livermore,MF,West Brom,eng Premier League,30,13.8,2.10,17.7,0.51,1.38,2.39,0.00
Diego Llorente\Diego-Llorente,DF,Leeds United,eng Premier League,26,13.4,2.91,18.7,0.97,3.06,5.37,0.07
Diego Llorente\Diego-Llorente,DF,Real Sociedad,es La Liga,26,1.0,1.00,7.00,1.00,0.00,11.0,0.00
Fernando Llorente\Fernando-Llorente,FW,Udinese,it Serie A,35,7.9,0.51,14.8,0.00,0.51,2.03,0.00
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,it Serie A,35,0.6,0.00,10.0,0.00,0.00,0.00,0.00
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,2.23,19.8,0.15,0.95,0.95,0.00
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,0.00,0.05,0.00,0.00,0.05,0.03
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,3.14,27.6,0.10,0.76,0.86,0.00
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,0.59,12.4,0.59,0.59,0.59,0.00
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,2.72,14.4,0.53,1.34,2.19,0.03
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,2.56,15.2,0.00,1.84,2.00,0.00
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,0.00,20.0,0.00,1.43,0.00,0.00
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,1.51,15.9,0.09,1.08,0.71,0.00
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,0.00,0.00,0.00,0.00,0.00,0.67
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,1.97,7.46,0.70,0.56,4.37,0.00
Shane Long\Shane-Long,FW,Southampton,eng Premier League,33,2.3,0.87,14.8,0.00,0.87,0.43,0.00
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,0.95,23.3,0.00,1.43,0.71,0.00
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,2.29,25.4,0.25,1.21,1.34,0.06
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,1.25,17.0,0.07,0.82,0.43,0.00
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,0.00,0.11,0.00,0.00,0.05,0.08
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,1.11,14.9,0.15,0.76,0.45,0.00
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,2.52,11.7,0.34,0.84,2.35,0.08
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,1.13,10.9,0.00,0.19,0.57,0.00
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,2.14,18.2,0.00,2.14,2.50,0.00
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,0.67,18.7,0.00,0.67,2.00,0.00
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,1.35,17.5,0.10,1.11,0.29,0.00
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,0.00,0.20,0.00,0.00,0.00,0.05
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,0.71,15.2,0.00,0.54,0.71,0.00
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,1.96,15.9,0.32,0.70,1.14,0.06
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,0.71,14.6,0.00,1.43,0.36,0.00
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,1.61,11.9,0.25,0.76,2.42,0.04
Adrien Louveau\Adrien-Louveau,DF,Lens,fr Ligue 1,20,0.1,0.00,10.0,0.00,0.00,0.00,0.00
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,1.93,20.3,0.23,1.74,0.83,0.08
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,1.75,12.9,0.65,1.23,5.58,0.13
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,3.77,21.3,0.49,0.49,1.97,0.16
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,5.56,30.0,0.00,1.11,2.22,0.00
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,1.97,8.53,0.41,1.62,3.41,0.06
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,0.65,11.9,0.06,0.18,0.53,0.00
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,1.56,18.2,0.14,0.83,0.32,0.00
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,2.50,17.5,0.00,0.00,2.50,0.00
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,3.16,20.0,0.53,1.58,1.05,0.00
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,2.23,23.4,0.00,1.52,1.07,0.00
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,2.81,14.8,0.34,0.90,3.26,0.06
Jeison Lucumí\Jeison-Lucumi,FWMF,Elche,es La Liga,25,0.5,2.00,14.0,0.00,0.00,2.00,0.00
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,2.41,24.3,0.17,0.69,1.90,0.00
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,1.87,11.5,0.13,1.11,2.37,0.03
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,0.74,16.1,0.00,0.41,0.55,0.00
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,2.59,15.3,0.56,2.70,4.74,0.04
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,5.19,17.0,0.00,1.11,0.37,0.00
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,2.00,10.0,0.00,0.50,5.00,0.00
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,2.63,13.2,0.00,1.58,2.11,0.00
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,0.97,6.13,0.71,0.77,4.32,0.00
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,2.04,20.0,0.58,1.07,1.59,0.00
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,0.34,9.09,0.16,0.09,1.06,0.00
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,1.26,14.1,0.05,0.49,0.49,0.00
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,1.67,21.1,0.21,0.64,0.64,0.00
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,2.38,14.0,0.38,1.00,1.75,0.00
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,1.15,15.5,0.35,0.93,1.50,0.04
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,1.58,10.9,0.38,0.86,4.35,0.05
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,0.00,0.16,0.00,0.00,0.03,0.06
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,1.01,7.29,1.19,2.29,4.68,0.05
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,1.26,10.3,0.52,1.08,3.72,0.00
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,0.2,0.00,25.0,0.00,0.00,0.00,0.00
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,2.02,21.5,0.24,0.89,0.40,0.00
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,1.29,11.3,0.13,1.73,0.89,0.00
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,0.00,20.0,0.00,0.00,20.0,0.00
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,5.00,20.3,0.33,0.33,1.83,0.00
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,1.59,14.8,0.04,0.47,0.26,0.00
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,0.00,0.00,0.00,0.00,0.00,0.00
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,1.38,11.8,0.32,1.47,2.06,0.00
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,2.77,14.7,0.66,1.49,4.46,0.17
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,2.73,15.2,0.61,0.61,0.61,0.00
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,2.93,20.1,0.24,1.10,1.10,0.00
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,2.04,14.9,0.41,1.02,3.88,0.00
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,1.55,13.2,1.07,2.86,7.80,0.18
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,4.78,27.0,0.15,1.94,2.99,0.00
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,0.88,5.63,0.71,1.80,5.19,0.03
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,4.29,20.0,0.00,1.43,0.00,0.00
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,7.50,22.5,0.00,2.50,0.00,0.00
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,0.92,11.6,0.05,0.28,0.14,0.00
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,1.65,16.0,0.26,0.78,1.39,0.00
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,3.33,10.0,0.00,0.00,0.00,0.00
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,2.91,23.4,0.30,1.37,1.61,0.00
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,0.00,0.05,0.00,0.00,0.05,0.05
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,3.15,20.9,0.56,2.41,2.22,0.19
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,1.46,23.9,0.15,1.82,1.90,0.00
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,0.79,17.4,0.00,0.56,1.01,0.00
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,0.78,12.6,0.11,0.44,0.22,0.00
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,0.16,9.02,0.16,0.49,0.49,0.00
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,1.4,0.71,9.29,0.00,0.71,0.71,0.00
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,1.55,18.1,0.17,0.52,0.86,0.00
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,1.85,20.5,0.36,1.65,2.67,0.03
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,1.57,8.58,0.52,1.19,4.85,0.07
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,1.46,20.5,0.00,0.42,0.42,0.00
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,1.74,12.2,0.00,0.87,2.17,0.00
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,2.50,27.5,0.00,5.00,2.50,0.00
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,3.33,53.3,0.00,0.00,0.00,0.00
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,1.11,19.8,0.05,0.14,0.29,0.05
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,0.00,5.00,0.00,0.00,0.00,0.00
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,2.49,14.2,0.31,1.00,3.39,0.03
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,2.42,17.6,0.35,1.96,1.81,0.04
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,1.41,14.6,0.00,0.77,0.64,0.00
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,1.18,19.2,0.00,0.20,1.57,0.00
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,1.75,13.0,0.12,1.40,2.49,0.00
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,2.08,13.9,0.66,2.24,3.38,0.00
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,0.00,0.11,0.00,0.00,0.00,0.05
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,3.26,14.5,0.17,2.27,3.14,0.00
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,1.13,6.13,0.60,1.24,4.44,0.00
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,1.82,16.1,0.68,0.68,1.14,0.00
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,1.54,20.9,0.36,1.12,1.60,0.00
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,3.33,25.8,0.00,0.42,1.25,0.00
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,1.35,15.0,0.06,0.48,0.22,0.00
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,0.00,0.00,0.00,0.00,0.00,0.00
