,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,2.18,19.4,0.29,0.75,2.30,0.00
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,1.25,6.71,0.28,1.81,6.11,0.00
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,0.88,7.73,0.77,0.83,4.81,0.00
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,1.90,15.9,0.10,0.70,0.90,0.10
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,2.63,24.2,0.30,1.74,2.16,0.00
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,1.54,10.0,0.77,0.77,0.77,0.00
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,0.00,8.00,0.00,0.00,2.00,0.00
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,1.50,7.75,0.63,1.50,5.25,0.00
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,2.22,9.44,0.44,1.44,3.89,0.11
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,1.07,18.8,0.00,0.36,0.36,0.00
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,1,0,0,0,0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,0.90,15.3,0.14,0.90,0.29,0.00
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,2.67,15.5,0.86,1.68,5.17,0.09
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,2.21,20.9,0.18,0.77,0.74,0.00
