,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Valentino Lazaro\Valentino-Lazaro,DFFW,M'Gladbach,de Bundesliga,24,13.8,2.32,0.00,0.07
Darko Lazović\Darko-Lazovic,DF,Hellas Verona,it Serie A,29,27.8,2.34,0.07,0.00
Manuel Lazzari\Manuel-Lazzari,DF,Lazio,it Serie A,26,29.0,2.17,0.07,0.03
Jérémy Le Douaron\Jeremy-Le-Douaron,FWMF,Brest,fr Ligue 1,22,9.1,1.76,0.00,0.00
Enzo Le Fée\Enzo-Le-Fee,MFFW,Lorient,fr Ligue 1,20,20.2,2.72,0.15,0.05
Vincent Le Goff\Vincent-Le-Goff,DF,Lorient,fr Ligue 1,30,25.6,1.68,0.08,0.04
Maxime Le Marchand\Maxime-Le-Marchand,DF,Fulham,eng Premier League,30,1.4,1.43,0.00,0.00
Robin Le Normand\Robin-Le-Normand,DF,Real Sociedad,es La Liga,23,30.5,0.39,0.00,0.00
Damien Le Tallec\Damien-Le-Tallec,MFDF,Montpellier,fr Ligue 1,30,13.6,0.66,0.07,0.00
James Lea Siliki\James-Lea-Siliki,MF,Rennes,fr Ligue 1,24,2.8,2.50,0.36,0.00
Rafael Leão\Rafael-Leao,FW,Milan,it Serie A,21,21.4,2.52,0.42,0.05
Jean-Louis Leca\Jean-Louis-Leca,GK,Lens,fr Ligue 1,34,36.8,0.14,0.00,0.00
Mathew Leckie\Mathew-Leckie,FWDF,Hertha BSC,de Bundesliga,29,5.6,1.61,0.00,0.00
Benjamin Lecomte\Benjamin-Lecomte,GK,Monaco,fr Ligue 1,29,28.0,0.00,0.00,0.00
Jeremías Ledesma\Jeremias-Ledesma,GK,Cádiz,es La Liga,27,32.0,0.19,0.00,0.00
Pierre Lees-Melou\Pierre-Lees-Melou,MF,Nice,fr Ligue 1,27,22.9,2.23,0.17,0.17
Lucas Leiva\Lucas-Leiva,MF,Lazio,it Serie A,33,23.7,1.18,0.00,0.04
Florian Lejeune\Florian-Lejeune,DF,Alavés,es La Liga,29,33.5,0.51,0.00,0.03
Iñigo Lekue\Inigo-Lekue,DF,Athletic Club,es La Liga,27,7.2,1.94,0.28,0.00
Thomas Lemar\Thomas-Lemar,MFFW,Atlético Madrid,es La Liga,24,15.2,2.37,0.07,0.00
Mario Lemina\Mario-Lemina,MF,Fulham,eng Premier League,26,18.9,1.32,0.26,0.05
Fabien Lemoine\Fabien-Lemoine,MF,Lorient,fr Ligue 1,33,21.5,1.21,0.00,0.05
Clément Lenglet\Clement-Lenglet,DF,Barcelona,es La Liga,25,27.5,0.95,0.00,0.04
Bernd Leno\Bernd-Leno,GK,Arsenal,eng Premier League,28,34.8,0.03,0.00,0.00
Christopher Lenz\Christopher-Lenz,DF,Union Berlin,de Bundesliga,25,25.0,1.88,0.08,0.12
Pedro León\Pedro-Leon,MFFW,Eibar,es La Liga,33,10.4,2.50,0.29,0.00
Sergio León\Sergio-Leon,FW,Levante,es La Liga,31,8.3,2.05,0.60,0.12
Lukas Lerager\Lukas-Lerager,MF,Genoa,it Serie A,27,12.9,1.40,0.00,0.00
Mehdi Léris\Mehdi-Leris,DFMF,Sampdoria,it Serie A,22,4.3,3.02,0.00,0.23
Khanya Leshabela\Khanya-Leshabela,MF,Leicester City,eng Premier League,20,0.1,10.0,0.00,0.00
Karlo Letica\Karlo-Letica,GK,Sampdoria,it Serie A,23,1.0,0.00,0.00,0.00
Gaetano Letizia\Gaetano-Letizia,DF,Benevento,it Serie A,30,17.4,2.13,0.06,0.06
Robert Lewandowski\Robert-Lewandowski,FW,Bayern Munich,de Bundesliga,31,27.3,2.71,0.18,0.04
Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,eng Premier League,22,20.4,1.42,0.05,0.00
Aaron Leya Iseka\Aaron-Leya-Iseka,FW,Metz,fr Ligue 1,22,11.2,1.88,0.27,0.00
Yanis Lhery\Yanis-Lhery,MFFW,Saint-Étienne,fr Ligue 1,17,0.3,6.67,3.33,3.33
Dimitri Liénard\Dimitri-Lienard,MF,Strasbourg,fr Ligue 1,32,20.3,3.60,0.05,0.20
Philipp Lienhart\Philipp-Lienhart,DF,Freiburg,de Bundesliga,24,33.3,0.39,0.00,0.00
Matthijs de Ligt\Matthijs-de-Ligt,DF,Juventus,it Serie A,20,24.7,1.01,0.04,0.00
Isaac Lihadji\Isaac-Lihadji,MFDF,Lille,fr Ligue 1,18,2.2,5.00,0.00,0.45
Dimitris Limnios\Dimitris-Limnios,MFFW,Köln,de Bundesliga,22,4.2,1.19,0.00,0.00
Victor Lindelöf\Victor-Lindelof,DF,Manchester Utd,eng Premier League,26,28.7,0.31,0.00,0.00
Karol Linetty\Karol-Linetty,MF,Torino,it Serie A,25,20.4,1.76,0.20,0.05
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,eng Premier League,27,15.8,3.86,0.13,0.00
Pol Lirola\Pol-Lirola,DFFW,Fiorentina,it Serie A,22,5.5,1.82,0.18,0.00
Pol Lirola\Pol-Lirola,DF,Marseille,fr Ligue 1,22,17.3,1.91,0.17,0.00
Jake Livermore\Jake-Livermore,MF,West Brom,eng Premier League,30,13.8,0.58,0.00,0.00
Diego Llorente\Diego-Llorente,DF,Leeds United,eng Premier League,26,13.4,0.45,0.00,0.00
Diego Llorente\Diego-Llorente,DF,Real Sociedad,es La Liga,26,1.0,0.00,0.00,0.00
Fernando Llorente\Fernando-Llorente,FW,Udinese,it Serie A,35,7.9,1.90,0.00,0.13
Fernando Llorente\Fernando-Llorente,FWMF,Napoli,it Serie A,35,0.6,3.33,0.00,0.00
Marcos Llorente\Marcos-Llorente,MFDF,Atlético Madrid,es La Liga,25,32.8,2.29,0.12,0.09
Hugo Lloris\Hugo-Lloris,GK,Tottenham,eng Premier League,33,38.0,0.03,0.00,0.00
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,eng Premier League,24,10.5,2.86,0.00,0.10
Stanislav Lobotka\Stanislav-Lobotka,MF,Napoli,it Serie A,25,1.7,0.59,0.00,0.00
Manuel Locatelli\Manuel-Locatelli,MF,Sassuolo,it Serie A,22,32.0,2.69,0.03,0.06
Renan Lodi\Renan-Lodi,DF,Atlético Madrid,es La Liga,22,12.5,2.24,0.16,0.08
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,FW,Chelsea,eng Premier League,24,0.7,1.43,0.00,0.00
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,eng Premier League,24,21.2,2.50,0.33,0.14
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,de Bundesliga,27,1.5,0.00,0.00,0.00
Kevin Long\Kevin-Long,DF,Burnley,eng Premier League,29,7.1,0.00,0.00,0.00
Shane Long\Shane-Long,FW,Southampton,eng Premier League,33,2.3,0.00,0.00,0.00
Matthew Longstaff\Matthew-Longstaff,MF,Newcastle Utd,eng Premier League,20,4.2,0.48,0.00,0.00
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,eng Premier League,22,15.7,1.34,0.06,0.06
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,eng Premier League,22,30.5,3.77,0.16,0.03
Anthony Lopes\Anthony-Lopes,GK,Lyon,fr Ligue 1,29,38.0,0.03,0.00,0.00
Rony Lopes\Rony-Lopes,FWMF,Nice,fr Ligue 1,24,19.8,3.13,0.30,0.10
Pedro López Muñoz\Pedro-Lopez-Munoz,DF,Huesca,es La Liga,36,11.9,1.34,0.00,0.00
Adrián López\Adrian-Lopez,FWMF,Osasuna,es La Liga,32,5.3,2.83,0.38,0.00
Javi López\Javi-Lopez,DFMF,Alavés,es La Liga,18,2.8,1.07,0.00,0.00
Maxime Lopez\Maxime-Lopez,FWMF,Marseille,fr Ligue 1,22,1.5,2.67,0.00,0.00
Maxime Lopez\Maxime-Lopez,MF,Sassuolo,it Serie A,22,20.7,2.71,0.19,0.05
Pau López\Pau-Lopez,GK,Roma,it Serie A,25,20.2,0.00,0.00,0.00
Roberto López\Roberto-Lopez,MFFW,Real Sociedad,es La Liga,20,5.6,3.39,0.00,0.00
Unai López\Unai-Lopez,MF,Athletic Club,es La Liga,24,15.8,2.66,0.06,0.06
Dion Lopy\Dion-Lopy,MF,Reims,fr Ligue 1,18,2.8,2.14,0.36,0.00
Jordan Lotomba\Jordan-Lotomba,DF,Nice,fr Ligue 1,21,23.6,1.23,0.04,0.04
Adrien Louveau\Adrien-Louveau,DF,Lens,fr Ligue 1,20,0.1,0.00,0.00,0.00
Imran Louza\Imran-Louza,MF,Nantes,fr Ligue 1,21,26.4,1.89,0.00,0.11
Matteo Lovato\Matteo-Lovato,DF,Hellas Verona,it Serie A,20,15.4,0.58,0.00,0.00
Max Lowe\Max-Lowe,DF,Sheffield Utd,eng Premier League,23,6.1,1.15,0.16,0.00
Eduard Löwen\Eduard-Lowen,MFDF,Hertha BSC,de Bundesliga,23,0.9,1.11,0.00,0.00
Matthew Lowton\Matthew-Lowton,DF,Burnley,eng Premier League,31,34.0,1.44,0.03,0.06
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,es La Liga,27,16.9,1.89,0.30,0.06
Hirving Lozano\Hirving-Lozano,FW,Napoli,it Serie A,25,21.8,3.85,0.32,0.28
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,de Bundesliga,21,0.4,0.00,0.00,0.00
Jean Lucas\Jean-Lucas,MF,Lyon,fr Ligue 1,22,1.9,3.16,1.58,0.00
Jean Lucas\Jean-Lucas,MF,Brest,fr Ligue 1,22,11.2,2.14,0.09,0.00
Anderson Lucoqui\Anderson-Lucoqui,DF,Arminia,de Bundesliga,23,17.8,0.90,0.06,0.00
Jeison Lucumí\Jeison-Lucumi,FWMF,Elche,es La Liga,25,0.5,0.00,0.00,0.00
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,de Bundesliga,20,5.8,1.55,0.00,0.00
José Luis Gayà\Jose-Luis-Gaya,DF,Valencia,es La Liga,25,31.6,1.99,0.06,0.00
José Luis Morales\Jose-Luis-Morales,FWMF,Levante,es La Liga,33,27.1,2.29,0.18,0.04
José Luis Palomino\Jose-Luis-Palomino,DF,Atalanta,it Serie A,30,27.0,0.56,0.00,0.04
Florentino Luís\Florentino-Luis,MF,Monaco,fr Ligue 1,20,2.7,1.48,0.00,0.00
Luisinho\Luisinho,DF,Huesca,es La Liga,35,2.0,1.00,0.00,0.00
Luismi\Luismi,MFDF,Elche,es La Liga,28,1.9,0.53,0.00,0.00
David Luiz\David-Luiz,DF,Arsenal,eng Premier League,33,15.5,0.65,0.06,0.06
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,eng Premier League,22,30.9,1.49,0.00,0.00
Romelu Lukaku\Romelu-Lukaku,FW,Inter,it Serie A,27,32.0,3.56,0.38,0.00
Dodi Lukebakio\Dodi-Lukebakio,FWMF,Hertha BSC,de Bundesliga,22,20.6,2.09,0.19,0.05
Saša Lukić\Sasa-Lukic,MF,Torino,it Serie A,23,23.4,2.35,0.13,0.13
Senad Lulić\Senad-Lulic,DFMF,Lazio,it Serie A,34,8.0,1.50,0.25,0.00
John Lundstram\John-Lundstram,MF,Sheffield Utd,eng Premier League,26,22.6,1.64,0.04,0.04
Sebastiano Luperto\Sebastiano-Luperto,DF,Crotone,it Serie A,23,20.9,0.57,0.05,0.05
Andreas Luthe\Andreas-Luthe,GK,Union Berlin,de Bundesliga,33,30.8,0.06,0.00,0.00
Lyanco\Lyanco,DF,Torino,it Serie A,23,21.8,0.60,0.00,0.00
Charalambos Lykogiannis\Charalambos-Lykogiannis,DF,Cagliari,it Serie A,26,26.9,1.04,0.00,0.04
Yann M'Vila\Yann-MVila,MF,Saint-Étienne,fr Ligue 1,30,0.2,0.00,0.00,0.00
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,eng Premier League,21,12.4,2.42,0.00,0.00
Darwin Machís\Darwin-Machis,FWMF,Granada,es La Liga,27,22.5,2.53,0.36,0.09
Tim Maciejewski\Tim-Maciejewski,MF,Union Berlin,de Bundesliga,19,0.1,0.00,0.00,0.00
Luca Mack\Luca-Mack,MF,Stuttgart,de Bundesliga,20,0.1,0.00,0.00,0.00
Yvann Macon\Yvann-Macon,DF,Saint-Étienne,fr Ligue 1,21,6.0,0.83,0.00,0.17
James Maddison\James-Maddison,MFFW,Leicester City,eng Premier League,23,23.3,4.51,0.30,0.17
Mikail Maden\Mikail-Maden,FW,Schalke 04,de Bundesliga,18,0.1,0.00,0.00,0.00
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,es La Liga,23,21.8,2.06,0.32,0.09
Lisandro Magallán\Lisandro-Magallan,DF,Crotone,it Serie A,26,24.2,0.70,0.00,0.00
Christian Maggio\Christian-Maggio,DF,Benevento,it Serie A,38,3.3,0.30,0.00,0.00
Giulio Maggiore\Giulio-Maggiore,MF,Spezia,it Serie A,22,24.6,1.46,0.08,0.16
Francesco Magnanelli\Francesco-Magnanelli,MF,Sassuolo,it Serie A,35,4.9,0.82,0.00,0.00
Giangiacomo Magnani\Giangiacomo-Magnani,DF,Hellas Verona,it Serie A,24,16.8,0.48,0.06,0.06
Hugo Magnetti\Hugo-Magnetti,MF,Brest,fr Ligue 1,22,6.7,1.64,0.00,0.15
Harry Maguire\Harry-Maguire,DF,Manchester Utd,eng Premier League,27,33.9,0.91,0.03,0.06
Abdallahi Mahmoud\Abdallahi-Mahmoud,MF,Alavés,es La Liga,20,0.7,1.43,0.00,0.00
Hicham Mahou\Hicham-Mahou,DF,Nice,fr Ligue 1,21,0.4,2.50,0.00,0.00
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,eng Premier League,29,21.7,3.87,0.23,0.14
Arne Maier\Arne-Maier,MF,Arminia,de Bundesliga,21,11.5,2.00,0.00,0.09
Arne Maier\Arne-Maier,MF,Hertha BSC,de Bundesliga,21,0.3,6.67,0.00,0.00
Habib Maïga\Habib-Maiga,MF,Metz,fr Ligue 1,24,29.9,2.31,0.13,0.10
Mike Maignan\Mike-Maignan,GK,Lille,fr Ligue 1,24,38.0,0.13,0.00,0.00
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,DF,Arsenal,eng Premier League,22,5.4,2.04,0.37,0.00
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,eng Premier League,22,13.7,1.31,0.00,0.00
Josh Maja\Josh-Maja,FW,Bordeaux,fr Ligue 1,21,8.9,1.69,0.11,0.00
Josh Maja\Josh-Maja,FWMF,Fulham,eng Premier League,21,9.0,2.00,0.44,0.00
Radosław Majecki\Radoslaw-Majecki,GK,Monaco,fr Ligue 1,20,1.0,0.00,0.00,0.00
Abdul Majeed Waris\Abdul-Majeed-Waris,FWMF,Strasbourg,fr Ligue 1,28,6.1,0.98,0.00,0.00
Marco Majouga\Marco-Majouga,MFFW,Nîmes,fr Ligue 1,19,1.4,3.57,0.00,0.00
Jean-Victor Makengo\Jean-Victor-Makengo,MF,Udinese,it Serie A,22,5.8,0.86,0.00,0.00
Nemanja Maksimović\Nemanja-Maksimovic,MF,Getafe,es La Liga,25,30.3,1.32,0.03,0.07
Nikola Maksimović\Nikola-Maksimovic,DF,Napoli,it Serie A,28,13.4,0.60,0.00,0.00
Filip Malbašić\Filip-Malbasic,FWMF,Cádiz,es La Liga,27,9.6,0.83,0.10,0.10
Kévin Malcuit\Kevin-Malcuit,DF,Fiorentina,it Serie A,29,2.3,1.30,0.87,0.00
Kévin Malcuit\Kevin-Malcuit,MFFW,Napoli,it Serie A,29,0.4,0.00,0.00,0.00
Daniel Maldini\Daniel-Maldini,FWMF,Milan,it Serie A,18,0.3,10.0,3.33,0.00
Ruslan Malinovskyi\Ruslan-Malinovskyi,FWMF,Atalanta,it Serie A,27,20.8,6.06,0.24,0.05
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,de Bundesliga,28,0.6,3.33,0.00,0.00
Hugo Mallo\Hugo-Mallo,DF,Celta Vigo,es La Liga,29,28.9,1.28,0.03,0.00
Mickael Malsa\Mickael-Malsa,MF,Levante,es La Liga,24,26.0,1.12,0.00,0.12
Dennis Man\Dennis-Man,FWMF,Parma,it Serie A,21,7.8,2.05,0.38,0.00
Hianga Mananga Mbock\Hianga-Mananga-Mbock,MF,Brest,fr Ligue 1,20,5.1,0.78,0.20,0.00
Vincent Manceau\Vincent-Manceau,DF,Angers,fr Ligue 1,31,25.7,1.09,0.00,0.00
Gianluca Mancini\Gianluca-Mancini,DF,Roma,it Serie A,24,31.7,0.91,0.00,0.06
Steve Mandanda\Steve-Mandanda,GK,Marseille,fr Ligue 1,35,37.0,0.05,0.00,0.00
Reinildo Mandava\Reinildo-Mandava,DF,Lille,fr Ligue 1,26,24.2,1.40,0.04,0.08
Aïssa Mandi\Aissa-Mandi,DF,Betis,es La Liga,28,26.6,0.30,0.00,0.00
Rolando Mandragora\Rolando-Mandragora,MF,Udinese,it Serie A,23,4.4,1.59,0.00,0.00
Rolando Mandragora\Rolando-Mandragora,MF,Torino,it Serie A,23,16.9,2.25,0.06,0.12
Mario Mandžukić\Mario-Mandzukic,FW,Milan,it Serie A,34,2.4,1.67,0.00,0.00
Sadio Mané\Sadio-Mane,FW,Liverpool,eng Premier League,28,31.2,3.97,0.32,0.06
Niccolò Manfredini\Niccolo-Manfredini,GK,Benevento,it Serie A,32,1.0,0.00,0.00,0.00
Eliaquim Mangala\Eliaquim-Mangala,DF,Valencia,es La Liga,29,3.6,0.00,0.00,0.00
Orel Mangala\Orel-Mangala,MF,Stuttgart,de Bundesliga,22,23.4,2.26,0.13,0.09
Thomas Mangani\Thomas-Mangani,MF,Angers,fr Ligue 1,33,29.9,2.21,0.03,0.07
Vito Mannone\Vito-Mannone,GK,Monaco,fr Ligue 1,32,9.0,0.00,0.00,0.00
Kostas Manolas\Kostas-Manolas,DF,Napoli,it Serie A,29,25.5,0.71,0.04,0.04
Javier Manquillo\Javier-Manquillo,DF,Newcastle Utd,eng Premier League,26,9.2,0.87,0.00,0.00
Juan Manuel Ramos\Juan-Manuel-Ramos,DF,Spezia,it Serie A,23,3.3,1.52,0.00,0.00
Myziane Maolida\Myziane-Maolida,FWMF,Nice,fr Ligue 1,21,12.0,2.67,0.42,0.08
Faitout Maouassa\Faitout-Maouassa,DF,Rennes,fr Ligue 1,22,13.0,1.46,0.00,0.15
Sekou Mara\Sekou-Mara,FW,Bordeaux,fr Ligue 1,18,2.5,1.60,0.40,0.00
Maranhão\Maranhao,FW,Valladolid,es La Liga,23,13.1,1.37,0.15,0.00
Fernando Marçal\Fernando-Marcal,DF,Wolves,eng Premier League,31,6.9,0.58,0.00,0.00
Fernando Marçal\Fernando-Marcal,DF,Lyon,fr Ligue 1,31,0.9,1.11,0.00,0.00
Marcelo\Marcelo,DF,Real Madrid,es La Liga,32,11.7,3.25,0.43,0.00
Marcelo\Marcelo,DF,Lyon,fr Ligue 1,33,32.3,0.84,0.00,0.03
Solly March\Solly-March,DF,Brighton,eng Premier League,26,18.6,2.80,0.22,0.00
Federico Marchetti\Federico-Marchetti,GK,Genoa,it Serie A,37,3.7,0.27,0.00,0.00
Riccardo Marchizza\Riccardo-Marchizza,DF,Spezia,it Serie A,22,17.3,1.39,0.00,0.00
Gian Marco Ferrari\Gian-Marco-Ferrari,DF,Sassuolo,it Serie A,28,33.5,1.04,0.00,0.03
Iván Marcone\Ivan-Marcone,MF,Elche,es La Liga,30,29.4,0.75,0.00,0.00
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,es La Liga,31,16.9,1.18,0.00,0.00
Dario Maresic\Dario-Maresic,DF,Reims,fr Ligue 1,20,5.7,0.35,0.00,0.00
José Mari\Jose-Mari,MF,Cádiz,es La Liga,32,16.1,0.81,0.06,0.06
Pablo Marí\Pablo-Mari,DF,Arsenal,eng Premier League,26,10.0,0.20,0.00,0.00
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,es La Liga,25,19.6,0.31,0.00,0.00
Mariano\Mariano,FW,Real Madrid,es La Liga,26,5.7,1.58,0.35,0.00
Jordan Marié\Jordan-Marie,MF,Dijon,fr Ligue 1,28,15.9,0.82,0.00,0.00
Adrián Marín\Adrian-Marin,DFMF,Alavés,es La Liga,23,1.0,2.00,0.00,0.00
Adrián Marín\Adrian-Marin,DFFW,Granada,es La Liga,23,3.0,1.67,0.00,0.00
Răzvan Marin\Razvan-Marin,MF,Cagliari,it Serie A,24,32.9,2.98,0.03,0.06
Guillermo Maripán\Guillermo-Maripan,DF,Monaco,fr Ligue 1,26,23.2,0.56,0.00,0.09
Marlon\Marlon,DF,Sassuolo,it Serie A,24,19.4,0.62,0.00,0.05
Omar Marmoush\Omar-Marmoush,FW,Wolfsburg,de Bundesliga,21,0.0,0,0,0
Marquinhos\Marquinhos,DF,Paris S-G,fr Ligue 1,26,23.6,0.59,0.00,0.00
Luca Marrone\Luca-Marrone,DF,Crotone,it Serie A,30,17.6,0.23,0.00,0.11
Roger Martí\Roger-Marti,FW,Levante,es La Liga,29,24.4,1.35,0.08,0.04
Anthony Martial\Anthony-Martial,FW,Manchester Utd,eng Premier League,24,16.4,2.62,0.18,0.06
Aarón Martín\Aaron-Martin,DF,Mainz 05,de Bundesliga,23,2.9,1.72,0.00,0.00
Aarón Martín\Aaron-Martin,DF,Celta Vigo,es La Liga,23,17.1,0.76,0.00,0.06
Álex Martín\Alex-Martin,DF,Cádiz,es La Liga,22,1.1,0.00,0.00,0.00
Jonas Martin\Jonas-Martin,MF,Rennes,fr Ligue 1,30,5.4,1.85,0.00,0.00
Martinelli\Martinelli,FW,Arsenal,eng Premier League,19,6.5,3.23,0.46,0.00
Lucas Martínez Quarta\Lucas-Martinez-Quarta,DF,Fiorentina,it Serie A,24,16.5,0.91,0.12,0.06
Emiliano Martínez\Emiliano-Martinez,GK,Aston Villa,eng Premier League,27,38.0,0.16,0.00,0.00
Iñigo Martínez\Inigo-Martinez,DF,Athletic Club,es La Liga,29,28.0,0.54,0.00,0.00
Javi Martínez\Javi-Martinez,MFFW,Osasuna,es La Liga,20,5.1,1.96,0.20,0.00
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,de Bundesliga,31,5.2,0.58,0.00,0.00
Josep Martinez\Josep-Martinez,GK,RB Leipzig,de Bundesliga,22,1.0,0.00,0.00,0.00
Lautaro Martínez\Lautaro-Martinez,FW,Inter,it Serie A,22,28.5,2.81,0.21,0.18
Pablo Martinez\Pablo-Martinez,DF,Nîmes,fr Ligue 1,31,6.0,0.33,0.00,0.00
Gelson Martins\Gelson-Martins,MFFW,Monaco,fr Ligue 1,25,17.2,2.62,0.29,0.06
Adam Marušić\Adam-Marusic,DF,Lazio,it Serie A,27,33.0,1.76,0.03,0.03
Sylvain Marveaux\Sylvain-Marveaux,MFFW,Lorient,fr Ligue 1,34,2.2,3.18,0.91,0.00
Marvin\Marvin,DFFW,Real Madrid,es La Liga,20,1.5,1.33,0.00,0.00
Omar Mascarell\Omar-Mascarell,MF,Schalke 04,de Bundesliga,27,19.6,0.61,0.00,0.00
Andrea Masiello\Andrea-Masiello,DF,Genoa,it Serie A,34,28.5,0.49,0.00,0.00
Jordi Masip\Jordi-Masip,GK,Valladolid,es La Liga,31,25.0,0.12,0.00,0.00
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,de Bundesliga,19,8.4,2.62,0.48,0.00
Giuseppe Mastinu\Giuseppe-Mastinu,FWMF,Spezia,it Serie A,28,0.4,2.50,0.00,0.00
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,eng Premier League,26,11.2,2.86,0.36,0.00
Jaime Mata\Jaime-Mata,FW,Getafe,es La Liga,31,22.6,1.81,0.04,0.00
Juan Mata\Juan-Mata,FWMF,Manchester Utd,eng Premier League,32,5.7,3.16,0.00,0.00
Pape Matar Sarr\Pape-Matar-Sarr,MF,Metz,fr Ligue 1,17,17.7,2.15,0.06,0.11
Eliot Matazo\Eliot-Matazo,MF,Monaco,fr Ligue 1,18,3.5,1.71,0.29,0.00
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Crystal Palace,eng Premier League,23,2.5,1.20,0.00,0.40
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,de Bundesliga,23,11.1,2.25,0.45,0.00
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,eng Premier League,31,12.3,1.63,0.00,0.00
Joël Matip\Joel-Matip,DF,Liverpool,eng Premier League,28,7.7,0.78,0.00,0.00
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,de Bundesliga,19,2.4,1.67,0.00,0.42
Ryder Matos\Ryder-Matos,MF,Udinese,it Serie A,27,0.1,30.0,0.00,0.00
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,de Bundesliga,20,0.3,0.00,0.00,0.00
Chrislain Matsima\Chrislain-Matsima,DF,Monaco,fr Ligue 1,18,3.9,0.51,0.00,0.00
Federico Mattiello\Federico-Mattiello,DF,Spezia,it Serie A,25,0.4,0.00,0.00,0.00
Neal Maupay\Neal-Maupay,FWMF,Brighton,eng Premier League,23,27.9,2.83,0.36,0.11
Tony Mauricio\Tony-Mauricio,MF,Lens,fr Ligue 1,26,5.6,5.36,0.36,0.00
Stephy Mavididi\Stephy-Mavididi,FWMF,Montpellier,fr Ligue 1,22,22.6,1.86,0.27,0.04
Konstantinos Mavropanos\Konstantinos-Mavropanos,DF,Stuttgart,de Bundesliga,22,16.3,0.55,0.00,0.06
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,de Bundesliga,31,9.1,2.31,0.22,0.00
Borja Mayoral\Borja-Mayoral,FW,Real Madrid,es La Liga,23,0.3,0.00,0.00,0.00
Borja Mayoral\Borja-Mayoral,FW,Roma,it Serie A,23,17.2,2.97,0.23,0.17
Youssef Maziz\Youssef-Maziz,MFFW,Metz,fr Ligue 1,22,2.9,3.79,0.34,0.00
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,it Serie A,30,0.6,0.00,0.00,0.00
Kevin Mbabu\Kevin-Mbabu,DF,Wolfsburg,de Bundesliga,25,18.2,1.65,0.00,0.00
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,fr Ligue 1,21,26.4,4.05,0.72,0.08
Ibrahima Mbaye\Ibrahima-Mbaye,DF,Bologna,it Serie A,25,4.8,0.63,0.00,0.00
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,de Bundesliga,20,12.9,1.47,0.08,0.08
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,fr Ligue 1,18,24.6,2.44,0.12,0.04
James McArthur\James-McArthur,MF,Crystal Palace,eng Premier League,32,16.3,1.17,0.00,0.00
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,eng Premier League,24,14.7,1.97,0.00,0.00
Alex McCarthy\Alex-McCarthy,GK,Southampton,eng Premier League,30,30.0,0.03,0.00,0.00
James McCarthy\James-McCarthy,MF,Crystal Palace,eng Premier League,29,9.1,1.32,0.00,0.11
John McGinn\John-McGinn,MF,Aston Villa,eng Premier League,25,37.0,2.70,0.08,0.05
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,eng Premier League,32,26.6,1.95,0.30,0.11
Weston McKennie\Weston-McKennie,MF,Juventus,it Serie A,21,18.9,2.80,0.21,0.00
Dwight McNeil\Dwight-McNeil,MF,Burnley,eng Premier League,20,34.1,2.35,0.06,0.06
Scott McTominay\Scott-McTominay,MF,Manchester Utd,eng Premier League,23,23.7,1.39,0.00,0.08
Gary Medel\Gary-Medel,DFMF,Bologna,it Serie A,32,5.7,0.70,0.00,0.00
Facundo Medina\Facundo-Medina,DF,Lens,fr Ligue 1,21,22.3,1.08,0.00,0.00
