,,,,,,Tota,
Player,Pos,Squad,Comp,Age,90s,Cmp%,Prog
,,,,,,,
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,79.1,4.45
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,88.5,3.66
Ángel\Angel,GK,Granada,es La Liga,18,1.0,53.3,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,78.0,2.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,74.7,5.10
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,71.1,4.63
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,100.0,10.0
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,67.9,3.61
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,88.1,3.12
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,56.3,0.00
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,66.5,1.14
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,89.1,1.92
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,84.4,4.95
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,71.8,3.07
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,73.6,4.57
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,75.0,3.33
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,70.1,2.66
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,86.5,5.57
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,75.8,3.86
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,85.0,2.67
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,92.4,1.55
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,77.0,4.78
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,73.6,0.00
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,85.5,4.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,64.5,1.21
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,57.1,2.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,75.0,0.00
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,79.7,3.78
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,80.1,5.47
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,75.0,0.83
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,82.6,6.00
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,81.5,0.15
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,84.5,2.57
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,85.3,2.80
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,83.3,3.06
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,79.0,0.00
